05-MalPatSaj-market_value,07-silvestri-market_value_apr_2022,05-MalPatSaj-profit,08-slytherin-revenue,07-silvestri-revenue_2022,05-MalPatSaj-assets,05-MalPatSaj-sales
doll_118.82 b,doll_118.82 b,doll_6.21 b,doll_65.8 b,doll_65.75 b,doll_51.51 b,doll_65.75 b
doll_100.8 b,doll_100.8 b,doll_6.14 b,doll_20.3 b,doll_20.3 b,doll_152.65 b,doll_20.3 b
doll_61.42 b,doll_61.42 b,doll_4.1 b,doll_20.5 b,doll_20.46 b,doll_677.03 b,doll_20.46 b
doll_87.98 b,doll_87.98 b,doll_3.91 b,doll_25.1 b,doll_25.1 b,doll_174.18 b,doll_25.1 b
doll_35.64 b,doll_35.64 b,doll_5.56 b,doll_106.8 b,doll_106.84 b,doll_92.73 b,doll_106.84 b
doll_56.87 b,doll_56.87 b,doll_3.07 b,doll_59.1 b,doll_59.08 b,doll_113.75 b,doll_59.08 b
doll_35.19 b,doll_35.19 b,doll_3.85 b,doll_50.6 b,doll_50.57 b,doll_234.91 b,doll_50.57 b
doll_67.84 b,doll_67.84 b,doll_4.11 b,doll_48.4 b,doll_48.37 b,doll_82.45 b,doll_48.37 b
doll_28.52 b,doll_28.52 b,doll_5.54 b,doll_91.4 b,doll_91.44 b,doll_151.17 b,doll_91.44 b
doll_59.44 b,doll_59.44 b,doll_8.54 b,doll_41.5 b,doll_41.52 b,doll_65.98 b,doll_41.52 b
doll_43.16 b,doll_43.16 b,doll_4.07 b,doll_28.3 b,doll_28.33 b,doll_296.89 b,doll_28.33 b
doll_39.03 b,doll_39.03 b,doll_5.65 b,doll_21.5 b,doll_21.49 b,"doll_1,081.81 b",doll_21.49 b
doll_196.86 b,doll_196.86 b,doll_6.39 b,doll_56.7 b,doll_56.7 b,doll_44.32 b,doll_56.7 b
doll_130.67 b,doll_130.67 b,doll_5.54 b,doll_34.4 b,doll_34.39 b,doll_64.47 b,doll_34.39 b
doll_31.38 b,doll_31.38 b,doll_5.42 b,doll_26.8 b,doll_26.76 b,"doll_1,957.58 b",doll_26.76 b
doll_157.26 b,doll_157.26 b,doll_3.83 b,doll_30.8 b,doll_30.79 b,doll_81.61 b,doll_30.79 b
doll_28.98 b,doll_28.98 b,doll_14.99 b,doll_76.7 b,doll_76.65 b,doll_90.51 b,doll_76.65 b
doll_51.21 b,doll_51.21 b,doll_5.33 b,doll_18.7 b,doll_18.66 b,doll_677.51 b,doll_18.66 b
doll_32.81 b,doll_32.81 b,doll_4.25 b,doll_42.9 b,doll_42.94 b,doll_219.65 b,doll_42.94 b
doll_77.51 b,doll_77.51 b,doll_9.02 b,doll_31.2 b,doll_31.17 b,doll_63.7 b,doll_31.17 b
doll_56.23 b,doll_56.23 b,doll_4.63 b,doll_18.4 b,doll_18.38 b,doll_707.08 b,doll_18.38 b
doll_30.63 b,doll_30.63 b,doll_5.18 b,doll_33.2 b,doll_33.23 b,doll_378.81 b,doll_33.23 b
doll_35.23 b,doll_35.23 b,doll_4.02 b,doll_68.2 b,doll_68.15 b,doll_121.1 b,doll_68.15 b
doll_63.62 b,doll_63.62 b,doll_6.81 b,doll_59.7 b,doll_59.72 b,doll_52.21 b,doll_59.72 b
doll_50.35 b,doll_50.35 b,doll_6.85 b,doll_58.4 b,doll_58.35 b,doll_63.34 b,doll_58.35 b
doll_29.44 b,doll_29.44 b,doll_9.4 b,doll_46.4 b,doll_46.42 b,doll_124.2 b,doll_46.42 b
doll_27.92 b,doll_27.92 b,doll_3.5 b,doll_71.4 b,doll_71.42 b,doll_304.19 b,doll_71.42 b
doll_77.24 b,doll_77.24 b,doll_4.78 b,doll_15.8 b,doll_15.76 b,doll_669.03 b,doll_15.76 b
doll_28.9 b,doll_28.9 b,doll_4.99 b,doll_34.5 b,doll_34.46 b,doll_418.7 b,doll_34.46 b
doll_149.68 b,doll_149.68 b,doll_9.99 b,doll_36 b,doll_36.04 b,doll_42.82 b,doll_36.04 b
