,name,country,industry,absolute_growth_rate_pct,compound_annual_growth_rate_cagr_pct,revenue_2020,employees_2020,employees_2017,founded,revenue_2017,website
5915,Yocabe’,Italy,Ecommerce,,,"3,293,860",,12,2016.0,,http://www.yocabe.com/
5916,Chez Nestor,France,Property,,,"8,559,263",,33,2012.0,,https://www.chez-nestor.com/
5917,Ready 2 Fly,Italy,Advertising,,,"3,266,457",,14,2015.0,,https://www.ready2fly.it
5918,ZukunftsEnergie Fichtelgebirge,Germany,Energy,,,5.3,,1,2011.0,,https://www.z-e-f.info
5919,Quimera Energy,United Kingdom,Energy,,,1.67,,33,2015.0,,http://www.quimeraee.com/
5920,Mint Italia,Italy,Transport,,,"2,415,110",,9,2016.0,,https://www.mintitalia.com/
5921,Learning Technologies Group,UK,Technology,,,"148,219,822",,764,2012.0,,https://www.ltgplc.com
5922,Family Web Diffusion,France,Retail,,,4.2,,12,2011.0,,https://www.loveandvibes.fr
5923,Tremend Software Consulting,Romania,Technology,,,9.75,,219,2005.0,,https://www.tremend.com/
5924,Sendcloud,The Netherlands,Ecommerce,,,"81,775,452",,233,2012.0,,https://www.sendcloud.com/
5925,Hyperdrive Innovation,UK,Batteries,,,"8,638,729",,40,2012.0,,https://hyperdriveinnovation.com
5926,Domino Creations,Italy,Retail,,,2.1,,1,2011.0,,https://www.promojeans.it
5927,Merkkur,Germany,Ecommerce,,,7.40,,7,2014.0,,https://www.merkkur.de/
5928,Datakey Software Engineering,Italy,Technology,,,"1,898,000",,10,2008.0,,https://www.datakey.it/
5929,Crispy Bacon,Italy,Technology,,,"2,726,837",,40,2013.0,,https://crispybacon.it
5930,Nue-Pro Select,France,Property,,,1.6,,7,2012.0,,https://www.nue-proselect.fr
5931,The Stikets Company,Spain,Ecommerce,,,5.10,,33,2010.0,,https://www.stikets.es/
5932,Metaminds,Romania,Cyber Security,,,"32,103,084",,41,2015.0,,https://www.metaminds.com/
5933,Ddm Solutions,Italy,Technology,,,"2,242,598",,11,2016.0,,https://www.ddmsolutions.it
5934,Rafa Grau Transports,Spain,Transport,,,9.3,,53,2014.0,,https://www.rafagrautransport.com
5935,SARL GOGY,France,Construction,,,3.06,,19,2004.0,,https://www.sarl-gogy.com/
5936,Time Vision,Italy,Education,,,"2,793,340",,29,2012.0,,https://www.timevision.it/
5937,Werksräder24,Germany,Automobiles,,,"14,896,000",,36,2013.0,,https://www.werksraeder24.de/
5938,Zeck Fishing,Germany,Retail,,,"3,567,160",,19,2013.0,,https://www.zeck-fishing.com
5939,Etesian,Italy,Support Services,,,"1,626,162",,13,2013.0,,https://www.etesian.eu
5940,Utensilveneta,Italy,Retail,,,1.9,,4,2014.0,,https://www.utensilveneta.it
5941,Augustin Bau,Germany,Construction,,,12.5,,72,1995.0,,https://www.augustinbau.com
5942,PoLo Glass,Italy,Industrial Goods,,,3.38,,17,1983.0,,https://www.pologlass.it/
5943,Nexindep,France,Technology,,,11.88,,5,2010.0,,https://www.nexoris.com/
5944,FOD Mobility Group,UK,Technology,,,"13,309,945",,70,2008.0,,https://www.fodmobilitygroup.com/
5945,Selferg,Italy,Energy,,,"2,050,130",,60,2007.0,,https://www.selferg.it/
5946,GfiD,Germany,Telecoms,,,"1,988,700",,28,2012.0,,https://www.gfid.net
5947,Best IT,Germany,Construction,,,5.0,,48,2000.0,,https://www.bestit-online.de
5948,Phoenix Esd,Italy,Support Services,,,4.84,,11,2014.0,,https://www.ph14.biz/
5949,doIT solutions,Germany,Technology,,,12.66,,20,2010.0,,https://www.doit-solutions.de/
5950,Poppri Fashion Auctions,Lithuania,Ecommerce,,,"13,028,856",,94,2012.0,,https://www.poppri.com/
5951,isg Express Logistik,Germany,Transport,,,"5,599,280",,26,2011.0,,https://www.isg-logistik.de
5952,House To House,Italy,Retail,,,9.4,,21,2006.0,,https://www.housetohouse.eu
5953,Mapo,Italy,Food & Beverage,,,2.05,,16,2008.0,,http://www.basiperpizza.it/
5954,Vizion Network,UK,Automobiles,,,"117,817,156",,194,2008.0,,https://www.vizionnetwork.co.uk/
5955,Beyond Law Group*,UK,Law,,,"8,233,616",,66,2017.0,,https://www.beyondcorporate.co.uk/
5956,Gantel,Italy,Telecoms,,,"3,004,982",,70,2014.0,,https://www.gantel.it
5957,Digilinx,France,Support Services,,,5.5,,10,2011.0,,https://www.lesbigboss.fr
5958,Tripx Travel,Sweden,Travel & Leisure,,,2.81,,7,2010.0,,https://www.tripx.se/
5959,EDA Warehousing,Germany,Transport,,,"4,570,000",,14,2014.0,,https://www.edapark-hamburg.com/
5960,BPV,Germany,Telecoms,,,"22,704,275",,90,2013.0,,https://www.bpvgruppe.de/
5961,Teo.Rema,Italy,Industrial Goods,,,"3,766,901",,26,2011.0,,http://www.teo-rema.it
5962,Agence Renov Design,France,Construction,,,4.0,,29,2008.0,,Not found
5963,Centofiori,Italy,Restaurants,,,2.40,,12,2014.0,,Not found
5964,ISTER,France,Construction,,,2.16,,Not found,2012.0,,Not found
5965,Ultra Premium Direct,France,Agricultural Commodities,,,"20,779,890",,81,2013.0,,https://www.ultrapremiumdirect.com/
5966,AFR-IX telecom,Spain,Telecoms,,,"9,933,867",,24,2013.0,,https://afr-ix.com/
5967,weclapp,Germany,Technology,,,"4,654,250",,65,2008.0,,https://www.weclapp.se
5968,Enecsol,France,Energy,,,2.8,,4,2014.0,,https://www.enecsol.fr
5969,Shokes,Germany,Ecommerce,,,8.81,,8,2009.0,,https://shokes.de/
5970,Blue energy,Poland,Cyber Security,,,"4,527,970",,44,2010.0,,http://grupablue.pl/
5971,Metaminds,Romania,Cyber Security,,,"26,158,008",,31,2015.0,,https://www.metaminds.com
5972,FSP Creative Wine Merchants,France,Food & Beverage,,,8.9,,Not found,2012.0,,https://www.fsp-winemerchant.com
5973,Freddy Fuego,Norway,Restaurants,,,1.22,,21,2015.0,,https://www.freddyfuego.no/
5974,C’JUSTE PARIS,France,Retail,,,"2,404,398",,15,2013.0,,http://www.cjusteparis.fr/
5975,Hyperoptic,UK,Telecoms,,,"44,664,290",,1258,2010.0,,https://www.hyperoptic.com
5976,Epidemic Sound,Sweden,Technology,,,11.8,,146,2009.0,,https://www.epidemicsound.com
5977,Bridge Insurance Broker,Italy,Insurance,,,1.80,,11,2012.0,,https://www.bridgeinsurance.it/
5978,SOS-accessoire,France,Ecommerce,,,"14,690,408",,44,2007.0,,https://www.sos-accessoire.com/
5979,Galvanica Formelli,Italy,Industrial Goods,,,"11,823,959",,59,1999.0,,http://www.galvanicaformelli.it
5980,Sidea Group,Italy,Management Consulting,,,"1,825,646",,32,2015.0,,https://www.sideagroup.com
5981,Sos Tariffe,Italy,Ecommerce,,,7.6,,35,2010.0,,https://www.sostariffe.it
5982,Secret Arts of Spirits,France,Retail,,,1.71,,5,2014.0,,https://www.sas-spirits.com/
5983,Nabla Cosmetics,Italy,Beauty,,,5.69,,15,2013.0,,https://www.nablacosmetics.com/
5984,Hannes König,Germany,Construction,,,"8,750,671",,27,2017.0,,http://www.hannes-könig.de/
5985,Cogeclim Energies,France,Construction,,,"2,114,000",,14,2015.0,,https://cogeclim.net
5986,Les Causantes,France,Management Consulting,,,"2,417,287",,18,2014.0,,https://www.lescausantes.com
5987,Fourniresto.com,France,Ecommerce,,,4.7,,17,2012.0,,https://www.fourniresto.com
5988,IUNGO,Italy,Technology,,,4.40,,45,2001.0,,https://www.iungo.com/
5989,ZANATTA media group,Germany,Advertising,,,"8,383,859",,9,2007.0,,https://www.zanatta.de/
5990,Wastepack,UK,Waste management & recycling,,,"22,373,295",,20,1997.0,,https://www.wastepack.co.uk/
5991,SA Formação - Simples Analises,Portugal,Education,,,"2,232,864",,45,2009.0,,https://www.sa-formacao.pt
5992,ALLESklarDRUCK,Germany,Industrial Goods,,,2.1,,34,2013.0,,https://www.allesklardruck.de
5993,Le Fonti,Italy,Media,,,3.00,,10,2004.0,,https://www.lefonti.it/
5994,Future Marketing,Germany,Sales & Marketing,,,2.16,,10,2007.0,,https://www.futuremarketing-network.de/
5995,Radar Consulting Italia,Italy,Support Services,,,"1,580,450",,17,2010.0,,https://www.radarconsulting.it/
5996,Agriconomie,France,Agricultural Commodities,,,"37,248,117",,53,2014.0,,https://www.agriconomie.com/
5997,Bauer Energiekonzepte,Germany,Energy,,,"37,731,950",,18,2013.0,,https://bauer-energiekonzepte.de
5998,Oxwork,France,Retail,,,"4,405,138",,13,2014.0,,https://www.oxwork.com
5999,TEC Systems Systemhaus ,Germany,Support Services,,,2.6,,11,1998.0,,https://www.tec-systems.de
6000,Etracom,Italy,Retail,,,5.56,,3,2010.0,,https://www.materassiedoghe.eu/
6001,AnyTech365,Spain,Technology,,,"18,743,704",,364,2014.0,,https://www.anytech365.com/
6002,Bygglet,Sweden,Technology,,,"6,135,880",,35,2010.0,,https://www.bygglet.com
6003,Bausal,Germany,Industrial Goods,,,3.4,,7,2012.0,,https://www.bausal.de
6004,Quicklink Solutions,Italy,Technology,,,1.87,,9,2008.0,,https://www.qlsol.com/
6005,Starred,Netherlands,Technology,,,1.50,,30,2013.0,,https://www.starred.com/
6006,Cladspray Solutions,UK,Construction,,,"1,863,819",,12,2013.0,,https://www.cladspraysolutions.co.uk/
6007,iM Global Partner,France,Financial Services,,,"31,463,692",,50,2015.0,,https://www.imgp.com/fr
6008,Sendcloud,Netherlands,Technology,,,"44,083,257",,129,2012.0,,https://www.sendcloud.com
6009,ZAC Personalservice,Germany,Support Services,,,4.6,,170,2013.0,,https://www.zac-personalservice.de
6010,Beeks Financial Cloud Group,United Kingdom,Fintech,,,6.30,,33,2011.0,,https://www.beeksfinancialcloud.com/
6011,Confinvest,Italy,Precious metals,,,"41,130,000",,6,1983.0,,https://www.confinvest.it/
6012,Ethic Technology,France,Technology,,,"8,340,824",,3,2012.0,,https://www.ethic-technology.com/
6013,Noonic,Italy,Advertising,,,"2,273,393",,18,2014.0,,https://noonic.com
6014,Speechmatics*,United Kingdom,Technology,,,1.6,,40,2006.0,,https://www.speechmatics.com
6015,Nutmeg ,United Kingdom,Financial Services,,,8.08,,135,2011.0,,https://www.nutmeg.com/
6016,Aeffegi,Italy,Fashion,,,1.68,,20,2007.0,,https://www.chiarullimoda.com/
6017,Bomax,Italy,Telecoms,,,"71,290,680",,7,2001.0,,https://www.bomax.it/
6018,KK-Trade,Germany,Retail,,,"4,383,254",,15,2017.0,,https://www.kustom-kult.de/
6019,codekunst systems,Germany,Technology,,,"1,994,500",,14,2016.0,,https://www.codekunst-systems.com
6020,aviationscouts,Germany,Ecommerce,,,3.6,,12,2002.0,,https://www.aviationscouts.com
6021,Ensek,United Kingdom,Technology,,,9.84,,127,2010.0,,https://ensek.co.uk/
6022,Aleysia,France,Technology,,,6.35,,50,2013.0,,https://www.aleysia.com/
6023,Marsapet,Germany,Retail,,,"3,960,200",,26,2015.0,,https://www.bellfor.info/
6024,Creation Italia,Italy,Industrial Goods,,,"14,500,000",,40,2015.0,,https://incantoitalia.com
6025,Seren Automobili,Italy,Automobiles,,,3.1,,7,1989.0,,https://www.serenautomobili.it
6026,Team17 Group,United Kingdom,Games industry,,,48.81,,167,1990.0,,https://www.team17group.com/
6027,Gruppo Tera,Italy,Ecommerce,,,"20,222,750",,16,2015.0,,https://www.bakaji.com/
6028,POPPRI Fashion Auctions,Lithuania,Ecommerce,,,"10,795,350",,90,2012.0,,https://www.poppri.com
6029,Manifone,France,Telecoms,,,6.4,,12,2006.0,,https://www.manifone.com
6030,SKALIS,France,Technology,,,3.82,,37,2008.0,,https://www.skalis-portage.com/
6031,CodicePlastico,Italy,Technology,,,"3,068,430",,14,2009.0,,https://codiceplastico.com/
6032,Cloud++,Netherlands,Technology,,,"3,924,302",,25,2015.0,,https://www.cloudplusplus.nl
6033,City Control,Germany,Support Services,,,13.8,,90,2012.0,,https://www.cc-sicherheitsservice.de
6034,Inrete,Italy,Support Services,,,4.4,,13,2010.0,,https://www.in-rete.net
6035,Web Stars Channel,Italy,Advertising,,,6.19,,21,2013.0,,https://www.webstarschannel.it/
6036,Regional Express,France,Transport,,,11.37,,130,2013.0,,https://www.regional-express.fr/
6037,Tremend,Romania,Technology,,,"20,679,155",,426,2005.0,,https://www.tremend.com/
6038,Doofinder,Spain,Technology,,,"6,590,434",,61,2010.0,,https://www.doofinder.com/es/?gclid=EAIaIQobChMIwPu5t4qs3AIVAQAAAB0BAAAAEAAYACAAEgJVzfD_BwE
6039,Kiddus Accesorios,Spain,Ecommerce,,,"1,995,873",,4,2004.0,,https://kiddus.com
6040,Workstreampeople (Anywhere365),Netherlands,Technology,,,12.1,,34,2008.0,,https://www.anywhere365.io
6041,Digital & You,France,Technology,,,11.6,,140,2013.0,,https://www.digitalandyou.com
6042,Innovasoft,Italy,Support Services,,,3.92,,28,2011.0,,https://www.innovasoftspa.it/
6043,Hostinger,Lithuania,Technology,,,"25,860,664",,780,2004.0,,https://www.hostinger.com/
6044,Catalyx,Switzerland,Sales & Marketing,,,"6,540,543",,39,2013.0,,https://thecatalyx.com/
6045,Sensocure,Norway,Health,,,"2,140,000",,14,2011.0,,https://sensocure.no
6046,FinTrU,UK,Financial Services,,,"19,441,982",,445,2013.0,,https://www.fintru.com
6047,7Layers,Italy,Cyber Security,,,5.3,,9,2012.0,,https://www.7layers.it
6048,Picodi.com,Poland,Ecommerce,,,5.31,,95,2013.0,,https://www.picodi.com/
6049,Creative-Cables,Italy,Retail,,,5.44,,30,2008.0,,https://www.creative-cables.com/
6050,Harness Code,Bulgaria,Sales & Marketing,,,"2,223,308",,9,2016.0,,http://harnesscode.com/
6051,Heltti,Finland,Health,,,"5,310,814",,62,2013.0,,http://heltti.com
6052,Optiwella,Hungary,Telecoms,,,10.1,,42,2011.0,,https://www.optiwella.com
6053,Highwood Group,United Kingdom,Construction,,,75.43,,59,2006.0,,https://www.highwoodgroup.co.uk/
6054,Nanoprom Chemicals,Italy,Chemicals & Pharmaceuticals,,,"2,779,910",,17,2014.0,,https://www.nanopromsrl.com/
6055,Elite,Spain,Construction,,,"10,060,550",,49,2012.0,,https://holaelite.com/
6056,Dexatel,Estonia,Telecoms,,,"4,901,031",,35,2015.0,,https://dexatel.com
6057,Communicate Technology,United Kingdom,Technology,,,4.7,,32,2011.0,,https://communicateplc.com
6058,möbelando,Germany,Ecommerce,,,8.31,,25,2013.0,,https://www.moebelando.de/
6059,AppUnite,Poland,Technology,,,"4,424,063",,119,2012.0,,https://appunite.com/
6060,SAFTI,France,Property,,,"127,786,715",,141,2010.0,,https://www.safti.fr
6061,Signor Prestito,Italy,Financial Services,,,19.3,,208,2012.0,,https://www.signorprestito.it
6062,Traktech Construccions Mecaniques,Spain,Industrial Goods,,,2.3,,13,2010.0,,https://www.traktechsl.com
6063,Le Petit Vapoteur,France,Retail,,,58.87,,108,2012.0,,https://www.lepetitvapoteur.com/
6064,Arcure,France,Technology,,,7.45,,25,2009.0,,https://www.arcure.net/
6065,Eskalia et Nakupenda,France,Retail,,,"1,515,414",,7,2006.0,,https://nakupenda.fr/
6066,Happy Bulle,France,Retail,,,"2,932,498",,11,2014.0,,https://www.happybulle.com
6067,Accedia,Bulgaria,Technology,,,4.5,,109,2012.0,,https://accedia.com
6068,B EYE EOOD,Bulgaria,Technology,,,1.65,,52,2012.0,,https://b-eye.com/
6069,Greico Construcción Y Rehabilitación,Spain,Construction,,,6.86,,29,2011.0,,https://www.greico.es/
6070,LGX Logistics,Germany,Transport,,,"8,070,059",,12,2006.0,,https://www.lgx-logistics.com/
6071,Nexindep,France,Management Consulting,,,"11,877,500",,7,2010.0,,https://www.nexindep.com
6072,Bulpros Consulting,Bulgaria,Technology,,,31.0,,1098,2010.0,,https://www.bulpros.com
6073,Awair,Italy,Management Consulting,,,2.90,,23,2012.0,,https://www.awair.eu/
6074,HIRSCHTEC,Germany,Support Services,,,8.10,,71,2005.0,,https://www.hirschtec.eu/
6075,Polipop,Portugal,Industrial Goods,,,"3,351,671",,22,2015.0,,http://polipop.pt/
6076,cerascreen,Germany,Health,,,"4,061,130",,48,2012.0,,https://www.cerascreen.de
6077,Icon Key,Portugal,Food & Beverage,,,3.7,,13,2008.0,,https://www.icon-key.com
6078,Glayx,Italy,Energy,,,4.94,,4,2008.0,,https://www.glayx.com/
6079,Fiordelmondo Lubrificanti,Italy,Industrial Goods,,,4.23,,5,2010.0,,https://www.fiordelmondolubrificanti.it/
6080,StampaSi,Italy,Ecommerce,,,"2,543,820",,10,2016.0,,https://www.stampasi.it/
6081,Scribbr,Netherlands,Education,,,"8,132,888",,44,2012.0,,https://www.scribbr.com
6082,Weller Media Agency,United Kingdom,Sales & Marketing,,,3.2,,25,2013.0,,https://wma.agency
6083,Motork,United Kingdom,Sales & Marketing,,,23.68,,310,2010.0,,https://www.motork.io/
6084,CAM,Italy,Industrial Goods,,,"12,280,490",,67,1984.0,,http://www.cam-carmagnola.com/
6085,Plug In Digital,France,Media,,,"13,767,602",,37,2012.0,,https://www.plugindigital.com/
6086,Consorzio Stabile Ambientemilia,Italy,Waste management & recycling,,,"9,793,280",,4,2013.0,,https://www.gruppospaggiari.com
6087,Microblink,Croatia,Technology,,,"5,571,000",,61,2013.0,,https://www.microblink.com
6088,PoTec,Germany,Ecommerce,,,6.5,,32,2009.0,,https://www.autoteile-werkzeuge.de
6089,NIC Services Group,United Kingdom,Support Services,,,104.35,,5534,2004.0,,https://www.nicgroup.co.uk/
6090,Whiskyzone,Germany,Ecommerce,,,5.44,,9,2014.0,,https://www.whiskyzone.de/
6091,Predica,Poland,Technology,,,"17,589,082",,241,2009.0,,https://www.predicagroup.com/
6092,Ocean Transport,Spain,Transport,,,"4,783,846",,19,2009.0,,http://www.oceantransport.es/
6093,Die Autowelt,Germany,Automobiles,,,"18,000,000",,40,2009.0,,https://die-autowelt.com
6094,Arcadia Investment,Germany,Property,,,2.4,,14,2012.0,,https://www.arcadia-invest.de
6095,Termotecnica Cavatton,Italy,Construction,,,3.94,,47,2013.0,,http://www.cavatton.com/
6096,Serinus,UK,Energy,,,"19,651,446",,75,1997.0,,https://serinusenergy.com/
6097,Bladefar,Spain,Ecommerce,,,"11,079,137",,42,2010.0,,https://elboticarioencasa.com
6098,SDL Group,United Kingdom,Property,,,99.2,,612,1989.0,,https://www.sdlgroup.co.uk
6099,Plug In Digital,France,Games industry,,,7.17,,19,2012.0,,https://www.plugindigital.com/
6100,thinkout IT,Germany,Technology,,,62.30,,75,2007.0,,https://www.think-about.it/
6101,DEMV Deutscher Maklerverbund,Germany,Financial Services,,,"5,012,841",,50,2009.0,,https://www.demv.de/
6102,STI Norland,Spain,Energy,,,"199,822,150",,221,1996.0,,https://www.stinorland.com/
6103,Yocabe,Italy,Ecommerce,,,"1,969,579",,10,2016.0,,http://www.yocabe.com
6104,Kernel Analytics,Spain,Technology,,,4.8,,81,2013.0,,https://www.kernel-analytics.com
6105,Babe,Italy,Retail,,,3.2,,25,2012.0,,https://www.babeweb.it
6106,Universum Events,Romania,Support Services,,,5.50,,83,2010.0,,https://www.universum.ro/
6107,HD Elektrotechnik,Germany,Technology,,,"4,207,672",,76,2011.0,,https://www.hd-elektrotechnik.com/
6108,Engenie Group,Italy,Technology,,,"2,025,040",,9,2017.0,,https://www.engeniegroup.com/
6109,Yescapa,France,Travel & Leisure,,,"2,760,830",,31,2012.0,,https://www.yescapa.fr
6110,ADNP GmbH,Germany,Support Services,,,3.7,,25,2013.0,,https://www.adnp.de
6111,JR Service,Germany,Support Services,,,2.22,,59,2014.0,,https://www.jr-service.de/
6112,Groupe N.A.T,France,Support Services,,,"4,180,122",,64,2016.0,,https://www.groupe-nat.fr/
6113,La Sarraz Pictures,Italy,Media,,,"1,513,710",,5,2015.0,,http://www.lasarraz.com/
6114,Genius Progetti,Italy,Sales & Marketing,,,"19,192,605",,13,1994.0,,https://www.geniusprogetti.it
6115,Antigua Tazzadoro,Italy,Food & Beverage,,,1.6,,14,2012.0,,https://www.tazzadorocoffeeshop.com
6116,fleXstructures,Germany,Technology,,,3.90,,18,2012.0,,https://www.flexstructures.de/
6117,Dagar Technologies,Spain,Energy,,,14.46,,36,2014.0,,https://www.dagartech.com/
6118,Smart-Planet,Germany,Retail,,,"4,598,207",,9,2016.0,,https://smartplanet-shop.de/
6119,Sidea Group,Italy,Management Consulting,,,"2,429,590",,49,2015.0,,https://www.sideagroup.com/
6120,Sierra Paper,Spain,Personal & Household Goods,,,"7,026,618",,3,2015.0,,http://www.sierrapaper.com
6121,Carmela Di Caro,Italy,Food & Beverage,,,4.9,,8,2007.0,,https://www.oliodicaro.com
6122,Manifone,France,Technology,,,8.70,,15,2006.0,,https://www.manifone.com/
6123,Fevertree Drinks,United Kingdom,Food & Beverage,,,268.31,,138,2005.0,,https://fever-tree.com/
6124,COUTEAUJAPONAIS.COM,France,Retail,,,"4,579,102",,17,2004.0,,https://www.couteaujaponais.com/
6125,PHYSIDIA,France,Health,,,"16,746,545",,58,2010.0,,https://www.physidia.com/
6126,MG Export,Italy,Support Services,,,"10,653,323",,1,2011.0,,https://www.mgexportsrl.com
6127,ENVENDO-POWER,Germany,Energy,,,1.5,,6,2010.0,,https://www.envendo-power.de
6128,Akademie für Sport und Gesundheit,Germany,Health,,,4.46,,22,2010.0,,https://www.akademie-sport-gesundheit.de/
6129,Horando Deutschland,Germany,Retail,,,"8,111,269",,3,2013.0,,https://www.horando.de/
6130,"Diablochairs, Jan Nowak",Poland,Ecommerce,,,"21,520,495",,79,2004.0,,https://domator24.com/
6131,Distribuciones Murshe,Spain,Ecommerce,,,"18,091,928",,37,2013.0,,https://www.eciglogistica.com
6132,MEERX group,Germany,Management Consulting,,,"14,942,000",,23,2016.0,,https://www.meerx.de
6133,Giglio.com ,Italy,Ecommerce,,,9.3,,14,2007.0,,https://www.giglio.com
6134,Dgf Costruzioni. Unipersonale,Italy,Construction,,,2.43,,10,2013.0,,https://www.dgfcostruzioni.it/
6135,OIKA OIKA,France,Retail,,,6.19,,11,2013.0,,https://www.oikaoika.fr/
6136,Parkster,Sweden,Technology,,,"55,139,984",,28,2011.0,,https://www.parkster.com/
6137,BIOTYFULL,France,Ecommerce,,,"20,248,436",,13,2015.0,,https://www.biotyfullbox.fr/
6138,Total Tiles,UK,Ecommerce,,,"8,299,712",,30,2006.0,,https://totaltiles.co.uk
6139,squad,France,Support Services,,,27.2,,329,2010.0,,https://www.squad.fr
6140,Juan Francisco Alcazar,Spain,Industrial Goods,,,2.89,,10,2015.0,,https://www.salesdelcentro.es/
6141,Astech Food Machinery,Spain,Technology,,,3.28,,23,2012.0,,https://www.astech.es/es/
6142,Bioksan,Spain,Food & Beverage,,,"5,914,732",,51,2014.0,,https://bioksan.com/
6143,DND Disribuzione,Italy,Ecommerce,,,"10,500,000",,8,2014.0,,https://www.dnddistribuzione.it
6144,Deep Blue,Italy,Retail,,,"8,286,266",,2,2013.0,,http://n/a
6145,FBG,Italy,Industrial Goods,,,5.4,,15,2011.0,,https://www.blendplants.com
6146,Agorize,France,Technology,,,6.36,,73,2011.0,,https://www.agorize.com/
6147,Trippel,Norway,Support Services,,,"3,057,807",,118,1999.0,,https://www.trippelbs.no/
6148,Yourparkingspace Limited,UK,Technology,,,"13,863,431",,32,2013.0,,https://www.yourparkingspace.co.uk/
6149,Piazza Hotels & Residences,Italy,Travel & Leisure,,,"11,483,283",,180,2009.0,,https://www.piazzahr.com
6150,rankingCoach,Germany,Sales & Marketing,,,4.3,,45,2012.0,,https://www.rankingcoach.com
6151,Celerity,United Kingdom,Technology,,,71.39,,43,2002.0,,https://www.celerity-uk.com/
6152,Carslift,France,Automobiles,,,"2,226,659",,35,2012.0,,http://www.carslift.fr/
6153,Zimmerei Nordmann,Germany,Construction,,,"2,074,577",,11,2009.0,,https://www.zimmerei-nordmann.de/
6154,Logomania,Italy,Fashion,,,"7,071,729",,13,2008.0,,https://www.logomania.it
6155,Afinna One ,Italy,Telecoms,,,64.8,,6,2010.0,,https://www.afinnaone.com
6156,Tecma Solutions,Italy,Management Consulting,,,2.06,,39,2012.0,,https://www.tecmasolutions.com/
6157,Adameo PM,France,Management Consulting,,,3.88,,45,2011.0,,https://www.adameo.com/
6158,SI Silicone Innovation,Germany,Industrial Goods,,,"3,640,511",,40,2015.0,,https://www.silicone-innovation.com/
6159,A.U.E. Genc Warenhandels-UG,Germany,Retail,,,"19,890,000",,12,2010.0,,https://www.weg-ist-weg.com/
6160,ClearScore Technology,UK,Fintech,,,"63,494,481",,262,2015.0,,https://www.clearscore.com
6161,Gestiona Desarrollo,Spain,Construction,,,2.7,,89,2007.0,,https://www.gestionaservicios.es
6162,Zeck Fishing,Germany,Retail,,,2.31,,12,2013.0,,https://www.zeck-fishing.com/
6163,MGvision,Italy,Advertising,,,"4,010,560",,18,2010.0,,https://www.mgvision.com/
6164,New General Service,Italy,Support Services,,,"1,539,360",,26,2015.0,,https://www.newgeneralservice.com/
6165,emcot group,Germany,Industrial Goods,,,"13,000,580",,91,2014.0,,https://www.emcot.de
6166,Mason Advisory*,United Kingdom,Management Consulting,,,12.4,,32,2014.0,,https://www.masonadvisory.com
6167,TVSquared,United Kingdom,Technology,,,7.85,,96,2012.0,,https://tvsquared.com/
6168,Euclide,Italy,Management Consulting,,,2.42,,28,2007.0,,https://www.euclidesrl.com/
6169,ANDRE RENOVATION,France,Construction,,,"11,594,389",,41,2010.0,,https://www.andre-groupe.com/
6170,M.D.G. Components Unipersonale,Italy,Industrial Goods,,,"2,283,970",,14,2017.0,,https://www.mdgcomponents.com/
6171,Inpay,Denmark,Fintech,,,"11,387,284",,37,2013.0,,https://inpay.com
6172,3C S.r.l.,Italy,Automobiles,,,9.8,,14,1979.0,,https://www.3csrl.com
6173,Consorzio Stabile Ambientemilia,Italy,Support Services,,,6.96,,2,2013.0,,https://www.gruppospaggiari.com/
6174,Amco-Bulgaria,Bulgaria,Retail,,,"6,298,606",,22,2011.0,,https://amco-bg.com/
6175,Symprove,UK,Personal & Household Goods,,,"12,298,843",,39,2005.0,,https://www.symprove.com/
6176,Maisons à Vivre,France,Construction,,,"3,463,134",,6,2008.0,,https://www.maisons-avivre.com
6177,Construcciones Antedi,Spain,Construction,,,1.5,,6,2014.0,,https://antedi.herokuapp.com
6178,OpenWork / Le Monde Après,France,Support Services,,,28.27,,229,2010.0,,https://www.lemonde-apres.com/
6179,AppUnite,Poland,Technology,,,2.25,,71,2012.0,,https://appunite.com/
6180,Tecknuovo,UK,Technology,,,"26,273,556",,22,2015.0,,https://tecknuovo.com/
6181,Platform.sh,France,Technology,,,"22,077,678",,217,2010.0,,https://platform.sh/
6182,Qaiware,Bulgaria,Fintech,,,"2,710,870",,42,2011.0,,https://www.qaiware.com
6183,C. Lounge S.R.L. Fattoria Toccaferro,Italy,Restaurants,,,"3,515,264",,94,2011.0,,https://fattoriatoccaferro.it
6184,Samurai Security,Germany,Support Services,,,6.9,,114,2007.0,,https://www.samurai-security.eu
6185,Bladefar,Spain,Ecommerce,,,5.22,,16,2010.0,,https://elboticarioencasa.com/
6186,ISG Express Logistik,Germany,Transport,,,"5,822,692",,46,2011.0,,https://www.isg-logistik.de/
6187,Silkhom,France,Management Consulting,,,"4,281,600",,25,2013.0,,https://www.silkhom.com
6188,Le Petit Vapoteur,France,Retail,,,38.4,,100,2012.0,,https://www.lepetitvapoteur.com
6189,Grabyo,United Kingdom,Technology,,,3.0,,34,2013.0,,https://www.grabyo.com
6190,sat. Services,Germany,Support Services,,,2.73,,41,2012.0,,https://www.sat-services.eu/
6191,Manelli Impresa,Italy,Construction,,,"43,355,980",,173,2008.0,,https://www.manelli.eu/
6192,SA Formação,Portugal,Education,,,"3,647,652",,53,2009.0,,https://www.sa-formacao.pt/
6193,Medinet,Italy,Telecoms,,,"2,283,133",,35,2013.0,,http://www.medinetsrl.eu
