id,name,address,nation,hhid,industry,sic_code,type,est_of_ownership
5676dc5a404745a9bce86d19c8899bbb,Henkel Italia Srl,"VIA CARLO AMORETTI 78, MILANO, 20157, MILANO, ITALY",IT09299750969,H-IT0048467219,Wholesale Trade,Whol home furnishings (5023),Corporation,2015
ba7b6f75ea614d3582130a7544d0dc8c,Unicoop Tirreno Soc Coop,"STRADA STATALE S.S. AURELIA KM. 237 SNC, PIOMBINO, 57025, LIVORNO, ITALY",IT00103530499,H-IT0035238232,Retail Trade,Ret groceries (5411),Cooperative,1945
858f00a71b0e491eb7c2928e67c2b175,Banco Bpm Vita Spa,"VIA MASSAUA 6, MILANO, 20146, MILANO, ITALY",IT10769290155,H-IT0008916993,"Finance, Insurance, and Real Estate",Life insurance carrier (6311),Corporation,1992
c50b2d22b6b5476f924f8d5ead779b62,Tod's Spa,"VIA FILIPPO DELLA VALLE 1, SANT'ELPIDIO A MARE, 63811, FERMO, ITALY",IT01113570442,H-IT0042141826,Manufacturing,Mfg footwear-except rubber (3149),Corporation,1900
6dd3535eec36419686c80963e097f9ad,Di.vi. Finanziaria Di Diego Della Valle & C. Srl,"VIA SETTECAMINI 116, SANT'ELPIDIO A MARE, 63811, FERMO, ITALY",IT01732500440,H-IT0024746916,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2002
44df9131bb6b4f9386e192887dc47e40,Tigros Spa,"VIA DEL LAVORO 45, SOLBIATE ARNO, 21048, VARESE, ITALY",IT12790620152,H-IT0067919634,Retail Trade,Ret groceries (5411),Corporation,1979
6741953de65342d9a85b1b9d1450a1ff,Unigra' Srl,"VIA GARDIZZA 9/B, CONSELICE, 48017, RAVENNA, ITALY",IT02403240399,H-IT0019525346,Manufacturing,Mfg edible fats/oils (2079),Corporation,1970
bdb60c9da4bd425eb84f256d449b2c54,Amissima Vita Spa,"MURA DI SANTA CHIARA 1, GENOVA, 16128, GENOVA, ITALY",IT03723300103,H-IT0031275737,"Finance, Insurance, and Real Estate",Life insurance carrier (6311),Corporation,1971
d0f7125675bc491eb67d11f18ad3131d,Eli Lilly Italia Spa,"VIA ANTONIO GRAMSCI 731/733, SESTO FIORENTINO, 50019, FIRENZE, ITALY",IT00426150488,H-IT0008953503,Manufacturing,Mfg pharmaceutical preparations (2834),Corporation,1959
b9fae075000f49d8a64b3f40e583b907,Intesa Sanpaolo Assicura Spa,"CORSO INGHILTERRA 3, TORINO, 10138, TORINO, ITALY",IT06995220016,H-IT0072773529,"Finance, Insurance, and Real Estate",Insurance carrier (6399),Corporation,1995
3791d4ed10954fc3b27bbff7c203c1d4,Ferriera Valsider Spa,"VIA ANTONIO SALIERI 36, OPPEANO, 37050, VERONA, ITALY",IT03067420236,H-IT0075644894,Manufacturing,Mfg cold-rolled steel shapes (3316),Corporation,2000
996acf00748c4468846511f7e96885f6,Friul Intagli Industries Spa,"VIA ODERZO 68, PRATA DI PORDENONE, 33080, PORDENONE, ITALY",IT01586110262,H-IT0069538484,Manufacturing,Mfg furniture/fixtures (2599),Corporation,1968
534d5b8bdf7442858d056ce2badce335,Costantin Spa,"VIA CANAREGGIO 1823/1, BORGO VENETO, 35046, PADOVA, ITALY",IT02098230283,H-IT0071269770,Retail Trade,Gasoline service station (5541),Corporation,1986
e7c4e3aa1cf24f8d8d00734adc2f7915,Eurovo Srl,"VIA MENSA 3, LUGO, 48022, RAVENNA, ITALY",IT00727070393,H-IT0034973583,Manufacturing,Mfg food preparations (2099),Corporation,1981
dfafe2360e71467da803927aee38fbd4,Prima Sole Components Spa,"VIA CASILINA SUD SNC KM90,200, TORRICE, 03020, FROSINONE, ITALY",IT00152970935,H-IT0012418706,Manufacturing,Mfg plastic products (3089),Corporation,1968
53ad605319a94fe2afc38fcb4c75ef2b,Biesse Spa,"VIA DELLA MECCANICA 16, PESARO, 61122, PESARO E URBINO, ITALY",IT00113220412,H-IT0011465840,Manufacturing,Mfg metalworking machinery (3549),Corporation,1968
