,pricecap,revenue,earnings,share_price,url
439,doll_40.12 b,,,doll_25.33,
440,doll_40.23 b,,,doll_12.81,
441,doll_40.44 b,,,doll_217.73,
442,doll_40.41 b,,,doll_547.82,
443,doll_40.38 b,,,doll_3.05,
444,doll_40.59 b,,,doll_9.03,
445,doll_40.50 b,,,doll_23.06,
446,doll_40.77 b,,,doll_68.18,
447,doll_40.95 b,,,doll_68.25,
448,doll_40.99 b,,,doll_24.17,
449,doll_41.18 b,,,doll_20.50,
450,doll_41.18 b,,,doll_13.38,
451,doll_41.19 b,,,doll_41.45,
452,doll_41.22 b,,,doll_179.01,
453,doll_41.19 b,,,doll_169.74,
454,doll_41.48 b,,,doll_518.83,
455,doll_41.30 b,,,doll_119.00,
456,doll_41.60 b,,,doll_79.44,
457,doll_41.49 b,,,doll_135.04,
458,doll_41.64 b,,,doll_55.37,
459,doll_41.86 b,,,doll_226.58,
460,doll_42.43 b,,,doll_201.26,
461,doll_41.88 b,,,doll_53.61,
462,doll_34.53 b,,,doll_188.08,
463,doll_34.75 b,,,doll_19.63,
464,doll_34.70 b,,,doll_130.85,
465,doll_34.54 b,,,doll_97.35,
466,doll_34.83 b,,,doll_25.34,
467,doll_35.13 b,,,doll_330.18,
468,doll_34.98 b,,,doll_55.56,
469,doll_34.86 b,,,doll_12.03,
470,doll_35.22 b,,,doll_173.99,
471,doll_35.22 b,,,doll_249.75,
472,doll_35.30 b,,,doll_159.33,
473,doll_35.29 b,,,doll_38.87,
474,doll_35.24 b,,,doll_48.88,
475,doll_35.52 b,,,doll_38.67,
476,doll_35.60 b,,,doll_255.03,
477,doll_35.58 b,,,doll_74.26,
478,doll_35.55 b,,,doll_71.56,
479,doll_35.66 b,,,doll_1.84,
480,doll_35.63 b,,,doll_2.70,
481,doll_35.68 b,,,doll_5.89,
482,doll_35.67 b,,,doll_40.40,
483,doll_36.00 b,,,doll_25.62,
484,doll_35.87 b,,,doll_41.48,
485,doll_36.05 b,,,doll_435.30,
486,doll_36.02 b,,,doll_141.00,
487,doll_36.27 b,,,doll_51.55,
488,doll_36.09 b,,,doll_204.61,
489,doll_36.52 b,,,doll_129.68,
490,doll_36.51 b,,,doll_132.28,
491,doll_36.62 b,,,doll_15.22,
492,doll_36.55 b,,,doll_45.22,
493,doll_36.71 b,,,doll_20.69,
494,doll_36.64 b,,,doll_47.96,
495,doll_36.80 b,,,doll_5.77,
496,doll_36.79 b,,,doll_105.79,
497,doll_36.86 b,,,doll_64.09,
498,doll_37.03 b,,,doll_38.61,
499,doll_31.20 b,,,doll_11.64,
500,doll_34.51 b,,,doll_70.12,
501,doll_31.21 b,,,"doll_3,383",
502,doll_31.27 b,,,doll_20.75,
503,doll_31.35 b,,,doll_11.25,
504,doll_31.32 b,,,doll_2.45,
505,doll_31.44 b,,,doll_2.95,
506,doll_31.41 b,,,doll_2.72,
507,doll_31.58 b,,,doll_73.04,
508,doll_31.53 b,,,doll_47.06,
509,doll_31.67 b,,,doll_6.48,
510,doll_31.75 b,,,doll_9.55,
511,doll_31.78 b,,,doll_0.68,
512,doll_31.76 b,,,doll_4.45,
513,doll_31.87 b,,,doll_49.20,
514,doll_31.78 b,,,doll_52.28,
515,doll_31.98 b,,,doll_67.15,
516,doll_31.87 b,,,doll_295.25,
517,doll_32.14 b,,,doll_20.18,
518,doll_32.06 b,,,doll_62.39,
519,doll_32.22 b,,,doll_180.53,
520,doll_32.20 b,,,doll_30.70,
521,doll_32.47 b,,,doll_1.99,
522,doll_32.26 b,,,doll_137.30,
523,doll_32.64 b,,,doll_44.54,
524,doll_32.56 b,,,doll_110.85,
525,doll_32.71 b,,,doll_108.29,
526,doll_32.77 b,,,doll_187.08,
527,doll_32.80 b,,,doll_78.71,
528,doll_32.77 b,,,doll_34.03,
529,doll_33.15 b,,,doll_144.39,
530,doll_33.13 b,,,"doll_1,486",
531,doll_33.06 b,,,doll_7.70,
532,doll_33.18 b,,,doll_3.14,
533,doll_33.26 b,,,doll_12.26,
534,doll_33.30 b,,,doll_284.28,
535,doll_33.22 b,,,doll_79.75,
536,doll_33.44 b,,,doll_151.20,
537,doll_33.45 b,,,doll_302.85,
538,doll_33.44 b,,,doll_7.15,
539,doll_33.79 b,,,"doll_1,595",
540,doll_33.58 b,,,doll_71.08,
541,doll_33.88 b,,,doll_68.98,
542,doll_33.92 b,,,doll_33.82,
543,doll_33.81 b,,,doll_621.82,
544,doll_33.94 b,,,doll_83.46,
545,doll_33.93 b,,,doll_0.81,
546,doll_34.01 b,,,doll_11.11,
547,doll_34.04 b,,,doll_36.25,
548,doll_34.08 b,,,doll_62.54,
549,doll_34.05 b,,,doll_47.57,
550,doll_34.36 b,,,doll_1.32,
551,doll_34.11 b,,,doll_232.90,
552,doll_34.08 b,,,doll_55.93,
553,doll_34.42 b,,,doll_18.13,
554,doll_34.41 b,,,doll_218.76,
555,doll_34.49 b,,,doll_53.94,
556,doll_34.47 b,,,doll_61.38,
557,doll_29.18 b,,,doll_169.10,
558,doll_29.19 b,,,doll_9.18,
559,doll_29.25 b,,,doll_244.64,
560,doll_29.41 b,,,doll_90.79,
561,doll_29.45 b,,,doll_51.43,
562,doll_29.41 b,,,doll_31.02,
563,doll_29.48 b,,,doll_3.40,
564,doll_29.52 b,,,doll_15.45,
565,doll_29.53 b,,,doll_29.65,
566,doll_29.58 b,,,doll_4.77,
567,doll_29.57 b,,,doll_9.62,
568,doll_29.70 b,,,doll_0.76,
569,doll_29.59 b,,,doll_4.48,
570,doll_29.72 b,,,doll_86.33,
571,doll_29.75 b,,,doll_29.51,
572,doll_30.03 b,,,doll_67.20,
573,doll_30.04 b,,,doll_66.43,
574,doll_29.95 b,,,doll_44.29,
575,doll_30.09 b,,,doll_92.04,
576,doll_30.14 b,,,doll_461.38,
577,doll_30.15 b,,,doll_16.98,
578,doll_30.17 b,,,doll_19.46,
579,doll_30.23 b,,,doll_1.03,
580,doll_30.28 b,,,doll_0.70,
581,doll_30.30 b,,,doll_96.06,
582,doll_30.33 b,,,doll_21.22,
583,doll_30.36 b,,,doll_40.61,
584,doll_30.37 b,,,doll_2.13,
585,doll_30.41 b,,,doll_10.03,
586,doll_30.39 b,,,doll_60.92,
587,doll_30.42 b,,,doll_602.08,
588,doll_30.48 b,,,doll_265.49,
589,doll_30.65 b,,,doll_12.77,
590,doll_30.63 b,,,doll_73.02,
591,doll_30.66 b,,,doll_9.92,
592,doll_30.65 b,,,doll_29.64,
593,doll_30.97 b,,,doll_3.42,
594,doll_30.99 b,,,doll_7.82,
595,doll_30.99 b,,,doll_4.37,
596,doll_31.08 b,,,doll_7.41,
597,doll_31.12 b,,,doll_15.66,
598,doll_28.93 b,,,doll_151.22,
599,doll_28.93 b,,,doll_0.32,
600,doll_28.93 b,,,doll_124.00,
601,doll_29.00 b,,,doll_185.44,
602,doll_29.15 b,,,doll_83.71,
603,doll_26.43 b,,,doll_187.28,
604,doll_26.49 b,,,doll_51.23,
605,doll_26.55 b,,,doll_9.84,
606,doll_26.57 b,,,doll_125.16,
607,doll_26.63 b,,,doll_151.98,
608,doll_26.74 b,,,doll_10.06,
609,doll_26.67 b,,,doll_54.49,
610,doll_26.79 b,,,doll_247.56,
611,doll_26.82 b,,,doll_53.22,
612,doll_26.94 b,,,doll_6.47,
613,doll_27.08 b,,,doll_28.19,
614,doll_26.99 b,,,doll_32.80,
615,doll_27.11 b,,,doll_4.24,
616,doll_27.13 b,,,doll_61.60,
617,doll_27.15 b,,,doll_174.90,
618,doll_27.15 b,,,doll_7.66,
619,doll_27.17 b,,,doll_0.95,
620,doll_27.15 b,,,doll_6.22,
621,doll_27.22 b,,,doll_138.45,
622,doll_27.20 b,,,doll_128.37,
623,doll_27.38 b,,,doll_9.13,
624,doll_27.55 b,,,doll_110.15,
625,doll_27.52 b,,,doll_107.97,
626,doll_27.64 b,,,doll_84.90,
627,doll_27.70 b,,,doll_31.36,
628,doll_27.86 b,,,doll_47.18,
629,doll_27.81 b,,,doll_351.99,
630,doll_27.80 b,,,doll_11.55,
631,doll_27.91 b,,,doll_78.00,
632,doll_27.87 b,,,doll_103.08,
633,doll_28.00 b,,,doll_2.02,
634,doll_27.95 b,,,doll_153.74,
635,doll_28.03 b,,,doll_5.11,
636,doll_28.02 b,,,doll_4.65,
637,doll_28.10 b,,,doll_103.73,
638,doll_28.08 b,,,doll_145.54,
639,doll_28.05 b,,,doll_7.48,
640,doll_28.15 b,,,doll_126.01,
641,doll_28.27 b,,,doll_5.05,
642,doll_28.31 b,,,doll_546.51,
643,doll_28.16 b,,,doll_0.97,
644,doll_28.36 b,,,doll_15.52,
645,doll_28.32 b,,,doll_3.60,
646,doll_28.36 b,,,doll_23.41,
647,doll_28.45 b,,,doll_2.60,
648,doll_28.51 b,,,doll_77.72,
649,doll_28.48 b,,,doll_23.41,
650,doll_28.53 b,,,doll_36.41,
651,doll_28.52 b,,,doll_99.85,
652,doll_28.54 b,,,doll_32.16,
653,doll_28.54 b,,,doll_3.98,
654,doll_28.75 b,,,doll_34.00,
655,doll_28.60 b,,,doll_18.14,
656,doll_28.79 b,,,doll_13.65,
657,doll_28.79 b,,,doll_105.40,
658,doll_28.83 b,,,doll_234.40,
659,doll_24.81 b,,,doll_91.62,
