,Unnamed: 0,market_cap,revenue
500,500,0,doll_1.3 b
501,501,doll_0.8002 b,doll_1.3 b
502,502,doll_5.7 b,doll_1.3 b
503,503,doll_1.5 b,doll_1.3 b
504,504,doll_4.7 b,doll_1.3 b
505,505,doll_1.3 b,doll_1.3 b
506,506,0,doll_1.3 b
507,507,doll_0.9126000000000001 b,doll_1.3 b
508,508,doll_0.6939 b,doll_1.3 b
509,509,doll_1.1 b,doll_1.3 b
510,510,doll_0.21080000000000002 b,doll_1.3 b
511,511,doll_0.3038 b,doll_1.3 b
512,512,doll_0.753 b,doll_1.3 b
513,513,doll_1.0 b,doll_1.3 b
514,514,doll_1.6 b,doll_1.3 b
515,515,doll_0.7868999999999999 b,doll_1.3 b
516,516,doll_3.1 b,doll_1.3 b
517,517,doll_1.8 b,doll_1.3 b
518,518,0,doll_1.3 b
519,519,doll_4.7 b,doll_1.3 b
520,520,0,doll_1.3 b
521,521,doll_0.4858 b,doll_1.3 b
522,522,doll_0.1505 b,doll_1.3 b
523,523,doll_1.1 b,doll_1.3 b
524,524,doll_2.9 b,doll_1.3 b
525,525,doll_1.3 b,doll_1.3 b
526,526,0,doll_1.3 b
527,527,doll_1.4 b,doll_1.3 b
528,528,doll_4.5 b,doll_1.3 b
529,529,doll_6.8 b,doll_1.3 b
530,530,doll_1.5 b,doll_1.3 b
531,531,doll_8.0 b,doll_1.3 b
532,532,doll_1.7 b,doll_1.3 b
533,533,doll_0.3068 b,doll_1.3 b
534,534,doll_0.1494 b,doll_1.3 b
535,535,doll_13.0 b,doll_1.3 b
536,536,doll_0.6575 b,doll_1.3 b
537,537,doll_2.5 b,doll_1.3 b
538,538,doll_0.8763 b,doll_1.3 b
539,539,doll_4.3 b,doll_1.3 b
540,540,doll_0.4333 b,doll_1.3 b
541,541,doll_0.8056 b,doll_1.3 b
542,542,doll_2.2 b,doll_1.3 b
543,543,doll_0.3944 b,doll_1.3 b
544,544,doll_4.4 b,doll_1.3 b
545,545,doll_6.9 b,doll_1.3 b
546,546,doll_0.0715 b,doll_1.3 b
547,547,doll_3.7 b,doll_1.3 b
548,548,doll_1.5 b,doll_1.3 b
549,549,0,doll_1.3 b
550,550,doll_0.7966 b,doll_1.3 b
551,551,doll_4.5 b,doll_1.3 b
552,552,0,doll_1.3 b
553,553,doll_27.6 b,doll_1.3 b
554,554,doll_11.0 b,doll_1.3 b
555,555,doll_3.4 b,doll_1.3 b
556,556,doll_15.5 b,doll_1.3 b
557,557,doll_5.0 b,doll_1.3 b
558,558,0,doll_1.3 b
559,559,doll_1.4 b,doll_1.3 b
560,560,doll_1.1 b,doll_1.3 b
561,561,doll_2.6 b,doll_1.3 b
562,562,doll_0.8095 b,doll_1.3 b
563,563,doll_2.0 b,doll_1.3 b
564,564,doll_11.4 b,doll_1.3 b
565,565,doll_1.4 b,doll_1.3 b
566,566,doll_1.1 b,doll_1.3 b
567,567,doll_3.6 b,doll_1.3 b
568,568,doll_0.09570000000000001 b,doll_1.3 b
569,569,doll_1.5 b,doll_1.3 b
570,570,doll_0.7453 b,doll_1.3 b
571,571,doll_1.0 b,doll_1.3 b
572,572,doll_1.2 b,doll_1.3 b
573,573,doll_2.0 b,doll_1.3 b
574,574,doll_4.2 b,doll_1.3 b
575,575,doll_3.8 b,doll_1.3 b
576,576,doll_2.4 b,doll_1.3 b
577,577,doll_6.2 b,doll_1.3 b
578,578,doll_3.6 b,doll_1.3 b
579,579,doll_4.7 b,doll_1.3 b
580,580,doll_1.6 b,doll_1.3 b
581,581,doll_0.3217 b,doll_1.3 b
582,582,doll_0.666 b,doll_1.3 b
583,583,doll_4.1 b,doll_1.3 b
584,584,doll_6.0 b,doll_1.3 b
585,585,doll_7.5 b,doll_1.3 b
586,586,doll_2.0 b,doll_1.3 b
587,587,doll_3.2 b,doll_1.3 b
588,588,doll_0.6376000000000001 b,doll_1.3 b
589,589,0,doll_1.3 b
590,590,doll_5.1 b,doll_1.3 b
591,591,doll_1.7 b,doll_1.3 b
592,592,doll_0.8344 b,doll_1.3 b
593,593,doll_22.5 b,doll_1.3 b
594,594,doll_4.0 b,doll_1.3 b
595,595,doll_8.5 b,doll_1.3 b
596,596,doll_3.2 b,doll_1.3 b
597,597,doll_2.5 b,doll_1.3 b
598,598,doll_0.259 b,doll_1.3 b
599,599,doll_2.0 b,doll_1.3 b
600,600,doll_0.9997999999999999 b,doll_1.3 b
601,601,doll_3.5 b,doll_1.3 b
602,602,doll_2.5 b,doll_1.3 b
603,603,doll_1.8 b,doll_1.3 b
604,604,doll_4.5 b,doll_1.3 b
605,605,doll_17.1 b,doll_1.3 b
606,606,doll_3.6 b,doll_1.3 b
607,607,doll_0.6033999999999999 b,doll_1.3 b
608,608,doll_2.3 b,doll_1.3 b
609,609,doll_0.4909 b,doll_1.3 b
610,610,0,doll_1.3 b
611,611,doll_1.7 b,doll_1.3 b
612,612,doll_1.5 b,doll_1.3 b
613,613,doll_1.5 b,doll_1.3 b
614,614,doll_1.5 b,doll_1.3 b
615,615,doll_0.0173 b,doll_1.3 b
616,616,doll_0.22130000000000002 b,doll_1.3 b
617,617,doll_2.1 b,doll_1.3 b
618,618,doll_1.2 b,doll_1.3 b
619,619,doll_2.7 b,doll_1.3 b
620,620,doll_1.2 b,doll_1.3 b
621,621,doll_3.3 b,doll_1.3 b
622,622,doll_1.7 b,doll_1.3 b
623,623,doll_1.5 b,doll_1.3 b
