03-gren-revenue_2017_eu,07-silvestri-revenue_2017,01-DDD-revenue_2017_euro,03-gren-revenue_2020_eu
3525720,"3,525,720","3,525,720",doll_15.9 m
1698358,"1,698,358","1,698,358",doll_7.01 m
645633,"645,633","645,633",doll_2.91 m
1128243,"1,128,243","1,128,243",doll_5.08 m
505520,"505,520","505,520",doll_2.26 m
516640,"516,640","516,640",doll_2.31 m
775341,"775,341","775,341",doll_3.45 m
771504,"771,504","771,504",doll_3.39 m
1492190,"1,492,190","1,492,190",doll_6.61 m
361790,"361,790","361,790",doll_1.6 m
8935361,"8,935,361","8,935,361",doll_39.36 m
1389534,"1,389,534","1,389,534",doll_6.11 m
857590,"857,590","857,590",doll_3.77 m
544943,"544,943","544,943",doll_2.39 m
1593667,"1,593,667","1,593,667",doll_6.98 m
2091995,"2,091,995","2,091,995",doll_9.09 m
9235130,"9,235,130","9,235,130",doll_40.39 m
743130,"743,130","743,130",doll_3.25 m
1119494,"1,119,494","1,119,494",doll_4.85 m
1062010,"1,062,010","1,062,010",doll_4.6 m
2199640,"2,199,640","2,199,640",doll_9.5 m
452091,"452,091","452,091",doll_1.95 m
2510930,"2,510,930","2,510,930",doll_10.83 m
630660,"630,660","630,660",doll_2.72 m
969930,"969,930","969,930",doll_4.17 m
499815,"499,815","499,815",doll_2.13 m
667467,"667,467","667,467",doll_2.84 m
691140,"691,140","691,140",doll_2.96 m
441271,"441,271","441,271",doll_1.89 m
917735,"917,735","917,735",doll_3.93 m
1134256,"1,134,256","1,134,256",doll_4.85 m
1702165,"1,702,165","1,702,165",doll_7.26 m
3163540,"3,163,540","3,163,540",doll_13.48 m
948813,"948,813","948,813",doll_4.01 m
20298288,"20,298,288","20,298,288",doll_93.44 m
4195789,"4,195,789","4,195,789",doll_17.45 m
2286000,"2,286,000","2,286,000",doll_9.72 m
19489369,"19,489,369","19,489,369",doll_82.24 m
8933769,"8,933,769","8,933,769",doll_34.68 m
799170,"799,170","799,170",doll_3.38 m
9145411,"9,145,411","9,145,411",doll_38.6 m
5394020,"5,394,020","5,394,020",doll_22.7 m
28378990,"28,378,990","28,378,990",doll_119.16 m
1084812,"1,084,812","1,084,812",doll_4.55 m
666118,"666,118","666,118",doll_2.79 m
21841341,"21,841,341","21,841,341",doll_89.33 m
2708258,"2,708,258","2,708,258",doll_11.32 m
376440,"376,440","376,440",doll_1.57 m
473640,"473,640","473,640",doll_1.98 m
2606296,"2,606,296","2,606,296",doll_10.81 m
5688822,"5,688,822","5,688,822",doll_23.5 m
2013403,"2,013,403","2,013,403",doll_8.36 m
1137450,"1,137,450","1,137,450",doll_4.72 m
1280989,"1,280,989","1,280,989",doll_5.3 m
451196,"451,196","451,196",doll_1.86 m
815449,"815,449","815,449",doll_3.27 m
6450759,"6,450,759","6,450,759",doll_26.39 m
1064498,"1,064,498","1,064,498",doll_4.32 m
868552,"868,552","868,552",doll_3.33 m
5381108,"5,381,108","5,381,108",doll_21.97 m
1201900,"1,201,900","1,201,900",doll_4.9 m
1016480,"1,016,480","1,016,480",doll_4.13 m
1177860,"1,177,860","1,177,860",doll_4.79 m
657377,"657,377","657,377",doll_2.44 m
3450000,"3,450,000","3,450,000",doll_14.0 m
102139979,"102,139,979","102,139,979",doll_411.39 m
1685348,"1,685,348","1,685,348",doll_6.77 m
3119000,"3,119,000","3,119,000",doll_12.61 m
1865319,"1,865,319","1,865,319",doll_7.53 m
524552,"524,552","524,552",doll_1.82 m
1081844,"1,081,844","1,081,844",doll_4.36 m
572798,"572,798","572,798",doll_2.24 m
2357096,"2,357,096","2,357,096",doll_9.49 m
679247,"679,247","679,247",doll_2.73 m
871779,"871,779","871,779",doll_3.5 m
762200,"762,200","762,200",doll_3.06 m
700823,"700,823","700,823",doll_2.81 m
1518678,"1,518,678","1,518,678",doll_5.99 m
1184000,"1,184,000","1,184,000",doll_4.71 m
3118698,"3,118,698","3,118,698",doll_12.12 m
1267224,"1,267,224","1,267,224",doll_5.03 m
