,name,address,country,hhid,industry,sic_code,type,est_of_ownership
84,De Agostini Spa,"VIA GIOVANNI DA VERRAZZANO 15, NOVARA, 28100, NOVARA, ITALY",IT01257120038,H-IT0049388177,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1901
85,Gs Spa,"VIA CALDERA 21, MILANO, 20153, MILANO, ITALY",IT12683790153,H-IT0074764403,Retail Trade,Ret groceries (5411),Corporation,1965
86,Cnp Vita Assicurazione Spa,"VIA ANGELO SCARSELLINI 14, MILANO, 20161, MILANO, ITALY",IT10210040159,H-IT0069629781,"Finance, Insurance, and Real Estate",Life insurance carrier (6311),Corporation,1990
87,Cnp Vita Assicura Spa,"VIA ANGELO SCARSELLINI 14, MILANO, 20161, MILANO, ITALY",IT09269930153,H-IT0061929387,"Finance, Insurance, and Real Estate",Life insurance carrier (6311),Corporation,1988
88,Pac 2000 A Soc Coop,"VIA DEL RAME SNC, PERUGIA, 06134, PERUGIA, ITALY",IT00163040546,H-IT0023035021,Wholesale Trade,Whol groceries (5149),Cooperative,1972
89,Ludo Spa,"VIA ANTONIO FOGAZZARO 28, MILANO, 20135, MILANO, ITALY",IT08566460963,H-IT0044271190,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2014
90,Prada Spa,"VIA LUNGARNO 1213-61, TERRANUOVA BRACCIOLINI, 52028, AREZZO, ITALY",IT10115350158,H-IT0026598132,Retail Trade,Ret family clothing (5651),Corporation,1990
91,Acciaierie D'italia Spa,"VIALE CERTOSA 239, MILANO, 20151, MILANO, ITALY",IT10354890963,H-IT0061222844,Manufacturing,Blast furnace-steel works (3312),Corporation,1995
92,Acciaierie D'italia Holding Spa,"VIALE CERTOSA 239, MILANO, 20151, MILANO, ITALY",IT09520030967,H-IT0051081903,Manufacturing,Blast furnace-steel works (3312),Corporation,2016
93,Allianz Global Investors Gmbh,"VIA DURINI 1, MILANO, 20122, MILANO, ITALY",IT08009620967,H-IT0007437188,"Finance, Insurance, and Real Estate",Misc business credit institutions (6159),Foreign Company,2012
94,Sony Europe B.v.,"VIA ANGELO RIZZOLI 4, MILANO, 20132, MILANO, ITALY",IT10496660969,H-IT0063085380,Wholesale Trade,Whol non durable goods (5199),Foreign Company,2018
95,Sorgenia Spa,"VIA ALESSANDRO ALGARDI 4, MILANO, 20148, MILANO, ITALY",IT12874490159,H-IT0008852677,"Transportation, Communications, Electric, Gas, and Sanitary Services",Electric services (4911),Corporation,1999
96,F2i Er 1 Spa,"VIA SAN PROTASO 5, MILANO, 20121, MILANO, ITALY",IT08731340967,H-IT0042738679,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2014
97,Fimedi Spa,"CORSO RE UMBERTO 10, TORINO, 10121, TORINO, ITALY",IT01123470013,H-IT0003008487,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1974
98,Buzzi Unicem Spa,"VIA LUIGI BUZZI 6, CASALE MONFERRATO, 15033, ALESSANDRIA, ITALY",IT01772030068,H-IT0034644245,Manufacturing,Mfg hydraulic cement (3241),Corporation,1907
99,Genertellife Spa,"VIA MAROCCHESA 14, MOGLIANO VENETO, 31021, TREVISO, ITALY",IT06515871009,H-IT0071050442,"Finance, Insurance, and Real Estate",Insurance carrier (6399),Corporation,1999
100,Logista Italia Spa,"VIA VALADIER 37, ROMA, 00193, ROMA, ITALY",IT06741351008,H-IT0058278001,Wholesale Trade,Whol tobacco products (5194),Corporation,2001
101,Pirelli Tyre Spa,"VIALE PIERO E ALBERTO PIRELLI 25, MILANO, 20126, MILANO, ITALY",IT07211330159,H-IT0037438514,Manufacturing,Mfg tires/inner tubes (3011),Corporation,1983
102,Hera Comm Spa,"VIA MOLINO ROSSO 8, IMOLA, 40026, BOLOGNA, ITALY",IT02221101203,H-IT0074275860,"Transportation, Communications, Electric, Gas, and Sanitary Services",Natural gas distribution (4924),Corporation,2001
103,Autogrill Spa,"GALLERIA SAN BABILA 4/A, MILANO, 20122, MILANO, ITALY",IT01630730032,H-IT0072773472,Retail Trade,Drinking place (5813),Corporation,1946
104,Rete Ferroviaria Italiana Spa,"PIAZZA DELLA CROCE ROSSA 1, ROMA, 00161, ROMA, ITALY",IT01008081000,H-IT0059184531,"Transportation, Communications, Electric, Gas, and Sanitary Services",Local/suburban transportation (4111),Corporation,1992
