00-avengers-ceo,02-GioPonSpiz-ceo,03-gren-ceo,04-iGMM-ceo,07-silvestri-ceo,08-slytherin-ceo
peter kenneth allen,,peter kenneth allen,peter kenneth allen,,brian schwartz
phebe novakovic,kurt sievers,kurt sievers richard l. clemmer,kurt sievers,,kurt sievers
masayoshi son,,vinay m tonse,vinay m tonse,,reinhard ploss
vagit alekperov,,erik engstrom,erik engstrom,,paul walker
reinhard ploss,lei jun,lei jun,lei jun,,ravil ulfatovich maganov
shemara wikramanayake,,shemara wikramanayake,shemara wikramanayake,,c. robert henrikson
michel a. khalaf,john w. thompson,francis desouza,francis desouza,,mr. ke ruiwen
lal karsanbhai,stacy j. smith,andrew anagnost,andrew anagnost,,albert m. baehny
peter king,albert m. baehny,pierre-alain ruffieux,pierre-alain ruffieux,,stacy j. smith
jie yang,,shayne elliott,shayne elliott,,ezra yacob
ezra yacob,ezra yacob,ezra yacob,ezra yacob,,peter warne
shayne elliott,mr. ke ruiwen,jie yang,jie yang,,lal karsanbhai
pierre-alain ruffieux,,peter king,peter king,,john mcfarlane
andrew anagnost,lal karsanbhai,lal karsanbhai,lal karsanbhai,,paul o'sullivan
francis desouza,c. robert henrikson,michel a. khalaf,michel a. khalaf,,john w. thompson
michael strugl,reshma kewalramani,reshma kewalramani,reshma kewalramani,,not found
tim s mckay,,,,,michael behrendt
,,steven van rijswijk,steven van rijswijk,,khoon hong kuok
george oliver,toshiaki higashihara,toshiaki higashihara,toshiaki higashihara,,hans wijers
victor g. dodig,,rolf habben jansen,rolf habben jansen,,toshiaki higashihara
rolf habben jansen,katharine stevenson ,victor g. dodig,victor g. dodig,,reshma kewalramani
toshiaki higashihara,george r. oliver,george oliver,george oliver,,n. murray edwards
steven van rijswijk,,,,,george r. oliver
,n. murray edwards,tim s mckay,tim s mckay,,katharine stevenson 
reshma kewalramani,martin ohneberg,michael strugl,michael strugl,,martin ohneberg
stelleo passos tolda,paul j. halg,paul schuler,paul schuler,,not found
,frank m. clark,christopher m. crane,christopher m. crane,,paul j. halg
kasper rorsted,,,,,h.h shk tahnoon bin zayed al nahyan
steve hasker,david perdue,todd j vasos,todd j vasos,,david thomson
stefan bird,hana al rostamani,hana al rostamani,hana al rostamani,,thomas rabe
hana al rostamani,stefan bird,stefan bird,stefan bird,,not found
todd j vasos,david thomson,steve hasker,steve hasker,,stelleo passos tolda
,,kasper rorsted,kasper rorsted,,frank m. clark
christopher m. crane,,,,,stefan bird
paul schuler ,stelleo passos tolda,stelleo passos tolda,stelleo passos tolda,,david perdue
shuntaro furukawa,shuntaro furukawa,shuntaro furukawa,shuntaro furukawa,,gian maria gros-pietro
david schwimmer,,werner baumann,werner baumann,,rishad premji
tadashi yanai,,olivier andries,olivier andries,,liu miao
,liu miao,,,,pankaj patel
carlo messina,bill marriott,anthony capuano,anthony capuano,,wei jianjun
thierry delaporte,,thierry delaporte,thierry delaporte,,ross mcinnes
anthony capuano,gian maria gros-pietro,carlo messina,carlo messina,,shuntaro furukawa
,wei jianjun,,,,tadashi yanai
olivier andries,tadashi yanai,tadashi yanai,tadashi yanai,,david schwimmer
werner baumann,,david schwimmer,david schwimmer,,bill marriott
yang-wei liu,liu young-way,yang-wei liu,yang-wei liu,,robin li
john pettigrew,robin li,robin li,robin li,,"ma mingzhe, peter"
xie yonglin,christoph franz,tatsuro kosaka,tatsuro kosaka,,liu young-way
jens bjorn andersen,david simon,david simon,david simon,,christoph franz
,robert gamgort,robert gamgort,robert gamgort,,not found
,,,,,anders dahlvig
robert gamgort,anders dahlvig,,,,john pettigrew
david simon,thomas plenborg,jens bjorn andersen,jens bjorn andersen,,thomas plenborg
tatsuro kosaka,"ma mingzhe, peter",xie yonglin,xie yonglin,,robert gamgort
robin li,,john pettigrew,john pettigrew,,david simon
abdulla mubarak al-khalifa,nikesh arora,nikesh arora,nikesh arora,,sunil bharti mittal
hiroshi suzuki,tom lynch,terrence curtin,terrence curtin,,ugur sahin
,lucia calvosa,claudio descalzi,claudio descalzi,,nikesh arora
ken xie,lai chun wang,,,,lai chun wang
thomas p gibbons,,gopal vittal,gopal vittal,,he ali ahmed al kuwari
gopal vittal,gerald l. hassell,thomas p gibbons,thomas p gibbons,,lucia calvosa
,ken xie,ken xie,ken xie,,tom lynch
claudio descalzi,ugur sahin,,,,hiroshi suzuki
terrence curtin,hiroshi suzuki,hiroshi suzuki,hiroshi suzuki,,ken xie
nikesh arora,he ali ahmed al kuwari,abdulla mubarak al-khalifa,abdulla mubarak al-khalifa,,gerald l. hassell
rangarajan raghuram,eric yuan,eric yuan,eric yuan,,sun piaoyang
,william c. montgomery,a. james teague,a. james teague,,liao zengtai
chi-foon chan,ren deqi,deqi ren,deqi ren,,tsuneo murata
tsuneo murata,sun piaoyang,,,,fumihiko ike
toshihiro mibe,,charlie nunn,charlie nunn,,ren deqi
charlie nunn,fumihiko ike,toshihiro mibe,toshihiro mibe,,william c. montgomery
,tsuneo murata,tsuneo murata,tsuneo murata,,eric yuan
deqi ren,aart j. de geus,chi-foon chan,chi-foon chan,,robin budenberg
a. james teague,liao zengtai,,,,michael dell
eric yuan,michael dell,rangarajan raghuram,rangarajan raghuram,,aart j. de geus
toshio kagami,toshio kagami,toshio kagami,toshio kagami,,lance uggla
"['frank vang-jensen', 'casper von koskull']",,uday kotak,uday kotak,,jassim mustafa boodai
oscar gonzalez rocha,brian duperreault,peter zaffino,peter zaffino,,prakash apte
,lance uggla,lance uggla,lance uggla,,toshio kagami
hilton schlosberg,ge li,,,,rodney cyril sacks
bobby kotick,bobby kotick,bobby kotick,bobby kotick,,german larrea mota-velasco
,rodney cyril sacks,hilton schlosberg,hilton schlosberg,,torbjorn magnusson
lance uggla,,,,,ge li
peter zaffino,german larrea mota-velasco,oscar gonzalez rocha,oscar gonzalez rocha,,brian duperreault
uday kotak,torbjorn magnusson,frank vang-jensen casper von koskull,frank vang-jensen,,bobby kotick
scott d. sheffield,,charles f. lowrey,charles f. lowrey,,wang dongjin
neil hunn,takeshi kunibe,makoto takashima,makoto takashima,,scott d. sheffield
,wang dongjin,yang hua,yang hua,,takeshi kunibe
david baszucki,andrew gould,olivier le peuch,olivier le peuch,,zhu hexin
ari bousbib,martin h. loeffler,richard adam norwitt,richard adam norwitt,,arthur f. ryan
richard adam norwitt,ari bousbib,ari bousbib,ari bousbib,,david b. baszucki
olivier le peuch,david b. baszucki,david baszucki,david baszucki,,neil hunn
yang hua,zhu hexin,,,,ari bousbib
makoto takashima,neil hunn,neil hunn,neil hunn,,andrew gould
charles f. lowrey,scott d. sheffield,scott d. sheffield,scott d. sheffield,,martin h. loeffler
michael d. hsu,thomas j. falk,michael d. hsu,michael d. hsu,,michael chaney ao
tom palmer,conni jonsson,christian sinding,christian sinding,,markus mosa
mirko bibic,dennis segers,victor peng,victor peng,,conni jonsson
c. s. venkatakrishnan,takehiko kakiuchi,takehiko kakiuchi,takehiko kakiuchi,,francois poirier
rob scott,francois poirier,francois poirier,francois poirier,,dennis segers
,markus mosa,,,,takehiko kakiuchi
francois poirier,,rob scott,rob scott,,nigel higgins
takehiko kakiuchi,,c. s. venkatakrishnan,c. s. venkatakrishnan,,mirko bibic
victor peng,mirko bibic,mirko bibic,mirko bibic,,thomas j. falk
christian sinding,wayne w murdy,tom palmer,tom palmer,,wayne w murdy
c vijayakumar,,simon a borrows,simon a borrows,,c vijayakumar
vladimir potanin,andrey bougrov,vladimir potanin,vladimir potanin,,bin li
simon a borrows,,c vijayakumar,c vijayakumar,,andrey bougrov
martin mucci,thomas thune andersen,mads nipper,mads nipper,,sarah hogg
rosalind brewer,kurt hilzinger,bruce d. broussard,bruce d. broussard,,jonathan w. ayers
john rim,jonathan w. ayers,jay mazelsky,jay mazelsky,,thomas thune andersen
,bin li,,,,kurt hilzinger
jay mazelsky,john rim,john rim,john rim,,john rim
bruce d. broussard,stefano pessina,rosalind brewer,rosalind brewer,,martin mucci
mads nipper,martin mucci,martin mucci,martin mucci,,stefano pessina
,qin yinglin,,,,not found
,,philippe brassac,philippe brassac,,david e oreilly
,richard sands,bill newlands,bill newlands,,calvin grieder
amit syngle,calvin grieder,gilles andrier,gilles andrier,,philippe brassac
gregory d. johnson,anirudh devgan,anirudh devgan,anirudh devgan,,qin yinglin
anirudh devgan,david e oreilly,gregory d. johnson,gregory d. johnson,,richard sands
gilles andrier,,amit syngle,amit syngle,,ashwin dani
bill newlands,glenn k. murphy(non-executive chairman),,,,anirudh devgan
philippe brassac,elon musk,,,,elon musk
,,,,,glenn k. murphy(non-executive chairman)
jean-marc chery,rajesh nambiar,brian humphries,brian humphries,,rajesh nambiar
ganesh moorthy,masahiro okafuji,masahiro okafuji,masahiro okafuji,,steve sanghi
bom suk kim,kevin p. clark,kevin p. clark,kevin p. clark,,kevin sayer
henry a. fernandez,miguel patricio,miguel patricio,miguel patricio,,henry a. fernandez
kevin r. sayer,laurence a. chapman,a. william stein,a. william stein,,maurizio tamagnini
a. william stein,kevin sayer,kevin r. sayer,kevin r. sayer,,miguel patricio
miguel patricio,henry a. fernandez,henry a. fernandez,henry a. fernandez,,kevin p. clark
kevin p. clark,bom suk kim,bom suk kim,bom suk kim,,bom suk kim
masahiro okafuji,steve sanghi,ganesh moorthy,ganesh moorthy,,masahiro okafuji
brian humphries,,jean-marc chery,jean-marc chery,,laurence a. chapman
nick akins,tony xu,tony xu,tony xu,,jeff weiner
tony xu,nick akins,nick akins,nick akins,,andrew forrest
michael f. neidorff,,elizabeth gaines,elizabeth gaines,,nick akins
olivier pomel,steve ells,brian niccol,brian niccol,,tony xu
david gitlin,jeremy weir,,,,olivier pomel
,,,,,david gitlin
,jeff weiner,,,,not found
,david gitlin,david gitlin,david gitlin,,michael f. neidorff
brian niccol,olivier pomel,olivier pomel,olivier pomel,,steve ells
elizabeth gaines,michael f. neidorff,michael f. neidorff,michael f. neidorff,,jeremy weir
michael j. hennigan,,benjamin william keswick,benjamin william keswick,,raden bei aria wirjaatmadja
fitterling,michael s. dell,michael s. dell,michael s. dell,,jeffrey w. martin
jose e. almeida,"shin, hak-cheol",hak cheol shin,hak cheol shin,,john witt
michael r. mcmullen,jeffrey w. martin,jeffrey w. martin,jeffrey w. martin,,jose e. almeida
william j stromberg,,,,,john p. surma(non-executive chairman)
,rob sharps,william j stromberg,william j stromberg,,"shin, hak-cheol"
jeffrey w. martin,michael r. mcmullen,michael r. mcmullen,michael r. mcmullen,,michael s. dell
hak cheol shin,jose e. almeida,jose e. almeida,jose e. almeida,,rob sharps
michael s. dell,jim fitterling,fitterling,fitterling,,jim fitterling
benjamin william keswick,john p. surma(non-executive chairman),michael j. hennigan,michael j. hennigan,,michael r. mcmullen
david velez osorno,ge li(non-executive chairman),,,,david velez-osomo
joachim wenning,jeffrey s. sloan,jeffrey s. sloan,jeffrey s. sloan,,wan min
katsunori maruyama,wan min,,,,ge li(non-executive chairman)
,arthur f. ryan,charles f. lowrey,charles f. lowrey,,jeffrey s. sloan
george kurtz,,david hsu,david hsu,,katsunori maruyama
david hsu,gerhard watzinger,george kurtz,george kurtz,,david hsu
charles f. lowrey,zhang ruimin,,,,arthur f. ryan
,katsunori maruyama,katsunori maruyama,katsunori maruyama,,gerhard watzinger
jeffrey s. sloan,,joachim wenning,joachim wenning,,joachim wenning
,,david velez osorno,david velez osorno,,zhang ruimin
jon vander ark,"c. raymond larkin, jr",joseph m. hogan,joseph m. hogan,,mike rogers
greg brown,chris kubasik,chris kubasik,chris kubasik,,manuel kadre
brian cassin,edward d. breen,edward d. breen,edward d. breen,,"c. raymond larkin, jr"
daniel ek,yasuchika hasegawa,christophe weber,christophe weber,,greg brown
nick read,roger f. dunbar,gregory w. becker,gregory w. becker,,roger f. dunbar
gregory w. becker,,nick read,nick read,,daniel ek
christophe weber,daniel ek,daniel ek,daniel ek,,chris kubasik
edward d. breen,,brian cassin,brian cassin,,yasuchika hasegawa
chris kubasik,greg brown,greg brown,greg brown,,himanshu kapania
joseph m. hogan,manuel kadre,jon vander ark,jon vander ark,,edward d. breen
william c. rhodes iii,christopher j. nassetta,christopher j. nassetta,christopher j. nassetta,,onur genc
onur genc,bouchard,brian p. hannasch,brian p. hannasch,,bouchard
thomas l. williams,choi soo-yeon,choi soo-yeon,choi soo-yeon,,rolf buch
,kentaro kawabe,kentaro kawabe,kentaro kawabe,,kentaro kawabe
enrique lores,,rolf eberhard buch,rolf eberhard buch,,christopher j. nassetta
rolf eberhard buch,enrique lores,enrique lores,enrique lores,,donald e. washkewicz
kentaro kawabe,john elkann,,,,john elkann
choi soo-yeon,donald e. washkewicz,thomas l. williams,thomas l. williams,,enrique lores
brian p. hannasch,,onur genc,onur genc,,choi soo-yeon
christopher j. nassetta,william c. rhodes iii,william c. rhodes iii,william c. rhodes iii,,william c. rhodes iii
jeff lawson,paul pressler,jamie iannone,jamie iannone,,edward d. shirley
ignatius navil noronha,marc rowan,marc rowan,marc rowan,,marc rowan
dominic blakemore,jeff harmening,jeff harmening,jeff harmening,,ramesh damani
dan amos,edward d. shirley,kevin hourican,kevin hourican,,jeff lawson
yoshiharu inaba,scott d. farmer,todd m. schneider,todd m. schneider,,ian meakins
todd m. schneider,seiuemon inaba,yoshiharu inaba,yoshiharu inaba,,daniel p. amos
kevin hourican,daniel p. amos,dan amos,dan amos,,seiuemon inaba
jeff harmening,,dominic blakemore,dominic blakemore,,jeff harmening
marc rowan,,ignatius navil noronha,ignatius navil noronha,,paul pressler
jamie iannone,jeff lawson,jeff lawson,jeff lawson,,scott d. farmer
ola rollen,,albert manifold,albert manifold,,chung eui-sun
henry r. kravis,chung eui-sun,chang jae-hoon,chang jae-hoon,,hua yu lu
,satoru komiya,satoru komiya,satoru komiya,,richie boucher
jean jereissati,alan d. schnitzer,alan d. schnitzer,alan d. schnitzer,,ola rollen
sunao manabe,,veronique penchienati bosetta,veronique penchienati bosetta,,gilles schnepp
veronique penchienati bosetta,george nakayama,sunao manabe,sunao manabe,,henry r. kravis
alan d. schnitzer,jean jereissati,jean jereissati,jean jereissati,,jean jereissati
satoru komiya,hua yu lu,,,,satoru komiya
chang jae-hoon,henry r. kravis,henry r. kravis,henry r. kravis,,george nakayama
albert manifold,ola rollen,ola rollen,ola rollen,,alan d. schnitzer
david gibbs,david layton,david layton,david layton,,richard h lenny
david j. endicott,michael d. mckee,sumit roy,sumit roy,,michael d. mckee
jayshree ullal,richard h lenny,michele buck,michele buck,,he xiaopeng
michael h. mcgarry,gang pan,,,,michael ball
ji xiaohui,he xiaopeng,,,,david gibbs
,gao guofu,ji xiaohui,ji xiaohui,,andy bechtolsheim
,michael h. mcgarry,michael h. mcgarry,michael h. mcgarry,,david layton
michele buck,andy bechtolsheim,jayshree ullal,jayshree ullal,,michael h. mcgarry
sumit roy,michael ball,david j. endicott,david j. endicott,,gang pan
david layton,david gibbs,david gibbs,david gibbs,,gao guofu
ludwig n. hantson,russell girling,,,,russell girling
juan ricardo luciano,wang shi,yu liang,yu liang,,david r. brennan
tatsuo yasunaga,low choon seng,helen wong,helen wong,,ryuichi isaka
ryuichi isaka,john cassaday,roy gori,roy gori,,john cassaday
peter vanacker,richard kinder,steven j. kean,steven j. kean,,peter vanacker
steven j. kean,peter vanacker,peter vanacker,peter vanacker,,richard kinder
roy gori,ryuichi isaka,ryuichi isaka,ryuichi isaka,,wang shi
helen wong,tatsuo yasunaga,tatsuo yasunaga,tatsuo yasunaga,,tatsuo yasunaga
yu liang,juan ricardo luciano,juan ricardo luciano,juan ricardo luciano,,juan ricardo luciano
,david r. brennan,ludwig n. hantson,ludwig n. hantson,,low choon seng
greg c. gantt,roberto egydio setubal,milton maluhy filho,milton maluhy filho,,lian dong zhang
kevin murphy,lian dong zhang,,,,david s. congdon
dr. detlef trefzger,,aiman ezzat,aiman ezzat,,roberto egydio setubal
benoit bazin,michael wilson,mark s. little,mark s. little,,pierre-andre de chalendar
kong qingwei,,joachim kreuzburg,joachim kreuzburg,,joachim kreuzburg
joachim kreuzburg,kong qingwei,kong qingwei,kong qingwei,,kong qingwei
mark s. little,,benoit bazin,benoit bazin,,geoff drabble
aiman ezzat,joerg wolle,dr. detlef trefzger,dr. detlef trefzger,,michael wilson
,,kevin murphy,kevin murphy,,paul hermelin
milton maluhy filho,david s. congdon,greg c. gantt,greg c. gantt,,joerg wolle
chen hong,kenneth j. bacon,shankh mitra,shankh mitra,,sanjiv bajaj
jeffrey stoops,john h. hammergren,brian s. tyler,brian s. tyler,,koenraad debackere
sanjiv bajaj,,,,,kenneth j. bacon
,blake moret,blake d. moret,blake d. moret,,john h. hammergren
jeff green,,johan thijs,johan thijs,,not found
johan thijs,jeff green,jeff green,jeff green,,jeff green
blake d. moret,,,,,not found
,,sanjiv bajaj,sanjiv bajaj,,chen hong
brian s. tyler,jeffrey stoops,jeffrey stoops,jeffrey stoops,,blake moret
shankh mitra,chen hong,chen hong,chen hong,,jeffrey stoops
dong mingzhu,gao yingxin,gao yingxin,gao yingxin,,gao yingxin
bob frenzel,,alison rose,alison rose,,dong mingzhu
andrew wilson,,,,,su hua
,borje ekholm,borje ekholm,borje ekholm,,thomas leysen
,,,,,lawrence f. probst iii
borje ekholm,,,,,wei qi lin
,lawrence f. probst iii,andrew wilson,andrew wilson,,not found
alison rose,bob frenzel,bob frenzel,bob frenzel,,borje ekholm
gao yingxin,dong mingzhu,dong mingzhu,dong mingzhu,,alison rose
dimitri de vreeze,,dimitri de vreeze,dimitri de vreeze,,bob frenzel
brendan horgan,ronald logue,ronald p. o'hanley,ronald p. o'hanley,,irene lee
henrik ehrnrooth,,,,,not found
