00-avengers-annual_net_income_in_usd,04-iGMM-annual_net_income_in_usd,03-gren-annual_net_income_usd
"2,462 million usd",680 million usd,680000000.0
"2,760 million usd","1,246 million usd",1246000000.0
"1,510 million usd","1,599 million usd",1599000000.0
"2,776 million usd","1,908 million usd",1908000000.0
"1,085 million usd",310 million usd,310000000.0
"1,802 million usd","1,317 million usd",1317000000.0
"1,317 million usd","1,802 million usd",1802000000.0
310 million usd,"1,085 million usd",1085000000.0
"1,908 million usd","2,776 million usd",2776000000.0
"1,599 million usd","1,510 million usd",1510000000.0
"1,246 million usd","2,760 million usd",2760000000.0
959 million usd,"1,789 million usd",1789000000.0
"1,169 million usd",427 million usd,427000000.0
-532 million usd,277 million usd,277000000.0
"1,518 million usd",768 million usd,768000000.0
"1,759 million usd","1,639 million usd",1639000000.0
"1,639 million usd","1,759 million usd",1759000000.0
768 million usd,"1,518 million usd",1518000000.0
277 million usd,-532 million usd,-532000000.0
427 million usd,"1,169 million usd",1169000000.0
"1,789 million usd",959 million usd,959000000.0
714 million usd,"1,836 million usd",1836000000.0
779 million usd,"2,474 million usd",2474000000.0
"4,542 million usd","2,956 million usd",2956000000.0
"1,002 million usd","3,401 million usd",3401000000.0
925 million usd,"4,690 million usd",4690000000.0
"4,690 million usd",925 million usd,925000000.0
"3,401 million usd","1,002 million usd",1002000000.0
"2,956 million usd","4,542 million usd",4542000000.0
"2,474 million usd",779 million usd,779000000.0
"1,836 million usd",714 million usd,714000000.0
"1,517 million usd","3,868 million usd",3868000000.0
"3,973 million usd","1,099 million usd",1099000000.0
"1,556 million usd",-260 million usd,-260000000.0
-351 million usd,894 million usd,894000000.0
906 million usd,"5,231 million usd",5231000000.0
"5,231 million usd",906 million usd,906000000.0
894 million usd,-351 million usd,-351000000.0
-260 million usd,"1,556 million usd",1556000000.0
"1,099 million usd","3,973 million usd",3973000000.0
"3,868 million usd","1,517 million usd",1517000000.0
"2,652 million usd",618 million usd,618000000.0
571 million usd,"4,175 million usd",4175000000.0
"2,131 million usd",-648 million usd,-648000000.0
"1,721 million usd","1,219 million usd",1219000000.0
"1,332 million usd",-106 million usd,-106000000.0
-106 million usd,"1,332 million usd",1332000000.0
"1,219 million usd","1,721 million usd",1721000000.0
-648 million usd,"2,131 million usd",2131000000.0
"4,175 million usd",571 million usd,571000000.0
618 million usd,"2,652 million usd",2652000000.0
666 million usd,666 million usd,666000000.0
"1,751 million usd","1,144 million usd",1144000000.0
"3,047 million usd","3,318 million usd",3318000000.0
"4,715 million usd","2,846 million usd",2846000000.0
"2,813 million usd",-520 million usd,-520000000.0
924 million usd,924 million usd,924000000.0
-520 million usd,"2,813 million usd",2813000000.0
"2,846 million usd","4,715 million usd",4715000000.0
"3,318 million usd","3,047 million usd",3047000000.0
"1,144 million usd","1,751 million usd",1751000000.0
"1,246 million usd",990 million usd,990000000.0
744 million usd,"3,237 million usd",3237000000.0
"12,223 million usd","3,473 million usd",3473000000.0
"6,795 million usd",338 million usd,338000000.0
"2,363 million usd",-135 million usd,-135000000.0
-135 million usd,"2,363 million usd",2363000000.0
338 million usd,"6,795 million usd",6795000000.0
"3,473 million usd","12,223 million usd",12223000000.0
"3,237 million usd",744 million usd,744000000.0
990 million usd,"1,246 million usd",1246000000.0
"5,617 million usd","5,465 million usd",5465000000.0
"5,465 million usd","5,617 million usd",5617000000.0
"2,443 million usd","1,852 million usd",1852000000.0
308 million usd,"1,906 million usd",1906000000.0
"2,022 million usd",936 million usd,936000000.0
"4,777 million usd","1,187 million usd",1187000000.0
"1,187 million usd","4,777 million usd",4777000000.0
936 million usd,"2,022 million usd",2022000000.0
"1,906 million usd",308 million usd,308000000.0
"1,852 million usd","2,443 million usd",2443000000.0
"8,179 million usd",,
838 million usd,"1,156 million usd",1156000000.0
-254 million usd,"1,333 million usd",1333000000.0
"1,322 million usd",486 million usd,486000000.0
821 million usd,-156 million usd,-156000000.0
-156 million usd,821 million usd,821000000.0
486 million usd,"1,322 million usd",1322000000.0
"1,333 million usd",-254 million usd,-254000000.0
"1,156 million usd",838 million usd,838000000.0
,"8,179 million usd",8179000000.0
"4,565 million usd","3,077 million usd",3077000000.0
421 million usd,"14,956 million usd",14956000000.0
"1,263 million usd",-221 million usd,-221000000.0
481 million usd,"1,327 million usd",1327000000.0
454 million usd,395 million usd,395000000.0
395 million usd,454 million usd,454000000.0
"1,327 million usd",481 million usd,481000000.0
-221 million usd,"1,263 million usd",1263000000.0
"14,956 million usd",421 million usd,421000000.0
"3,077 million usd","4,565 million usd",4565000000.0
"2,032 million usd","5,394 million usd",5394000000.0
"1,338 million usd",423 million usd,423000000.0
"5,843 million usd","6,216 million usd",6216000000.0
"3,747 million usd",784 million usd,784000000.0
"4,430 million usd","3,661 million usd",3661000000.0
"3,661 million usd","4,430 million usd",4430000000.0
784 million usd,"3,747 million usd",3747000000.0
"6,216 million usd","5,843 million usd",5843000000.0
423 million usd,"1,338 million usd",1338000000.0
"5,394 million usd","2,032 million usd",2032000000.0
"1,301 million usd",996 million usd,996000000.0
"3,759 million usd",521 million usd,521000000.0
-50 million usd,"2,322 million usd",2322000000.0
"1,220 million usd","3,231 million usd",3231000000.0
"1,689 million usd","8,918 million usd",8918000000.0
"8,918 million usd","1,689 million usd",1689000000.0
"3,231 million usd","1,220 million usd",1220000000.0
"2,322 million usd",-50 million usd,-50000000.0
521 million usd,"3,759 million usd",3759000000.0
996 million usd,"1,301 million usd",1301000000.0
35 million usd,272 million usd,272000000.0
"1,744 million usd",-848 million usd,-848000000.0
"1,541 million usd","2,669 million usd",2669000000.0
"2,607 million usd","1,332 million usd",1332000000.0
"3,985 million usd","1,346 million usd",1346000000.0
"1,346 million usd","3,985 million usd",3985000000.0
"1,332 million usd","2,607 million usd",2607000000.0
"2,669 million usd","1,541 million usd",1541000000.0
-848 million usd,"1,744 million usd",1744000000.0
272 million usd,35 million usd,35000000.0
"1,437 million usd","1,701 million usd",1701000000.0
903 million usd,"1,765 million usd",1765000000.0
"1,194 million usd",466 million usd,466000000.0
905 million usd,230 million usd,230000000.0
349 million usd,47 million usd,47000000.0
47 million usd,349 million usd,349000000.0
230 million usd,905 million usd,905000000.0
466 million usd,"1,194 million usd",1194000000.0
"1,765 million usd",903 million usd,903000000.0
"1,701 million usd","1,437 million usd",1437000000.0
741 million usd,"4,610 million usd",4610000000.0
"3,904 million usd","2,001 million usd",2001000000.0
919 million usd,"1,866 million usd",1866000000.0
648 million usd,"5,470 million usd",5470000000.0
878 million usd,"3,374 million usd",3374000000.0
"3,374 million usd",878 million usd,878000000.0
"5,470 million usd",648 million usd,648000000.0
"1,866 million usd",919 million usd,919000000.0
"2,001 million usd","3,904 million usd",3904000000.0
"4,610 million usd",741 million usd,741000000.0
"1,485 million usd",654 million usd,654000000.0
-306 million usd,-961 million usd,-961000000.0
-21 million usd,13 million usd,13000000.0
803 million usd,661 million usd,661000000.0
"4,222 million usd","1,947 million usd",1947000000.0
"1,947 million usd","4,222 million usd",4222000000.0
661 million usd,803 million usd,803000000.0
13 million usd,-21 million usd,-21000000.0
-961 million usd,-306 million usd,-306000000.0
654 million usd,"1,485 million usd",1485000000.0
184 million usd,802 million usd,802000000.0
845 million usd,"1,435 million usd",1435000000.0
308 million usd,"1,386 million usd",1386000000.0
256 million usd,292 million usd,292000000.0
"2,847 million usd",837 million usd,837000000.0
837 million usd,"2,847 million usd",2847000000.0
292 million usd,256 million usd,256000000.0
"1,386 million usd",308 million usd,308000000.0
"1,435 million usd",845 million usd,845000000.0
802 million usd,184 million usd,184000000.0
"1,485 million usd",880 million usd,880000000.0
"1,009 million usd",667 million usd,667000000.0
"1,498 million usd","1,399 million usd",1399000000.0
"1,043 million usd",,
"2,829 million usd",826 million usd,826000000.0
826 million usd,"2,829 million usd",2829000000.0
,"1,043 million usd",1043000000.0
"1,399 million usd","1,498 million usd",1498000000.0
667 million usd,"1,009 million usd",1009000000.0
880 million usd,"1,485 million usd",1485000000.0
520 million usd,"1,539 million usd",1539000000.0
-88 million usd,-300 million usd,-300000000.0
"4,441 million usd",469 million usd,469000000.0
"-2,343 million usd",622 million usd,622000000.0
670 million usd,123 million usd,123000000.0
123 million usd,670 million usd,670000000.0
622 million usd,"-2,343 million usd",-2343000000.0
469 million usd,"4,441 million usd",4441000000.0
-300 million usd,-88 million usd,-88000000.0
"1,539 million usd",520 million usd,520000000.0
"1,440 million usd",761 million usd,761000000.0
616 million usd,"2,377 million usd",2377000000.0
652 million usd,841 million usd,841000000.0
491 million usd,,
12 million usd,"1,943 million usd",1943000000.0
"1,943 million usd",12 million usd,12000000.0
,491 million usd,491000000.0
841 million usd,652 million usd,652000000.0
"2,377 million usd",616 million usd,616000000.0
761 million usd,"1,440 million usd",1440000000.0
"1,545 million usd","1,498 million usd",1498000000.0
988 million usd,"6,381 million usd",6381000000.0
"3,876 million usd",908 million usd,908000000.0
-543 million usd,,
780 million usd,"2,003 million usd",2003000000.0
"2,003 million usd",780 million usd,780000000.0
,-543 million usd,-543000000.0
908 million usd,"3,876 million usd",3876000000.0
"6,381 million usd",988 million usd,988000000.0
"1,498 million usd","1,545 million usd",1545000000.0
"1,980 million usd","7,959 million usd",7959000000.0
702 million usd,-69 million usd,-69000000.0
401 million usd,"1,833 million usd",1833000000.0
732 million usd,"1,132 million usd",1132000000.0
559 million usd,977 million usd,977000000.0
977 million usd,559 million usd,559000000.0
"1,132 million usd",732 million usd,732000000.0
"1,833 million usd",401 million usd,401000000.0
-69 million usd,702 million usd,702000000.0
"7,959 million usd","1,980 million usd",1980000000.0
721 million usd,"2,222 million usd",2222000000.0
280 million usd,"2,348 million usd",2348000000.0
"1,863 million usd",410 million usd,410000000.0
"2,260 million usd",934 million usd,934000000.0
"3,439 million usd",,
,"3,439 million usd",3439000000.0
934 million usd,"2,260 million usd",2260000000.0
410 million usd,"1,863 million usd",1863000000.0
"2,348 million usd",280 million usd,280000000.0
"2,222 million usd",721 million usd,721000000.0
"1,394 million usd","5,698 million usd",5698000000.0
-240 million usd,191 million usd,191000000.0
64 million usd,"1,082 million usd",1082000000.0
-523 million usd,784 million usd,784000000.0
"1,123 million usd","4,179 million usd",4179000000.0
"4,179 million usd","1,123 million usd",1123000000.0
784 million usd,-523 million usd,-523000000.0
"1,082 million usd",64 million usd,64000000.0
191 million usd,-240 million usd,-240000000.0
"5,698 million usd","1,394 million usd",1394000000.0
"-2,083 million usd",-674 million usd,-674000000.0
-650 million usd,813 million usd,813000000.0
"4,268 million usd","1,316 million usd",1316000000.0
614 million usd,770 million usd,770000000.0
"1,043 million usd",122 million usd,122000000.0
122 million usd,"1,043 million usd",1043000000.0
770 million usd,614 million usd,614000000.0
"1,316 million usd","4,268 million usd",4268000000.0
813 million usd,-650 million usd,-650000000.0
-674 million usd,"-2,083 million usd",-2083000000.0
997 million usd,997 million usd,997000000.0
"1,618 million usd",571 million usd,571000000.0
45 million usd,159 million usd,159000000.0
268 million usd,827 million usd,827000000.0
"1,014 million usd",404 million usd,404000000.0
608 million usd,608 million usd,608000000.0
404 million usd,"1,014 million usd",1014000000.0
827 million usd,268 million usd,268000000.0
159 million usd,45 million usd,45000000.0
571 million usd,"1,618 million usd",1618000000.0
755 million usd,755 million usd,755000000.0
"8,967 million usd","5,054 million usd",5054000000.0
"2,278 million usd",261 million usd,261000000.0
"1,567 million usd","-9,501 million usd",-9501000000.0
33 million usd,"1,498 million usd",1498000000.0
606 million usd,606 million usd,606000000.0
"1,498 million usd",33 million usd,33000000.0
"-9,501 million usd","1,567 million usd",1567000000.0
261 million usd,"2,278 million usd",2278000000.0
"5,054 million usd","8,967 million usd",8967000000.0
"1,081 million usd","1,081 million usd",1081000000.0
533 million usd,"1,082 million usd",1082000000.0
"2,683 million usd",-379 million usd,-379000000.0
761 million usd,597 million usd,597000000.0
97 million usd,140 million usd,140000000.0
611 million usd,611 million usd,611000000.0
597 million usd,97 million usd,97000000.0
140 million usd,761 million usd,761000000.0
"1,082 million usd","2,683 million usd",2683000000.0
-379 million usd,533 million usd,533000000.0
"1,153 million usd","1,153 million usd",1153000000.0
793 million usd,721 million usd,721000000.0
"2,454 million usd","2,832 million usd",2832000000.0
"1,245 million usd","1,314 million usd",1314000000.0
925 million usd,648 million usd,648000000.0
"1,649 million usd","1,649 million usd",1649000000.0
648 million usd,925 million usd,925000000.0
"1,314 million usd","1,245 million usd",1245000000.0
"2,832 million usd","2,454 million usd",2454000000.0
721 million usd,793 million usd,793000000.0
-66 million usd,-66 million usd,-66000000.0
627 million usd,191 million usd,191000000.0
"-1,754 million usd","2,365 million usd",2365000000.0
846 million usd,"2,519 million usd",2519000000.0
-82 million usd,899 million usd,899000000.0
"1,013 million usd","1,013 million usd",1013000000.0
899 million usd,-82 million usd,-82000000.0
"2,519 million usd",846 million usd,846000000.0
"2,365 million usd","-1,754 million usd",-1754000000.0
191 million usd,627 million usd,627000000.0
733 million usd,733 million usd,733000000.0
157 million usd,"1,579 million usd",1579000000.0
,"2,486 million usd",2486000000.0
562 million usd,"-1,100 million usd",-1100000000.0
460 million usd,242 million usd,242000000.0
652 million usd,652 million usd,652000000.0
242 million usd,460 million usd,460000000.0
"-1,100 million usd",562 million usd,562000000.0
"2,486 million usd",,
"1,579 million usd",157 million usd,157000000.0
380 million usd,380 million usd,380000000.0
"1,501 million usd","1,813 million usd",1813000000.0
