00-avengers-annual_net_income_in_usd,04-iGMM-annual_net_income_in_usd,03-gren-annual_net_income_usd
"1,477 million usd",840 million usd,840000000.0
359 million usd,376 million usd,376000000.0
"1,519 million usd","1,575 million usd",1575000000.0
"2,404 million usd","3,153 million usd",3153000000.0
"2,709 million usd","3,278 million usd",3278000000.0
"6,675 million usd","3,491 million usd",3491000000.0
"1,538 million usd","5,318 million usd",5318000000.0
"1,953 million usd","1,784 million usd",1784000000.0
"1,784 million usd","1,953 million usd",1953000000.0
"5,318 million usd","1,538 million usd",1538000000.0
"3,491 million usd","6,675 million usd",6675000000.0
"3,278 million usd","2,709 million usd",2709000000.0
"3,153 million usd","2,404 million usd",2404000000.0
"1,034 million usd","5,245 million usd",5245000000.0
"1,508 million usd","1,092 million usd",1092000000.0
"2,160 million usd","1,275 million usd",1275000000.0
"2,778 million usd","3,290 million usd",3290000000.0
"3,905 million usd",456 million usd,456000000.0
456 million usd,"3,905 million usd",3905000000.0
"3,290 million usd","2,778 million usd",2778000000.0
"1,275 million usd","2,160 million usd",2160000000.0
"1,092 million usd","1,508 million usd",1508000000.0
"5,245 million usd","1,034 million usd",1034000000.0
"3,570 million usd",336 million usd,336000000.0
237 million usd,"1,114 million usd",1114000000.0
570 million usd,651 million usd,651000000.0
701 million usd,"1,358 million usd",1358000000.0
137 million usd,"2,881 million usd",2881000000.0
"2,881 million usd",137 million usd,137000000.0
"1,358 million usd",701 million usd,701000000.0
651 million usd,570 million usd,570000000.0
"1,114 million usd",237 million usd,237000000.0
336 million usd,"3,570 million usd",3570000000.0
"3,356 million usd","2,917 million usd",2917000000.0
"1,597 million usd","4,278 million usd",4278000000.0
789 million usd,"-11,361 million usd",-11361000000.0
354 million usd,"2,383 million usd",2383000000.0
"1,213 million usd","1,213 million usd",1213000000.0
"2,383 million usd",354 million usd,354000000.0
"-11,361 million usd",789 million usd,789000000.0
"4,278 million usd","1,597 million usd",1597000000.0
"2,917 million usd","3,356 million usd",3356000000.0
"1,670 million usd","1,670 million usd",1670000000.0
"1,251 million usd","2,572 million usd",2572000000.0
"1,117 million usd",,
"3,143 million usd","1,773 million usd",1773000000.0
"5,351 million usd","1,722 million usd",1722000000.0
"5,635 million usd",,
,"5,635 million usd",5635000000.0
"1,722 million usd","5,351 million usd",5351000000.0
"1,773 million usd","3,143 million usd",3143000000.0
,"1,117 million usd",1117000000.0
"2,572 million usd","1,251 million usd",1251000000.0
680 million usd,"2,462 million usd",2462000000.0
268 million usd,"2,734 million usd",2734000000.0
"1,142 million usd",-262 million usd,-262000000.0
950 million usd,"1,379 million usd",1379000000.0
"4,033 million usd","2,659 million usd",2659000000.0
"2,659 million usd","4,033 million usd",4033000000.0
"1,379 million usd",950 million usd,950000000.0
-262 million usd,"1,142 million usd",1142000000.0
"2,734 million usd",268 million usd,268000000.0
