03-gren-market_capitalization_2022,02-GioPonSpiz-marketcap
31191000000.0,32.770 billion usd
31188000000.0,27.831 billion usd
31149000000.0,25.412 billion usd
31139000000.0,24.923 billion usd
31126000000.0,28.864 billion usd
31083000000.0,30.614 billion usd
31017000000.0,28.238 billion usd
31018000000.0,23.988 billion usd
30968000000.0,32.487 billion usd
30954000000.0,36.380 billion usd
30861000000.0,31.496 billion usd
30826000000.0,31.179 billion usd
30814000000.0,32.264 billion usd
30698000000.0,32.962 billion usd
30663000000.0,29.802 billion usd
30619000000.0,24.122 billion usd
30591000000.0,40.344 billion usd
30552000000.0,30.844 billion usd
30349000000.0,31.682 billion usd
30306000000.0,26.663 billion usd
30293000000.0,21.798 billion usd
30216000000.0,27.258 billion usd
30145000000.0,33.388 billion usd
30115000000.0,27.411 billion usd
30106000000.0,26.213 billion usd
29960000000.0,35.971 billion usd
29962000000.0,34.216 billion usd
29929000000.0,47.020 billion usd
29860000000.0,31.050 billion usd
29828000000.0,23.646 billion usd
29791000000.0,29.894 billion usd
29739000000.0,32.105 billion usd
29697000000.0,38.049 billion usd
29700000000.0,30.760 billion usd
29683000000.0,26.730 billion usd
29557000000.0,28.066 billion usd
29519000000.0,25.629 billion usd
29417000000.0,28.250 billion usd
29396000000.0,25.155 billion usd
29374000000.0,31.062 billion usd
29316000000.0,31.341 billion usd
29176000000.0,32.296 billion usd
29172000000.0,31.332 billion usd
29017000000.0,29.584 billion usd
29023000000.0,26.445 billion usd
28993000000.0,30.419 billion usd
28955000000.0,34.082 billion usd
28950000000.0,28.470 billion usd
28926000000.0,33.410 billion usd
28912000000.0,30.524 billion usd
28854000000.0,28.482 billion usd
28741000000.0,30.720 billion usd
28718000000.0,23.567 billion usd
28679000000.0,25.328 billion usd
28640000000.0,43.008 billion usd
28489000000.0,29.786 billion usd
28483000000.0,30.551 billion usd
28473000000.0,30.025 billion usd
28388000000.0,33.538 billion usd
28370000000.0,31.357 billion usd
28250000000.0,28.664 billion usd
28197000000.0,30.448 billion usd
28140000000.0,33.963 billion usd
28094000000.0,26.818 billion usd
28082000000.0,41.476 billion usd
28054000000.0,33.920 billion usd
27955000000.0,37.201 billion usd
27940000000.0,28.389 billion usd
,742
27910000000.0,25.023 billion usd
27885000000.0,28.936 billion usd
27860000000.0,25.899 billion usd
27853000000.0,23.638 billion usd
27815000000.0,19.098 billion usd
27731000000.0,29.475 billion usd
27707000000.0,25.394 billion usd
27700000000.0,27.000 billion usd
27662000000.0,16.712 billion usd
27623000000.0,24.526 billion usd
27609000000.0,27.687 billion usd
27592000000.0,24.669 billion usd
27519000000.0,22.180 billion usd
27466000000.0,28.699 billion usd
27469000000.0,20.629 billion usd
27412000000.0,27.756 billion usd
27337000000.0,39.879 billion usd
27300000000.0,29.328 billion usd
27278000000.0,30.590 billion usd
,24.164 billion usd
27282000000.0,28.011 billion usd
27261000000.0,21.793 billion usd
27211000000.0,33.026 billion usd
27200000000.0,32.557 billion usd
27200000000.0,25.531 billion usd
27151000000.0,25.416 billion usd
27074000000.0,23.758 billion usd
27049000000.0,27.005 billion usd
27047000000.0,24.686 billion usd
,770
27032000000.0,34.817 billion usd
26977000000.0,22.568 billion usd
26926000000.0,35.138 billion usd
26932000000.0,31.500 billion usd
26925000000.0,27.583 billion usd
26925000000.0,24.699 billion usd
26910000000.0,24.475 billion usd
26897000000.0,57.718 billion usd
26890000000.0,26.959 billion usd
26876000000.0,29.941 billion usd
26844000000.0,29.452 billion usd
26829000000.0,21.290 billion usd
26773000000.0,34.417 billion usd
26772000000.0,31.420 billion usd
26774000000.0,23.874 billion usd
26731000000.0,18.586 billion usd
26691000000.0,21.236 billion usd
26658000000.0,26.707 billion usd
26639000000.0,26.474 billion usd
26611000000.0,25.435 billion usd
,730
26590000000.0,34.238 billion usd
26583000000.0,28.392 billion usd
26571000000.0,28.246 billion usd
26567000000.0,25.878 billion usd
26492000000.0,26.692 billion usd
26465000000.0,21.084 billion usd
,23.310 billion usd
26436000000.0,26.322 billion usd
26404000000.0,24.194 billion usd
26383000000.0,28.343 billion usd
26338000000.0,25.101 billion usd
,801
26344000000.0,23.268 billion usd
26286000000.0,25.068 billion usd
26285000000.0,24.022 billion usd
26280000000.0,30.674 billion usd
26201000000.0,27.337 billion usd
26095000000.0,26.472 billion usd
26085000000.0,31.282 billion usd
26063000000.0,25.550 billion usd
26051000000.0,22.585 billion usd
26036000000.0,25.939 billion usd
26029000000.0,28.468 billion usd
26029000000.0,18.986 billion usd
25987000000.0,27.679 billion usd
25993000000.0,22.210 billion usd
25924000000.0,24.869 billion usd
25898000000.0,23.862 billion usd
25900000000.0,20.542 billion usd
25903000000.0,19.878 billion usd
25800000000.0,26.564 billion usd
25799000000.0,20.034 billion usd
