07-silvestri-market_value_jan_2020,04-iGMM-market_value__jan_1st_2020
,1.163 billion usd
,2.672 billion usd
,3.126 billion usd
,1.342 billion usd
,2.890 billion usd
,2.057 billion usd
,2.587 billion usd
,2.711 billion usd
,4.677 billion usd
,3.233 billion usd
,3.684 billion usd
,1.877 billion usd
,3.399 billion usd
,1.906 billion usd
,3.131 billion usd
,2.118 billion usd
,3.556 billion usd
,2.965 billion usd
,2.681 billion usd
,1.126 billion usd
,
,
,
,3.904 billion usd
,
,3.784 billion usd
,1.021 billion usd
,4.048 billion usd
,
,
,
,
,0.430 billion usd
,2.213 billion usd
,2.055 billion usd
,3.055 billion usd
,1.105 billion usd
,1.925 billion usd
,1.776 billion usd
,1.157 billion usd
,0.669 billion usd
,0.624 billion usd
,
,1.151 billion usd
,3.721 billion usd
,1.863 billion usd
,2.468 billion usd
,3.439 billion usd
,0.974 billion usd
,
,2.233 billion usd
,1.953 billion usd
,3.064 billion usd
,2.726 billion usd
,0.975 billion usd
,
,1.839 billion usd
,3.556 billion usd
,1.558 billion usd
,1.200 billion usd
,
,
,0.485 billion usd
,1.081 billion usd
,0.718 billion usd
,3.705 billion usd
,1.533 billion usd
,3.568 billion usd
,2.490 billion usd
,2.725 billion usd
,
,2.730 billion usd
,
,2.361 billion usd
,3.538 billion usd
,2.144 billion usd
,1.078 billion usd
,0.669 billion usd
,0.323 billion usd
,2.795 billion usd
,1.597 billion usd
,
,3.860 billion usd
,2.499 billion usd
,3.085 billion usd
,1.135 billion usd
,2.834 billion usd
,1.729 billion usd
,2.712 billion usd
,2.143 billion usd
,2.491 billion usd
,1.980 billion usd
,2.754 billion usd
,0.802 billion usd
,2.215 billion usd
,4.333 billion usd
,1.436 billion usd
,1.817 billion usd
,1.857 billion usd
,3.011 billion usd
,3.292 billion usd
,2.285 billion usd
,3.410 billion usd
,2.305 billion usd
,2.423 billion usd
,1.540 billion usd
,0.937 billion usd
,2.790 billion usd
,0.940 billion usd
,0.721 billion usd
,0.797 billion usd
,14.605 billion usd
,0.750 billion usd
,
,3.248 billion usd
,2.218 billion usd
,2.325 billion usd
,2.158 billion usd
,3.188 billion usd
,0.898 billion usd
,3.137 billion usd
,4.101 billion usd
,
,0.645 billion usd
,2.294 billion usd
,5.346 billion usd
,
,2.908 billion usd
,1.686 billion usd
,
,1.413 billion usd
,
,3.230 billion usd
,
,0.940 billion usd
,3.031 billion usd
,2.562 billion usd
,1.325 billion usd
,1.107 billion usd
,3.340 billion usd
,
,1.506 billion usd
,1.037 billion usd
,2.295 billion usd
,1.029 billion usd
,2.971 billion usd
,4.043 billion usd
,4.409 billion usd
,2.514 billion usd
,5.751 billion usd
,0.907 billion usd
,2.083 billion usd
,2.115 billion usd
,1.631 billion usd
,3.077 billion usd
,
,0.991 billion usd
,4.911 billion usd
,3.586 billion usd
,5.787 billion usd
,2.064 billion usd
,2.930 billion usd
,2.274 billion usd
,4.172 billion usd
,1.069 billion usd
,2.822 billion usd
,1.940 billion usd
,2.989 billion usd
,0.929 billion usd
,1.924 billion usd
,
,0.796 billion usd
,
,3.419 billion usd
,1.094 billion usd
,1.849 billion usd
,4.846 billion usd
,2.627 billion usd
,2.844 billion usd
,0.413 billion usd
,1.435 billion usd
,1.161 billion usd
,
,
,
,1.451 billion usd
,2.957 billion usd
,1.921 billion usd
,1.196 billion usd
,2.181 billion usd
,2.407 billion usd
,2.822 billion usd
,1.883 billion usd
,2.251 billion usd
,1.322 billion usd
,
,2.174 billion usd
,1.161 billion usd
,1.788 billion usd
,
,2.644 billion usd
,
,3.402 billion usd
,1.813 billion usd
,3.162 billion usd
,2.229 billion usd
,3.385 billion usd
,1.622 billion usd
,
,2.187 billion usd
,1.113 billion usd
,
,1.677 billion usd
,0.673 billion usd
,0.460 billion usd
,2.601 billion usd
,0.980 billion usd
,1.847 billion usd
,3.015 billion usd
,3.435 billion usd
,0.696 billion usd
,
,3.305 billion usd
,1.897 billion usd
,2.356 billion usd
,2.775 billion usd
,2.166 billion usd
,0.594 billion usd
,
,0.867 billion usd
,1.660 billion usd
,3.114 billion usd
,5.506 billion usd
,4.863 billion usd
,3.105 billion usd
,1.161 billion usd
,
,0.796 billion usd
,1.578 billion usd
,0.986 billion usd
,3.448 billion usd
,3.145 billion usd
,2.696 billion usd
,2.462 billion usd
,1.990 billion usd
,2.438 billion usd
,
,3.979 billion usd
,0.455 billion usd
,1.048 billion usd
,7.101 billion usd
,
,2.750 billion usd
,
,3.304 billion usd
,2.031 billion usd
,1.945 billion usd
,0.976 billion usd
,2.807 billion usd
,1.602 billion usd
,1.420 billion usd
,
,
,1.971 billion usd
,1.845 billion usd
,2.595 billion usd
,2.746 billion usd
,0.455 billion usd
,1.830 billion usd
,2.461 billion usd
,0.987 billion usd
,1.464 billion usd
,0.450 billion usd
,1.411 billion usd
,1.286 billion usd
,1.210 billion usd
,
,
,1.075 billion usd
,1.851 billion usd
,2.794 billion usd
,1.488 billion usd
,1.811 billion usd
,2.313 billion usd
,1.796 billion usd
,
,1.239 billion usd
,1.459 billion usd
,6.859 billion usd
,3.551 billion usd
,6.618 billion usd
,4.190 billion usd
,2.463 billion usd
,2.234 billion usd
,3.584 billion usd
,2.471 billion usd
,2.607 billion usd
,1.373 billion usd
,1.352 billion usd
,
,
,
,
,
,2.210 billion usd
,2.523 billion usd
,1.372 billion usd
,2.267 billion usd
,1.620 billion usd
,1.831 billion usd
,0.986 billion usd
,1.024 billion usd
,1.539 billion usd
,
,7.218 billion usd
,
,0.310 billion usd
,
,7.301 billion usd
,1.462 billion usd
,3.030 billion usd
,
,2.876 billion usd
,3.584 billion usd
,
,3.146 billion usd
,1.845 billion usd
,0.699 billion usd
,
,
,
,2.752 billion usd
,1.970 billion usd
,
,2.622 billion usd
,1.083 billion usd
,0.707 billion usd
,
,0.680 billion usd
,2.537 billion usd
,1.384 billion usd
,1.040 billion usd
,3.385 billion usd
,0.947 billion usd
,1.777 billion usd
,
,3.224 billion usd
,1.573 billion usd
,2.937 billion usd
,2.862 billion usd
,2.218 billion usd
,3.355 billion usd
,1.407 billion usd
,2.379 billion usd
,0.641 billion usd
,2.593 billion usd
,3.063 billion usd
,4.373 billion usd
,2.061 billion usd
,
,0.954 billion usd
,1.827 billion usd
,1.765 billion usd
,2.513 billion usd
,3.881 billion usd
,1.594 billion usd
,2.968 billion usd
,2.098 billion usd
,1.919 billion usd
,2.416 billion usd
,1.809 billion usd
,1.312 billion usd
,2.030 billion usd
,
,0.741 billion usd
,1.471 billion usd
,
,2.050 billion usd
,1.037 billion usd
,3.457 billion usd
,2.654 billion usd
,3.339 billion usd
,3.114 billion usd
,2.386 billion usd
,2.424 billion usd
,
,
,1.661 billion usd
,2.530 billion usd
,2.004 billion usd
,1.268 billion usd
,
,3.761 billion usd
,1.192 billion usd
,2.784 billion usd
,3.287 billion usd
,1.620 billion usd
,0.850 billion usd
,2.787 billion usd
,0.849 billion usd
,1.701 billion usd
,1.850 billion usd
,0.917 billion usd
,
,1.089 billion usd
,
,
,
,2.162 billion usd
,1.275 billion usd
,2.219 billion usd
,2.585 billion usd
,1.855 billion usd
,1.291 billion usd
,1.360 billion usd
,1.031 billion usd
,1.345 billion usd
,1.385 billion usd
,
,1.468 billion usd
,1.640 billion usd
,1.732 billion usd
,1.665 billion usd
,1.828 billion usd
,1.319 billion usd
,1.408 billion usd
,0.888 billion usd
,
,5.226 billion usd
,3.025 billion usd
,1.704 billion usd
,0.768 billion usd
,
,3.742 billion usd
,2.367 billion usd
,2.188 billion usd
,1.426 billion usd
,2.567 billion usd
,1.343 billion usd
,3.479 billion usd
,2.018 billion usd
,1.609 billion usd
,
,
,
,1.507 billion usd
,4.830 billion usd
,
,2.872 billion usd
,1.474 billion usd
,3.474 billion usd
,2.273 billion usd
,1.562 billion usd
,0.872 billion usd
,4.424 billion usd
,1.341 billion usd
,2.013 billion usd
,2.547 billion usd
,1.136 billion usd
,2.331 billion usd
,2.692 billion usd
,2.107 billion usd
,0.568 billion usd
,1.646 billion usd
,1.075 billion usd
,1.126 billion usd
,
,
,1.523 billion usd
,3.012 billion usd
,2.230 billion usd
,1.996 billion usd
,3.580 billion usd
,
,2.668 billion usd
,1.583 billion usd
,1.399 billion usd
,1.362 billion usd
,1.887 billion usd
,2.264 billion usd
,
,0.654 billion usd
,6.364 billion usd
,3.164 billion usd
,0.418 billion usd
,
,
,
,2.566 billion usd
,3.014 billion usd
,2.770 billion usd
,2.130 billion usd
,2.272 billion usd
,2.286 billion usd
,1.928 billion usd
,5.466 billion usd
,1.760 billion usd
,2.643 billion usd
,2.695 billion usd
,1.824 billion usd
,3.196 billion usd
,1.478 billion usd
,0.725 billion usd
,2.651 billion usd
,3.759 billion usd
,0.940 billion usd
,2.976 billion usd
,1.358 billion usd
,
,0.230 billion usd
,1.662 billion usd
,1.907 billion usd
,1.868 billion usd
,2.027 billion usd
,1.814 billion usd
,2.031 billion usd
,0.733 billion usd
,1.745 billion usd
,
,0.958 billion usd
,0.278 billion usd
,
,
,3.278 billion usd
,3.609 billion usd
,3.277 billion usd
,2.304 billion usd
,1.064 billion usd
,3.312 billion usd
,1.211 billion usd
,2.049 billion usd
,2.405 billion usd
,0.725 billion usd
,0.259 billion usd
,
,1.243 billion usd
,
,2.854 billion usd
,2.497 billion usd
,0.533 billion usd
,2.039 billion usd
,1.797 billion usd
,1.139 billion usd
,2.552 billion usd
,
,
,2.233 billion usd
,
,1.330 billion usd
,0.508 billion usd
,3.269 billion usd
,3.063 billion usd
,
,2.990 billion usd
,2.986 billion usd
,1.376 billion usd
,1.124 billion usd
,0.867 billion usd
,3.035 billion usd
,2.900 billion usd
,0.970 billion usd
,1.833 billion usd
,0.628 billion usd
,
,2.954 billion usd
,0.757 billion usd
,1.199 billion usd
,
,2.043 billion usd
,2.985 billion usd
,
,0.029 billion usd
,2.025 billion usd
,2.286 billion usd
,1.388 billion usd
,2.326 billion usd
,1.727 billion usd
,1.716 billion usd
,0.632 billion usd
,2.839 billion usd
,2.016 billion usd
,1.191 billion usd
,0.480 billion usd
,1.409 billion usd
,2.690 billion usd
,0.505 billion usd
,2.480 billion usd
,1.700 billion usd
,0.735 billion usd
,2.033 billion usd
,2.232 billion usd
,2.181 billion usd
,1.782 billion usd
,0.900 billion usd
,
,1.068 billion usd
,
,3.630 billion usd
,2.365 billion usd
,4.172 billion usd
,1.947 billion usd
,2.016 billion usd
,1.850 billion usd
,2.515 billion usd
,2.840 billion usd
,0.829 billion usd
,1.575 billion usd
,1.678 billion usd
,2.159 billion usd
,1.147 billion usd
,1.210 billion usd
,
,
,3.651 billion usd
,2.261 billion usd
,3.683 billion usd
,2.229 billion usd
,
,2.514 billion usd
,0.942 billion usd
,0.673 billion usd
,0.213 billion usd
,1.663 billion usd
,1.057 billion usd
,
,2.718 billion usd
,1.442 billion usd
,2.033 billion usd
,
,1.402 billion usd
,1.615 billion usd
,1.296 billion usd
,3.878 billion usd
,1.342 billion usd
,1.754 billion usd
,2.324 billion usd
,3.776 billion usd
,
,0.444 billion usd
,2.147 billion usd
,2.250 billion usd
,4.458 billion usd
,2.061 billion usd
,2.143 billion usd
,2.395 billion usd
,2.682 billion usd
,2.580 billion usd
,2.094 billion usd
,2.804 billion usd
,1.144 billion usd
,2.169 billion usd
,1.681 billion usd
,1.130 billion usd
,
,2.642 billion usd
,0.551 billion usd
,1.677 billion usd
,1.192 billion usd
,2.855 billion usd
,1.058 billion usd
,
,3.013 billion usd
,
,1.133 billion usd
,
,1.822 billion usd
,1.203 billion usd
,2.140 billion usd
,4.211 billion usd
,1.021 billion usd
,9.152 billion usd
,1.955 billion usd
,2.352 billion usd
,1.665 billion usd
,3.587 billion usd
,1.641 billion usd
,2.085 billion usd
,2.274 billion usd
,1.993 billion usd
,2.499 billion usd
,2.296 billion usd
,
,1.050 billion usd
,2.473 billion usd
,2.178 billion usd
,1.910 billion usd
,2.610 billion usd
,1.314 billion usd
,3.027 billion usd
,1.903 billion usd
,1.803 billion usd
,0.647 billion usd
,0.756 billion usd
,13.246 billion usd
,4.680 billion usd
,
,
,3.158 billion usd
,3.016 billion usd
,
,2.127 billion usd
,2.365 billion usd
,
,
,1.678 billion usd
,12.151 billion usd
,2.012 billion usd
,
,2.213 billion usd
,2.180 billion usd
,2.309 billion usd
,
,1.763 billion usd
,
,1.928 billion usd
,0.790 billion usd
,
,2.475 billion usd
,1.767 billion usd
,3.062 billion usd
,
,1.887 billion usd
,2.231 billion usd
,4.097 billion usd
,1.673 billion usd
,1.096 billion usd
,2.791 billion usd
,2.098 billion usd
,1.235 billion usd
,3.245 billion usd
,1.574 billion usd
,1.932 billion usd
,3.690 billion usd
,1.412 billion usd
,
,
,3.325 billion usd
,2.544 billion usd
,
,
,
,
,
,3.604 billion usd
,2.554 billion usd
,4.237 billion usd
,1.212 billion usd
,2.370 billion usd
,2.486 billion usd
,1.858 billion usd
,1.229 billion usd
,1.029 billion usd
,
,0.756 billion usd
,4.607 billion usd
,2.522 billion usd
,
,2.278 billion usd
,0.455 billion usd
,1.931 billion usd
,1.509 billion usd
,0.575 billion usd
,2.345 billion usd
,2.419 billion usd
,1.886 billion usd
,2.061 billion usd
,2.024 billion usd
,1.210 billion usd
,2.194 billion usd
,
,2.511 billion usd
,1.094 billion usd
,2.750 billion usd
,2.374 billion usd
,1.753 billion usd
,2.351 billion usd
,1.581 billion usd
,3.260 billion usd
,
,
,1.131 billion usd
,1.514 billion usd
,1.953 billion usd
,1.612 billion usd
,1.807 billion usd
,
,2.106 billion usd
,0.868 billion usd
,1.178 billion usd
,2.038 billion usd
,2.948 billion usd
,
,0.612 billion usd
,2.341 billion usd
,5.878 billion usd
,2.888 billion usd
,2.607 billion usd
,1.021 billion usd
,0.976 billion usd
,1.568 billion usd
,0.822 billion usd
,1.207 billion usd
,0.917 billion usd
,0.603 billion usd
,
,1.583 billion usd
,2.782 billion usd
,1.089 billion usd
,3.804 billion usd
,0.999 billion usd
,2.681 billion usd
,2.189 billion usd
,
,3.372 billion usd
,1.093 billion usd
,1.570 billion usd
,0.450 billion usd
,0.964 billion usd
,1.289 billion usd
,1.438 billion usd
,1.440 billion usd
,2.024 billion usd
,2.012 billion usd
,1.938 billion usd
,1.230 billion usd
,
,
,1.031 billion usd
,
,1.050 billion usd
,
,6.616 billion usd
,32.143 billion usd
,0.300 billion usd
,2.041 billion usd
,3.336 billion usd
,2.775 billion usd
,1.588 billion usd
,1.588 billion usd
,1.050 billion usd
,0.946 billion usd
,1.497 billion usd
,0.377 billion usd
,1.465 billion usd
,1.621 billion usd
,0.559 billion usd
,
,3.898 billion usd
,0.498 billion usd
,
,3.214 billion usd
,1.357 billion usd
,0.699 billion usd
,0.846 billion usd
,
,
,2.763 billion usd
,1.604 billion usd
,2.539 billion usd
,4.909 billion usd
,1.497 billion usd
,1.105 billion usd
,0.993 billion usd
,1.891 billion usd
,1.911 billion usd
,2.213 billion usd
,1.486 billion usd
,1.260 billion usd
,1.795 billion usd
,1.386 billion usd
,0.826 billion usd
,5.143 billion usd
,1.467 billion usd
,1.357 billion usd
,1.595 billion usd
,2.163 billion usd
,2.729 billion usd
,1.801 billion usd
,1.128 billion usd
,1.717 billion usd
,2.178 billion usd
,2.234 billion usd
,1.119 billion usd
,
,
,1.249 billion usd
,1.409 billion usd
,6.450 billion usd
,2.259 billion usd
,1.899 billion usd
,3.431 billion usd
,2.820 billion usd
,0.484 billion usd
,1.932 billion usd
,4.225 billion usd
,2.897 billion usd
,2.952 billion usd
,2.127 billion usd
,1.566 billion usd
,1.110 billion usd
,1.565 billion usd
,0.877 billion usd
,1.565 billion usd
,1.344 billion usd
,0.865 billion usd
,1.100 billion usd
,1.593 billion usd
,
,4.167 billion usd
,1.626 billion usd
,1.562 billion usd
,
,1.872 billion usd
,
,1.382 billion usd
,
,
,1.133 billion usd
,
,1.558 billion usd
,0.746 billion usd
,0.616 billion usd
,4.214 billion usd
,1.557 billion usd
,0.564 billion usd
,1.930 billion usd
,3.281 billion usd
,0.700 billion usd
,
,1.961 billion usd
,2.373 billion usd
,3.030 billion usd
,1.016 billion usd
,1.223 billion usd
,0.613 billion usd
,1.890 billion usd
,2.012 billion usd
,1.583 billion usd
,2.193 billion usd
,1.749 billion usd
,1.912 billion usd
,3.223 billion usd
,2.210 billion usd
,0.763 billion usd
,
,0.478 billion usd
,0.588 billion usd
,0.987 billion usd
,2.080 billion usd
,2.116 billion usd
,1.288 billion usd
,1.687 billion usd
,
,3.093 billion usd
,6.001 billion usd
,0.745 billion usd
,1.862 billion usd
,0.149 billion usd
,1.742 billion usd
,
,1.828 billion usd
,1.863 billion usd
,1.021 billion usd
,
,1.984 billion usd
,1.235 billion usd
,2.415 billion usd
,0.886 billion usd
,
,2.958 billion usd
,
,1.012 billion usd
,2.100 billion usd
,2.025 billion usd
,2.506 billion usd
,2.213 billion usd
,3.387 billion usd
,1.534 billion usd
,1.056 billion usd
,1.348 billion usd
,
,3.077 billion usd
,3.121 billion usd
,1.775 billion usd
,0.833 billion usd
,2.545 billion usd
,0.526 billion usd
,1.228 billion usd
,1.341 billion usd
,1.841 billion usd
,0.732 billion usd
,0.695 billion usd
,
,1.582 billion usd
,0.680 billion usd
,
,2.164 billion usd
,
,
,
,3.334 billion usd
,1.302 billion usd
,2.543 billion usd
,
,3.093 billion usd
,
,1.901 billion usd
,
,1.063 billion usd
,
,1.481 billion usd
,1.646 billion usd
,1.954 billion usd
,2.380 billion usd
,
,0.939 billion usd
,2.207 billion usd
,1.666 billion usd
,
,
,1.193 billion usd
,1.676 billion usd
,1.729 billion usd
,3.127 billion usd
,2.431 billion usd
,1.798 billion usd
,2.242 billion usd
,3.469 billion usd
,1.110 billion usd
,0.660 billion usd
,2.297 billion usd
,0.729 billion usd
,1.409 billion usd
,0.890 billion usd
,1.142 billion usd
,4.202 billion usd
,3.858 billion usd
,4.907 billion usd
,1.647 billion usd
,0.889 billion usd
,1.965 billion usd
,3.092 billion usd
,0.423 billion usd
,0.698 billion usd
,2.380 billion usd
,4.687 billion usd
,1.539 billion usd
,
,
,
,1.983 billion usd
,1.839 billion usd
,1.071 billion usd
,3.118 billion usd
,1.298 billion usd
,1.247 billion usd
,
,0.571 billion usd
,0.591 billion usd
,
,1.018 billion usd
,4.605 billion usd
,1.525 billion usd
,2.905 billion usd
,0.848 billion usd
,1.021 billion usd
,2.093 billion usd
,0.261 billion usd
,2.029 billion usd
,2.117 billion usd
,2.050 billion usd
,2.426 billion usd
,1.540 billion usd
,1.042 billion usd
,1.586 billion usd
,0.667 billion usd
,0.281 billion usd
,1.608 billion usd
,
,2.665 billion usd
,
,1.976 billion usd
,1.484 billion usd
,
,1.059 billion usd
,2.532 billion usd
,2.042 billion usd
,2.687 billion usd
,1.067 billion usd
,1.663 billion usd
,1.870 billion usd
,
,2.137 billion usd
,1.504 billion usd
,1.255 billion usd
,
,0.696 billion usd
,0.962 billion usd
,0.962 billion usd
,2.319 billion usd
,1.337 billion usd
,1.189 billion usd
,1.289 billion usd
,0.551 billion usd
,2.180 billion usd
,2.667 billion usd
,2.740 billion usd
,1.631 billion usd
,3.259 billion usd
,0.902 billion usd
,1.809 billion usd
,
,1.599 billion usd
,2.470 billion usd
,2.081 billion usd
,1.138 billion usd
,2.050 billion usd
,0.867 billion usd
,
,2.066 billion usd
,1.494 billion usd
,2.296 billion usd
,1.165 billion usd
,0.389 billion usd
,2.634 billion usd
,
,
,1.704 billion usd
,3.336 billion usd
,1.841 billion usd
,3.270 billion usd
,1.979 billion usd
,
,0.641 billion usd
,
,1.627 billion usd
,1.011 billion usd
,2.529 billion usd
,1.475 billion usd
,1.461 billion usd
,1.066 billion usd
,2.688 billion usd
,2.071 billion usd
,2.653 billion usd
,1.170 billion usd
,6.850 billion usd
,3.287 billion usd
,3.343 billion usd
,
,2.301 billion usd
,1.963 billion usd
,2.746 billion usd
,2.089 billion usd
,0.819 billion usd
,0.745 billion usd
,1.354 billion usd
,0.680 billion usd
,1.757 billion usd
,1.361 billion usd
,0.598 billion usd
,1.396 billion usd
,1.105 billion usd
,0.541 billion usd
,1.408 billion usd
,
,2.348 billion usd
,2.689 billion usd
,
,2.474 billion usd
,4.044 billion usd
,1.357 billion usd
,2.297 billion usd
,2.327 billion usd
,2.038 billion usd
,2.199 billion usd
,1.799 billion usd
,2.299 billion usd
,1.340 billion usd
,2.003 billion usd
,
,0.578 billion usd
,1.824 billion usd
,2.837 billion usd
,1.754 billion usd
,2.287 billion usd
,1.382 billion usd
,3.441 billion usd
,1.869 billion usd
,1.731 billion usd
,2.336 billion usd
,
,2.046 billion usd
,3.046 billion usd
,0.804 billion usd
,2.167 billion usd
,1.181 billion usd
,2.120 billion usd
,1.778 billion usd
,0.679 billion usd
,1.103 billion usd
,0.504 billion usd
,
,0.622 billion usd
,1.596 billion usd
,1.298 billion usd
,1.796 billion usd
,3.136 billion usd
,0.509 billion usd
,
,0.432 billion usd
,1.421 billion usd
,2.849 billion usd
,2.103 billion usd
,1.375 billion usd
,1.062 billion usd
,2.526 billion usd
,
,2.594 billion usd
,0.874 billion usd
,0.831 billion usd
,1.448 billion usd
,0.588 billion usd
,3.320 billion usd
,
,3.523 billion usd
,2.883 billion usd
,1.322 billion usd
,0.686 billion usd
,2.202 billion usd
,1.960 billion usd
,3.799 billion usd
,0.596 billion usd
,
,1.414 billion usd
,1.996 billion usd
,2.704 billion usd
,0.820 billion usd
,1.996 billion usd
,1.617 billion usd
,1.619 billion usd
,
,1.284 billion usd
,1.068 billion usd
,4.097 billion usd
,3.048 billion usd
,1.763 billion usd
,0.735 billion usd
,6.442 billion usd
,0.765 billion usd
,1.485 billion usd
,3.889 billion usd
,1.101 billion usd
,1.413 billion usd
,0.675 billion usd
,1.616 billion usd
,
,3.093 billion usd
,1.621 billion usd
,3.991 billion usd
,1.889 billion usd
,2.358 billion usd
,2.091 billion usd
,0.981 billion usd
,1.471 billion usd
,0.338 billion usd
,1.111 billion usd
,0.778 billion usd
,
,1.632 billion usd
,1.624 billion usd
,1.408 billion usd
,
,1.998 billion usd
,3.834 billion usd
,2.251 billion usd
,1.831 billion usd
,1.980 billion usd
,
,1.547 billion usd
,0.738 billion usd
,0.291 billion usd
,
,
,1.418 billion usd
,1.299 billion usd
,1.742 billion usd
,1.364 billion usd
,1.808 billion usd
,1.472 billion usd
,1.725 billion usd
,1.401 billion usd
,0.657 billion usd
,
,1.437 billion usd
,1.025 billion usd
,0.257 billion usd
,2.509 billion usd
,0.332 billion usd
,2.881 billion usd
,
,2.791 billion usd
,1.480 billion usd
,0.520 billion usd
,1.541 billion usd
,1.860 billion usd
,1.322 billion usd
,
,2.144 billion usd
,0.048 billion usd
,0.652 billion usd
,1.897 billion usd
,2.958 billion usd
,1.969 billion usd
,
,1.995 billion usd
,1.372 billion usd
,0.991 billion usd
,1.728 billion usd
,0.793 billion usd
,0.547 billion usd
,1.308 billion usd
,1.286 billion usd
,
,4.543 billion usd
,
,1.208 billion usd
,3.927 billion usd
,0.416 billion usd
,2.490 billion usd
,2.050 billion usd
,1.465 billion usd
,1.735 billion usd
,1.383 billion usd
,0.861 billion usd
,
,1.978 billion usd
,1.382 billion usd
,0.441 billion usd
,2.284 billion usd
,1.729 billion usd
,0.577 billion usd
,0.741 billion usd
,0.818 billion usd
,0.558 billion usd
,
,2.606 billion usd
,2.028 billion usd
,1.213 billion usd
,3.181 billion usd
,1.551 billion usd
,1.773 billion usd
,
,1.519 billion usd
,1.120 billion usd
,2.626 billion usd
,2.230 billion usd
,
,0.883 billion usd
,1.787 billion usd
,1.234 billion usd
,0.455 billion usd
,
,1.495 billion usd
,0.831 billion usd
,1.269 billion usd
,3.773 billion usd
,2.267 billion usd
,2.044 billion usd
,4.021 billion usd
,1.129 billion usd
,
,
,1.083 billion usd
,2.350 billion usd
,1.422 billion usd
,1.233 billion usd
,1.694 billion usd
,1.800 billion usd
,
,2.284 billion usd
,0.522 billion usd
,2.911 billion usd
,1.273 billion usd
,2.047 billion usd
,1.345 billion usd
,
,0.525 billion usd
,2.028 billion usd
,
,0.229 billion usd
,5.309 billion usd
,
,3.609 billion usd
,0.602 billion usd
,
,1.803 billion usd
,2.611 billion usd
,0.915 billion usd
,1.149 billion usd
,1.940 billion usd
,0.735 billion usd
,1.324 billion usd
,0.782 billion usd
,1.870 billion usd
,2.170 billion usd
,1.457 billion usd
,1.208 billion usd
,2.789 billion usd
,1.133 billion usd
,1.331 billion usd
,2.459 billion usd
,
,2.439 billion usd
,
,1.194 billion usd
,2.083 billion usd
,
,0.451 billion usd
,1.648 billion usd
,1.399 billion usd
,2.242 billion usd
,
,0.887 billion usd
,1.905 billion usd
,1.265 billion usd
,
,1.795 billion usd
,0.464 billion usd
,
,
,3.169 billion usd
,1.418 billion usd
,2.634 billion usd
,0.823 billion usd
,0.114 billion usd
,3.012 billion usd
,2.051 billion usd
,2.791 billion usd
,0.811 billion usd
,1.763 billion usd
,
,0.578 billion usd
,1.874 billion usd
,1.851 billion usd
,1.109 billion usd
,0.575 billion usd
,
,2.104 billion usd
,0.549 billion usd
,
,1.427 billion usd
,1.984 billion usd
,1.245 billion usd
,3.338 billion usd
,4.829 billion usd
,0.737 billion usd
,1.415 billion usd
,1.238 billion usd
,2.807 billion usd
,1.636 billion usd
,1.457 billion usd
,1.368 billion usd
,1.301 billion usd
,2.127 billion usd
,0.171 billion usd
,1.737 billion usd
,
,1.860 billion usd
,2.041 billion usd
,1.950 billion usd
,4.324 billion usd
,0.535 billion usd
,
,2.178 billion usd
,2.064 billion usd
,1.095 billion usd
,2.628 billion usd
,2.060 billion usd
,1.994 billion usd
,1.178 billion usd
,0.862 billion usd
,0.363 billion usd
,2.032 billion usd
,3.877 billion usd
,1.547 billion usd
,
,
,2.056 billion usd
,1.272 billion usd
,1.744 billion usd
,1.396 billion usd
,1.146 billion usd
,0.494 billion usd
,0.752 billion usd
,8.170 billion usd
,
,3.472 billion usd
,1.729 billion usd
,2.038 billion usd
,1.094 billion usd
,1.182 billion usd
,2.097 billion usd
,1.900 billion usd
,1.693 billion usd
,2.028 billion usd
,0.908 billion usd
,1.264 billion usd
,1.503 billion usd
,0.985 billion usd
,2.165 billion usd
,
,1.400 billion usd
,3.147 billion usd
,2.491 billion usd
,
,
,0.245 billion usd
,3.670 billion usd
,1.888 billion usd
,2.925 billion usd
,0.374 billion usd
,3.732 billion usd
,1.097 billion usd
,1.236 billion usd
,
,2.127 billion usd
,2.116 billion usd
,2.648 billion usd
,1.865 billion usd
,2.549 billion usd
,0.931 billion usd
,1.154 billion usd
,
,
,0.642 billion usd
,
,1.314 billion usd
,
,0.922 billion usd
,0.582 billion usd
,0.914 billion usd
,2.852 billion usd
,0.765 billion usd
,2.065 billion usd
,
,2.351 billion usd
,2.548 billion usd
,1.541 billion usd
,1.631 billion usd
,0.626 billion usd
,1.855 billion usd
,
,
,1.472 billion usd
,1.264 billion usd
,0.897 billion usd
,0.893 billion usd
,0.422 billion usd
,0.638 billion usd
,0.383 billion usd
,
,
,
,2.920 billion usd
,1.326 billion usd
,1.708 billion usd
,2.345 billion usd
,
,1.061 billion usd
,1.400 billion usd
,
,1.021 billion usd
,
,
,1.244 billion usd
,
,2.250 billion usd
,0.911 billion usd
,2.109 billion usd
,1.713 billion usd
,1.794 billion usd
,1.361 billion usd
,1.259 billion usd
,1.865 billion usd
,0.823 billion usd
,
,
,
,3.413 billion usd
,1.503 billion usd
,2.491 billion usd
,
,1.467 billion usd
,1.379 billion usd
,0.786 billion usd
,4.759 billion usd
,1.717 billion usd
,1.661 billion usd
,0.637 billion usd
,1.083 billion usd
,0.981 billion usd
,1.217 billion usd
,0.895 billion usd
,1.795 billion usd
,0.519 billion usd
