00-avengers-total_liabilities_in_usd
"22,383 million usd"
""
"6,329 million usd"
"9,579 million usd"
"5,747 million usd"
"6,795 million usd"
"508,980 million usd"
"2,955 million usd"
"1,832 million usd"
"3,779 million usd"
"5,101 million usd"
"4,920 million usd"
"43,178 million usd"
"146,460 million usd"
"14,049 million usd"
457 million usd
118 million usd
"32,051 million usd"
"1,230 million usd"
"7,419 million usd"
"134,550 million usd"
"15,976 million usd"
"34,737 million usd"
"24,806 million usd"
"13,572 million usd"
"3,860 million usd"
"12,543 million usd"
"1,208 million usd"
"1,395 million usd"
"3,701 million usd"
"102,500 million usd"
"10,877 million usd"
"5,260 million usd"
"1,248 million usd"
"3,951 million usd"
"21,151 million usd"
"57,905 million usd"
897 million usd
"4,489 million usd"
"15,252 million usd"
"5,234 million usd"
"2,115 million usd"
"7,633 million usd"
"8,869 million usd"
"10,060 million usd"
"447,760 million usd"
"14,384 million usd"
"3,388 million usd"
"16,399 million usd"
"2,909 million usd"
"12,978 million usd"
282 million usd
"16,966 million usd"
""
"1,188 million usd"
"2,377 million usd"
"32,759 million usd"
593 million usd
"5,754 million usd"
"10,126 million usd"
"2,032 million usd"
"30,649 million usd"
"35,429 million usd"
"3,413 million usd"
316 million usd
"4,772 million usd"
"6,177 million usd"
"10,239 million usd"
"1,163 million usd"
"356,890 million usd"
"19,461 million usd"
"7,061 million usd"
"23,206 million usd"
"20,369 million usd"
"6,778 million usd"
"12,911 million usd"
206 million usd
"1,326 million usd"
"41,234 million usd"
218 million usd
"1,872 million usd"
"212,970 million usd"
"1,059 million usd"
"1,036 million usd"
"21,682 million usd"
810 million usd
"188,220 million usd"
"160,120 million usd"
"3,659 million usd"
"1,614 million usd"
730 million usd
"16,411 million usd"
"1,319 million usd"
687 million usd
37 million usd
""
"13,031 million usd"
"4,735 million usd"
"37,493 million usd"
"8,646 million usd"
""
"5,352 million usd"
"17,686 million usd"
"1,015 million usd"
764 million usd
934 million usd
"88,568 million usd"
"16,209 million usd"
"1,569 million usd"
"7,013 million usd"
"8,257 million usd"
"14,930 million usd"
"3,547 million usd"
"7,543 million usd"
"1,732 million usd"
"7,036 million usd"
"19,278 million usd"
"2,999 million usd"
"13,415 million usd"
"26,808 million usd"
"7,914 million usd"
"1,777 million usd"
"85,718 million usd"
"18,219 million usd"
"63,146 million usd"
"28,396 million usd"
768 million usd
"556,350 million usd"
"1,236 million usd"
"63,780 million usd"
"14,320 million usd"
"44,584 million usd"
"7,738 million usd"
257 million usd
"1,300 million usd"
"1,842 million usd"
"1,118 million usd"
"16,023 million usd"
"8,335 million usd"
"12,563 million usd"
"1,645 million usd"
"6,146 million usd"
"18,403 million usd"
"3,452 million usd"
466 million usd
834 million usd
"15,573 million usd"
"4,237 million usd"
"51,233 million usd"
"9,199 million usd"
"13,685 million usd"
"9,195 million usd"
"5,570 million usd"
"421,150 million usd"
"21,031 million usd"
"20,982 million usd"
"7,898 million usd"
"129,050 million usd"
"1,463 million usd"
"5,911 million usd"
"415,580 million usd"
"10,382 million usd"
"7,788 million usd"
"171,500 million usd"
"4,756 million usd"
101 million usd
"3,821 million usd"
"8,442 million usd"
"25,418 million usd"
"34,484 million usd"
"17,403 million usd"
"11,287 million usd"
"46,963 million usd"
"71,116 million usd"
"16,304 million usd"
"12,681 million usd"
"3,116 million usd"
"6,339 million usd"
"1,297 million usd"
"34,977 million usd"
