01-DDD-revenue_2017_euro,01-DDD-absolute_growth_rate_pct,07-silvestri-revenue_2017
"2,384,156",226.39,"2,384,156"
"1,794,120",226.35,"1,794,120"
"8,075,796",226.05,"8,075,796"
"3,128,700",225.69,"3,128,700"
"5,244,000",225.10,"5,244,000"
"906,341",225.06,"906,341"
"63,207,258",224.82,"63,207,258"
"10,300,000",224.27,"10,300,000"
"48,580,102",223.91,"48,580,102"
"556,159",223.16,"556,159"
"1,300,000",223.08,"1,300,000"
"834,708",222.96,"834,708"
"1,602,458",222.78,"1,602,458"
"622,800",222.59,"622,800"
"6,882,489",222.24,"6,882,489"
"17,727,950",221.85,"17,727,950"
"2,250,946",221.77,"2,250,946"
"4,020,469",221.73,"4,020,469"
"1,703,819",221.69,"1,703,819"
"10,393,680",221.08,"10,393,680"
"1,172,617",220.83,"1,172,617"
"1,206,770",220.60,"1,206,770"
"5,322,238",220.27,"5,322,238"
"719,638",219.98,"719,638"
"1,094,666",219.37,"1,094,666"
"2,171,492",219.33,"2,171,492"
"1,111,687",218.82,"1,111,687"
"805,029",218.78,"805,029"
"12,127,395",218.69,"12,127,395"
"9,762,332",218.67,"9,762,332"
"879,670",218.66,"879,670"
"1,674,690",217.27,"1,674,690"
"1,344,240",217.21,"1,344,240"
"516,164",217.08,"516,164"
"12,867,410",216.91,"12,867,410"
"3,363,800",216.15,"3,363,800"
"10,181,000",216.03,"10,181,000"
"809,450",215.54,"809,450"
"3,033,150",215.48,"3,033,150"
"16,075,963",215.40,"16,075,963"
"573,070",215.35,"573,070"
"1,484,883",215.26,"1,484,883"
"676,000",215.24,"676,000"
"15,610,826",215.10,"15,610,826"
"8,271,702",214.45,"8,271,702"
"6,615,000",213.62,"6,615,000"
"859,960",213.53,"859,960"
"666,210",213.26,"666,210"
"5,229,000",213.00,"5,229,000"
"2,031,522",212.89,"2,031,522"
"3,342,120",212.86,"3,342,120"
"5,105,700",212.60,"5,105,700"
"3,264,000",212.59,"3,264,000"
"2,601,485",212.23,"2,601,485"
"1,171,373",212.06,"1,171,373"
"18,649,681",211.97,"18,649,681"
"2,531,055",211.33,"2,531,055"
"633,990",210.73,"633,990"
"1,009,846",210.64,"1,009,846"
"1,815,835",209.88,"1,815,835"
"2,177,950",209.36,"2,177,950"
"2,124,990",209.01,"2,124,990"
"4,693,330",208.73,"4,693,330"
"1,290,312",208.55,"1,290,312"
"1,087,520",208.24,"1,087,520"
"2,498,792",208.20,"2,498,792"
"3,080,610",207.77,"3,080,610"
"1,759,490",207.54,"1,759,490"
"667,837",206.87,"667,837"
"1,072,117",206.86,"1,072,117"
"23,141,358",206.37,"23,141,358"
"3,730,405",206.10,"3,730,405"
"1,031,988",205.70,"1,031,988"
"2,850,000",205.51,"2,850,000"
"720,650",205.44,"720,650"
"4,832,212",204.74,"4,832,212"
"1,263,420",203.53,"1,263,420"
"1,944,720",202.87,"1,944,720"
"1,585,727",202.35,"1,585,727"
"2,737,704",202.23,"2,737,704"
"868,406",201.99,"868,406"
"989,785",201.67,"989,785"
"1,173,908",201.37,"1,173,908"
"590,642",201.07,"590,642"
"5,561,585",200.64,"5,561,585"
