03-gren-revenue_2017_eu,01-DDD-revenue_2020_euro,03-gren-revenue_2020_eu,07-silvestri-revenue_2020,08-slytherin-revenue
2669247.0,doll_18.77 m,doll_18.77 m,doll_18.77 m,doll_10.66 m
309471.0,doll_2.0 m,doll_2.0 m,doll_2.0 m,doll_1.73 m
923730.0,doll_6.52 m,doll_6.52 m,doll_6.52 m,doll_1.86 m
1354980.0,doll_9.55 m,doll_9.55 m,doll_9.55 m,doll_4.45 m
335460.0,doll_2.34 m,doll_2.34 m,doll_2.34 m,doll_5.93 m
3659630.0,doll_25.67 m,doll_25.67 m,doll_25.67 m,doll_6.4 m
259342.0,doll_1.81 m,doll_1.81 m,doll_1.81 m,doll_20.3 m
219999.0,doll_1.51 m,doll_1.51 m,doll_1.51 m,doll_41.00 m
276750.0,doll_1.9 m,doll_1.9 m,doll_1.9 m,doll_5.30 m
657382.0,doll_4.48 m,doll_4.48 m,doll_4.48 m,doll_13.83 m
18106514.0,doll_115.79 m,doll_115.79 m,doll_115.79 m,doll_5.15 m
4829922.0,doll_32.61 m,doll_32.61 m,doll_32.61 m,doll_14.42 m
688860.0,doll_4.68 m,doll_4.68 m,doll_4.68 m,doll_2.76 m
2880891.0,doll_19.58 m,doll_19.58 m,doll_19.58 m,doll_3.63 m
667170.0,doll_4.53 m,doll_4.53 m,doll_4.53 m,doll_132.43 m
21640253.0,doll_146.45 m,doll_146.45 m,doll_146.45 m,doll_5.72 m
226295.0,doll_1.53 m,doll_1.53 m,doll_1.53 m,doll_10.39 m
991534.0,doll_6.53 m,doll_6.53 m,doll_6.53 m,doll_3.7 m
274790.0,doll_1.79 m,doll_1.79 m,doll_1.79 m,doll_9.16 m
310810.0,doll_2.07 m,doll_2.07 m,doll_2.07 m,doll_14.00 m
4601266.0,doll_30.44 m,doll_30.44 m,doll_30.44 m,doll_1.71 m
1411811.0,doll_9.38 m,doll_9.38 m,doll_9.38 m,doll_13.39 m
