01-DDD-valuation,04-iGMM-valuation
doll_2.92b,doll_1.05
doll_3b,doll_1.05
doll_3b,doll_1.05
doll_3b,doll_1.05
doll_3b,doll_1.05
doll_3b,doll_1.05
doll_3b,doll_1.05
doll_3b,doll_1.04
doll_3b,doll_1.03
doll_3b,doll_1.02
doll_3b,doll_1.01
doll_3.3b,doll_1.01
doll_3b,doll_1
doll_3b,doll_1
doll_3.1b,doll_1
doll_3b,doll_1
doll_3b,doll_1
doll_3b,doll_1
doll_3b,doll_1
doll_3b,doll_1
doll_3b,doll_1
doll_3.2b,doll_1
doll_3.2b,doll_1
doll_3b,doll_1
doll_3.1b,doll_1
doll_3b,doll_1
doll_3.1b,doll_1
doll_3b,doll_1
doll_3b,doll_1
doll_3.15b,doll_1
doll_3.2b,doll_1
doll_3.2b,doll_1
doll_3.2b,doll_1
 doll_3.2b,doll_1
doll_3.2b,doll_1
doll_3.2b,doll_1
doll_3.21b,doll_1
doll_3.25b,doll_1
doll_3b,doll_1
doll_3b,doll_1
doll_3.24b,doll_1
doll_3.3b,doll_1
doll_3.1b,doll_1
doll_3.2b,doll_1
doll_3.3b,doll_1
doll_3.2b,doll_1
doll_3b,doll_1
doll_3.3b,doll_1
doll_3.3b,doll_1
doll_3.31b,doll_1
doll_3b,doll_1
doll_3.2b,doll_1
doll_3.2b,doll_1
doll_3.3b,doll_1
doll_3.35b,doll_1
doll_3.34b,doll_1
doll_3.35b,doll_1
doll_3.35b,doll_1
doll_3.36b,doll_1
doll_3.5b,doll_1
doll_3.4b,doll_1
doll_3.44b,doll_1
doll_3.43b,doll_1
doll_3.4b,doll_1
doll_3.50b,doll_1
doll_3.5b,doll_1
doll_3.5b,doll_1
doll_3.5b,doll_1
doll_3.5b,doll_1
doll_3.5b,doll_1
doll_3.5b,doll_1
doll_3.5b,doll_1
doll_3.5b,doll_1
doll_3.5b,doll_1
doll_3.5b,doll_1
doll_3.52b,doll_1
doll_3.5b,doll_1
doll_3.5b,doll_1
doll_3.6b,doll_1
doll_3.6b,doll_1
doll_3.6b,doll_1
doll_3.6b,doll_1
doll_3.6b,doll_1
doll_3.66b,doll_1
doll_3.7b,doll_1
doll_3.7b,doll_1
doll_3.7b,doll_3
doll_3.7b,doll_1
doll_3.75b,doll_1
doll_3.7b,doll_1
doll_3.7b,doll_1
doll_3.7b,doll_1
doll_3.7b,doll_1
doll_3.8b,doll_1
doll_3.8b,doll_1
doll_3.8b,doll_1.7
doll_3.7b,doll_1.7
doll_4b,doll_1
doll_3.92b,doll_1
doll_4b,doll_1
doll_4b,doll_1
doll_4b,doll_1
doll_4b,doll_1
doll_3.8b,doll_1
doll_4b,doll_1
doll_4b,doll_1
doll_4b,doll_1
doll_3.7b,doll_1
doll_4b,doll_1
doll_4b,doll_1
doll_4b,doll_1
doll_4b,doll_1
