08-slytherin-employees,07-silvestri-employees_2017,03-gren-employees_number_2017,01-DDD-number_of_employees_2017
13,,,
5048,,,
12,,,
24,,,
2,,,
3,,,
27,,,
617,,,
"3,188",,,
3500,,,
35,,,
170,,,
56,,,
3,,,
17,,,
"3,792",,,
31,,,
26,,,
187,,,
not found,,,
1433,,,
29,,,
7,,,
18,,,
25,,,
381,,,
20,,,
11,,,
not found,,,
2214,,,
not found,,,
411,,,
24,,,
4,,,
15,,,
149,,,
20,,,
"1,026",,,
12,,,
not found,,,
471,,,
600,,,
25,,,
15,,,
8,,,
248,,,
90,,,
12,,,
352,,,
28,,,
60,,,
64,,,
118,,,
19,,,
8,,,
31,,,
14,,,
94,,,
121,,,
55,,,
32,,,
9300,,,
not found,,,
68,,,
55,,,
347,,,
2,,,
28,,,
15,,,
37,,,
318,,,
200,,,
40,,,
13500,,,
19237,,,
23,,,
30,,,
10,,,
115,,,
27,,,
45,,,
21,,,
295,,,
"3,238",,,
232,,,
554,,,
322,,,
37,,,
45,,,
43,,,
125,,,
224,,,
not found,,,
58,,,
471,,,
18,,,
7,,,
38510,,,
582,,,
429,,,
13,,,
12,,,
24,,,
42,,,
234,,,
8,,,
104,,,
15,,,
150,,,
605,,,
1042,,,
1135,,,
18,,,
110,,,
5,,,
38,,,
54,,,
45,,,
164,,,
300,,,
108,,,
3309,,,
341,,,
6,,,
44,,,
9,,,
8,,,
155,,,
90,,,
46,,,
58,,,
31,,,
116,,,
not found,,,
123,,,
83,,,
44,,,
27,,,
5,,,
51,,,
4,,,
400,,,
"14,230",,,
33,,,
136,,,
341,,,
159,,,
35,,,
575,,,
309,,,
100,,,
292,,,
200,,,
131,,,
30,,,
47,,,
496,,,
not found,,,
650,,,
17,,,
10,,,
13,,,
18,,,
15,,,
160,,,
175,,,
30,,,
2537,,,
1922,,,
693,,,
83,,,
18,,,
18,,,
22,,,
50,,,
14,,,
7,,,
147,,,
60,,,
65,,,
107,,,
81,,,
15,,,
19,,,
32,,,
10,,,
17,,,
21,,,
297,,,
88,,,
3097,,,
8,,,
48,,,
15,,,
5,,,
3,,,
25,,,
15,,,
60,,,
20,,,
42,,,
"1,965",,,
25,,,
25,,,
2529,,,
15,,,
20,,,
55,,,
135,,,
38,,,
"1,560",,,
34,,,
376,,,
136,,,
not found,,,
15,,,
240,,,
300,,,
18,,,
112,,,
79,,,
816,,,
63,,,
not found,,,
42,,,
83,,,
52,,,
6,,,
270,,,
129,,,
45,,,
6,,,
462,,,
23,,,
71,,,
8,,,
22,,,
73,,,
200,,,
"1,114",,,
13,,,
26,,,
2968,,,
15,,,
14,,,
23,,,
14,,,
135,,,
73,,,
9,,,
47,,,
78,,,
45,,,
31514,,,
2855,,,
167,,,
31,,,
43,,,
7,,,
26,,,
8,,,
30,,,
600,,,
176,,,
271,,,
1200,,,
1228,,,
60,,,
69,,,
8,,,
8,,,
22,,,
9,,,
68,,,
"1,947",,,
326,,,
109,,,
59,,,
36,,,
118,,,
42,,,
40,,,
9,,,
970,,,
125,,,
30,,,
147,,,
524,,,
487,,,
15,,,
218,,,
9,,,
1300,,,
10,,,
13,,,
18,,,
107,,,
10,,,
not found,,,
905,,,
255,,,
5,,,
173,,,
27,,,
71,,,
9,,,
42,,,
122,,,
65,,,
99,,,
90,,,
32,,,
50,,,
32,,,
37,,,
44,,,
70,,,
71,,,
621,,,
2070,,,
24485,,,
838,,,
801,,,
20,,,
83,,,
3,,,
150,,,
45,,,
50,,,
280,,,
150,,,
1145,,,
42,,,
74,,,
10,,,
7,,,
25,,,
1073,,,
19,,,
32,,,
16,,,
14,,,
16,,,
11,,,
26,,,
2,,,
37,,,
1269,,,
22,,,
345,,,
9,,,
10,,,
25,,,
39,,,
15,,,
390,,,
not found,,,
16,,,
23,,,
6,,,
63,,,
77,,,
75,,,
10,,,
36,,,
58,,,
79,,,
110,,,
10,,,
260,,,
1074,,,
82,,,
40,,,
142,,,
10,,,
26,,,
3,,,
7,,,
1749,,,
1943,,,
442,,,
673,,,
35,,,
18,,,
90,,,
31,,,
89,,,
9,,,
10343,,,
100,,,
203,,,
89,,,
5,,,
100,,,
271,,,
1,,,
126,,,
4174,,,
249,,,
485,,,
15,,,
22,,,
39,,,
43,,,
30,,,
32,,,
10,,,
25,,,
161,,,
6,,,
13,,,
46,,,
115,,,
14,,,
14,,,
28,,,
385,,,
9,,,
45,,,
13,,,
12,,,
25,,,
5909,,,
145,,,
21,,,
12,,,
not found,,,
36,,,
180,,,
993,,,
23,,,
28,,,
51,,,
348,,,
24,,,
266,,,
14,,,
106,,,
656,,,
33,,,
20,,,
39,,,
165,,,
108,,,
12,,,
11,,,
50,,,
11,,,
35,,,
5,,,
57,,,
16,,,
13,,,
7,,,
52,,,
12,,,
10,,,
25,,,
60,,,
19,,,
33,,,
84,,,
189,,,
not found,,,
35,,,
4,,,
27,,,
71,,,
46,,,
80,,,
49,,,
76,,,
6,,,
16,,,
60,,,
3,,,
15,,,
9,,,
4,,,
22,,,
9,,,
17,,,
55,,,
110,,,
103,,,
43,,,
3,,,
17,,,
132,,,
34,,,
46,,,
73,,,
47,,,
13,,,
15,,,
26,,,
18,,,
21,,,
150,,,
17,,,
28,,,
3,,,
5,,,
15,,,
257,,,
16,,,
6,,,
104,,,
14,,,
70,,,
8,,,
21,,,
62,,,
22,,,
29,,,
38,,,
53,,,
21,,,
56,,,
30,,,
6,,,
18,,,
30,,,
27,,,
41,,,
220,,,
29,,,
2,,,
16,,,
110,,,
23,,,
15,,,
21,,,
28,,,
10,,,
5,,,
5,,,
6,,,
12,,,
9,,,
57,,,
80,,,
54,,,
1,,,
5,,,
55,,,
39,,,
3,,,
109,,,
13,,,
38,,,
8,,,
32,,,
29,,,
10,,,
7,,,
44,,,
27,,,
23,,,
2,,,
15,,,
7,,,
6,,,
18,,,
41,,,
45,,,
32,,,
39,,,
3,,,
5,,,
12,,,
36,,,
34,,,
41,,,
30,,,
20,,,
9,,,
275,,,
139,,,
97,,,
9,,,
37,,,
28,,,
9,,,
8,,,
78,,,
12,,,
not found,,,
55,,,
8,,,
33,,,
25,,,
