02-GioPonSpiz-industry,05-MalPatSaj-industry,06-MarScoToc-industry,02-GioPonSpiz-sector,05-MalPatSaj-sector,02-GioPonSpiz-name,05-MalPatSaj-name,06-MarScoToc-name
financials,consumer services,,banks,publishing,société nationale de crédit et d'investissement,hachette,
industrials,consumer services,,railroads,publishing,société nationale des chemins de fer luxembourgeois,hachette filipacchi médias,
consumer services,consumer services,,airlines,media agencies,strategic airlines luxembourg,havas,
consumer services,consumer goods,,broadcasting & entertainment,clothing & accessories,streamworks international,hermès,
consumer services,industrials,,airlines,diversified industrials,techniques d'avant garde,hutchinson sa,
consumer services,telecommunications,,recreational services,fixed line telecommunications,utopia group,iliad sa,
industrials,industrials,,delivery services,electronic equipment,west air luxembourg,jcdecaux,
basic materials,consumer services,,specialty chemicals,travel & tourism,achema,keolis,
consumer goods,consumer goods,,brewers,clothing & accessories,alita,kering,
consumer services,industrials,,apparel retailers,delivery services,apranga,la poste,
consumer services,health care,,airlines,pharmaceuticals,aurela,laboratoires pierre fabre,
industrials,consumer goods,,transportation services,clothing & accessories,avia solutions group,lacoste,
industrials,consumer goods,,transportation services,food products,aviaam leasing,lactalis,
industrials,industrials,,delivery services,building materials & fixtures,aviavilsa,lafarge,
consumer services,consumer goods,,airlines,recreational products,avion express,lafuma,
industrials,consumer services,,commercial vehicles & trucks,broadcasting & entertainment,baltija shipbuilding yard,lagardère group,
consumer goods,consumer goods,,recreational products,personal products,baltik vairas,lancôme,
consumer services,consumer goods,,restaurants & bars,clothing & accessories,čili,le coq sportif,
consumer services,consumer goods,,airlines,automobiles,dot lt,le zèbre,
industrials,consumer goods,,building materials & fixtures,personal products,dvarčionių keramika,l'oréal,
industrials,consumer goods,,electronic equipment,clothing & accessories,ekspla,louis vuitton,
consumer goods,consumer goods,,brewers,clothing & accessories,gubernija,lvmh,
consumer goods,technology,,brewers,software,kalnapilis,mandriva,
utilities,industrials,,gas distribution,logistics,lietuvos dujos,manuloc,
utilities,industrials,,conventional electricity,marine transportation,lietuvos energija,maritima ferries,
consumer services,industrials,,delivery services,aerospace,lietuvos paštas,matra marconi space,
consumer services,consumer goods,,broadline retailers,automobiles,maxima group,matra,
consumer services,consumer goods,,airlines,recreational products,small planet airlines,mavic,
consumer goods,technology,,distillers & vintners,software,stumbras,mc2 france,
consumer goods,consumer goods,,brewers,tires,tauras,michelin,
telecommunications,technology,,fixed line telecommunications,software,teo lt,microïds,
financials,consumer goods,,banks,clothing & accessories,ūkio bankas,montagut,
consumer services,consumer services,,broadline retailers,broadcasting & entertainment,vilniaus prekyba,moonscoop group,
consumer goods,industrials,,brewers,defense,volfas engelman,naval group,
financials,health care,,investment services,pharmaceuticals,žia valda,nicox,
financials,consumer goods,,banks,auto parts,ablv bank,norauto,
industrials,telecommunications,,industrial machinery,mobile telecommunications,aerodium latvia,orange s.a.,
consumer services,nuclear industries,,airlines,nuclear cycle,airbaltic,orano,
industrials,consumer goods,,marine transportation,recreational products,ave line,oxbow,
industrials,industrials,,transportation services,diversified industrials,baltic coal terminal,parrot sa,
financials,consumer services,,banks,broadcasting & entertainment,banka baltija,pathé,
financials,industrials,,banks,business support services,bank of latvia,pentalog,
consumer services,consumer goods,,broadcasting & entertainment,distillers & vintners,bellaccord electro,pernod ricard,
consumer goods,consumer goods,,brewers,automobiles,cēsu alus,peugeot,
financials,consumer goods,,banks,automobiles,citadele banka,psa group,
consumer goods,industrials,,automobiles,business support services,dartz,publicis,
consumer services,technology,,restaurants & bars,software,double coffee,quantic dream,
consumer goods,consumer services,,consumer electronics,travel & tourism,elko grupa,ratp group,
consumer goods,consumer goods,,automobiles,automobiles,ford-vairogs,renault,
technology,industrials,,software,electrical components & equipment,forticom,rexel,
health care,basic materials,,pharmaceuticals,specialty chemicals,grindeks,rhodia,
industrials,basic materials,,delivery services,specialty chemicals,inversija,rhône-poulenc,
telecommunications,industrials,,telecommunications equipment,aerospace,just5,safran,
consumer goods,technology,,food products,telecommunications equipment,laima,sagem,
telecommunications,industrials,,fixed line telecommunications,building materials & fixtures,lattelecom,saint-gobain,
utilities,consumer goods,,conventional electricity,recreational products,latvenergo,salomon group,
telecommunications,health care,,mobile telecommunications,pharmaceuticals,latvian mobile telephone,sanofi,
industrials,industrials,,marine transportation,electrical components & equipment,latvian shipping company,schneider electric,
consumer goods,industrials,,soft drinks,delivery services,latvijas balzams,sdv international logistics,
oil & gas,consumer services,,exploration & production,specialty retailers,latvijas gāze,sephora,
financials,health care,,banks,pharmaceuticals,latvijas krājbanka,servier,
logistics,telecommunications,,delivery services,fixed line telecommunications,latvijas pasts,sfr,
consumer services,technology,,broadcasting & entertainment,telecommunications equipment,microphone records,sigfox,
financials,consumer services,,banks,travel & tourism,norvik banka,sncf,
health care,industrials,,pharmaceuticals,aerospace,olainfarm,snecma,
financials,consumer goods,,banks,nondurable household products,parex bank,société bic,
financials,financials,,banks,banks,privatbank latvia,société générale,
consumer services,industrials,,airlines,specialized consumer services,raf-avia,sodexo,
financials,technology,,banks,software,rietumu banka,sogeti,
consumer goods,technology,,automobiles,software,riga autobus factory,sopra steria,
consumer services,utilities,,food retailers & wholesalers,multiutilities,rimi baltic,suez,
consumer goods,consumer services,,automobiles,broadcasting & entertainment,russo-balt,technicolor sa,
technology,industrials,,telecommunications equipment,business support services,saf tehnika,technip,
financials,consumer services,,banks,broadcasting & entertainment,seb unibanka,tf1 group,
consumer goods,industrials,,recreational products,aerospace,sereal,thales group,
consumer services,industrials,,airlines,defense,smartlynx airlines,thomson-csf,
consumer goods,oil & gas,,consumer electronics,integrated oil & gas,vef,totalenergies,
industrials,technology,,business support services,software,a&g management consulting,ubisoft,
utilities,utilities,,multiutilities,water,a2a,veolia,
consumer goods,industrials,,automobiles,heavy construction,abarth,vinci sa,
industrials,consumer services,,containers & packaging,broadcasting & entertainment,abon plastic,vivendi,
industrials,consumer goods,,aerospace,nondurable household products,aermacchi,waterman,
oil & gas,consumer goods,,oil & gas refining & marketing,food products,agip,yoplait,
industrials,consumer goods,,aerospace & defense,clothing & accessories,agustawestland,a. lange & söhne,
consumer goods,financials,,auto parts,banks,agv,aareal bank,
consumer services,consumer goods,,airlines,clothing & accessories,air dolomiti,adidas,
consumer services,consumer services,,airlines,food retailers & wholesalers,air one,aldi,
consumer goods,financials,,recreational products,full line insurance,alan,allianz,
industrials,consumer goods,,aerospace,automobiles,alenia aermacchi,alpina,
industrials,basic materials,,aerospace,speciality chemicals,alenia aeronautica,altana,
consumer goods,consumer services,,durable household products,specialty retailers,alessi,aral ag,
