name,headquarters,founded,industry,sector,notes,founders,key_people,number_of_employees,operating_income,revenue,services,total_assets,type,website,area_served
groupe bull,les clayes-sous-bois,1931,technology,computer hardware,part of atos,,,,,,,,,,
groupe casino,saint-étienne,1898,consumer services,broadline retailer,retailer,,,,,,,,,,
hachette,paris,1826,consumer services,publishing,"publisher, part of lagardère group",,,,,,,,,,
hachette filipacchi médias,paris,1826,consumer services,publishing,"magazine publisher, part of lagardère group",,,,,,,,,,
havas,paris,1968,consumer services,media agencies,advertising and pr,,,,,,,,,,
hermès,paris,1837,consumer goods,clothing & accessories,luxury goods,,,,,,,,,,
hutchinson sa,paris,1853,industrials,diversified industrials,diversified manufacturing,,,,,,,,,,
iliad sa,paris,1990,telecommunications,fixed line telecommunications,telecom,,,,,,,,,,
jcdecaux,neuilly-sur-seine,1964,industrials,electronic equipment,display and advertising equipment,,,,,,,,,,
keolis,paris,2001,consumer services,travel & tourism,transport group,,,,,,,,,,
kering,paris,1963,consumer goods,clothing & accessories,luxury goods (formly known as ppr),,,,,,,,,,
la poste,paris,1991,industrials,delivery services,postal services,,,,,,,,,,
laboratoires pierre fabre,paris,1951,health care,pharmaceuticals,pharma and cosmetics,,,,,,,,,,
lacoste,troyes,1933,consumer goods,clothing & accessories,clothing,,,,,,,,,,
lactalis,laval,1933,consumer goods,food products,dairy,,,,,,,,,,
lafarge,paris,1833,industrials,building materials & fixtures,"construction and concrete, part of lafargeholcim",,,,,,,,,,
lafuma,paris,1930,consumer goods,recreational products,outdoor equipment,,,,,,,,,,
lagardère group,paris,1922,consumer services,broadcasting & entertainment,media conglomerate,,,,,,,,,,
lancôme,paris,1935,consumer goods,personal products,"cosmetics, part of l'oréal",,,,,,,,,,
le coq sportif,entzheim,1882,consumer goods,clothing & accessories,sportswear,,,,,,,,,,
le zèbre,suresnes,1907,consumer goods,automobiles,"automobiles, defunct 1931",,,,,,,,,,
l'oréal,clichy,1909,consumer goods,personal products,cosmetics,,,,,,,,,,
louis vuitton,paris,1854,consumer goods,clothing & accessories,part of lvmh,,,,,,,,,,
