,market_cap,revenue,net_income,gbp
564,doll_3.1149999999999998 b,0,0,0
565,doll_19.835 b,0,0,doll_3.117 b
566,doll_89.54400000000001 b,0,0,doll_3.122 b
567,doll_2.8280000000000003 b,0,0,doll_3.125 b
568,doll_2.894 b,0,0,doll_3.1260000000000003 b
569,doll_3.1350000000000002 b,0,0,0
570,doll_3849.0 b,0,0,doll_3.141 b
571,doll_2.398 b,0,0,doll_3.145 b
572,doll_24.668 b,0,0,doll_3.149 b
573,doll_3.1559999999999997 b,0,0,0
574,doll_20.096 b,0,0,doll_3.158 b
575,doll_3870.0 b,0,0,doll_3.159 b
576,doll_3.16 b,0,0,0
577,doll_4.218999999999999 b,0,0,doll_3.164 b
578,doll_3.166 b,0,0,0
579,doll_3.178 b,0,0,0
580,doll_3.178 b,0,0,0
581,doll_3.189 b,0,0,0
582,doll_3911.0 b,0,0,doll_3.193 b
583,doll_25.055 b,0,0,doll_3.198 b
584,doll_20.369 b,0,0,doll_3.2009999999999996 b
585,doll_3.2039999999999997 b,0,0,0
586,doll_14.930000000000001 b,0,0,doll_3.2049999999999996 b
587,doll_3.207 b,0,0,0
588,doll_2.455 b,0,0,doll_3.219 b
589,doll_25.223 b,0,0,doll_3.22 b
590,doll_4.372999999999999 b,0,0,doll_3.223 b
591,doll_20.557 b,0,0,doll_3.2310000000000003 b
592,doll_2.926 b,0,0,doll_3.232 b
593,doll_25.325 b,0,0,doll_3.2329999999999997 b
594,doll_25.387 b,0,0,doll_3.2409999999999997 b
595,doll_25.452 b,0,0,doll_3.249 b
596,doll_3.251 b,0,0,0
597,doll_3.254 b,0,0,0
598,doll_3.271 b,0,0,0
599,doll_3.053 b,0,0,0
600,doll_17.77 b,0,0,doll_2.793 b
601,doll_21.891 b,0,0,doll_2.794 b
602,doll_93.889 b,0,0,doll_2.8 b
603,doll_2.805 b,0,0,0
604,doll_2.144 b,0,0,doll_2.811 b
605,doll_2.548 b,0,0,doll_2.815 b
606,doll_17.968 b,0,0,doll_2.824 b
607,doll_2.824 b,0,0,0
608,doll_2.157 b,0,0,doll_2.8280000000000003 b
609,doll_2.831 b,0,0,0
610,doll_2.852 b,0,0,0
611,doll_3.806 b,0,0,doll_2.855 b
612,doll_2.5989999999999998 b,0,0,doll_2.871 b
613,doll_22.523 b,0,0,doll_2.875 b
614,doll_2.8899999999999997 b,0,0,0
615,doll_2.891 b,0,0,0
616,doll_18.409 b,0,0,doll_2.893 b
617,doll_2.63 b,0,0,doll_2.9059999999999997 b
618,doll_2.907 b,0,0,0
619,doll_18.515 b,0,0,doll_2.91 b
620,doll_3.647 b,0,0,doll_2.913 b
621,doll_2.6399999999999997 b,0,0,doll_2.9170000000000003 b
622,doll_2.6420000000000003 b,0,0,doll_2.919 b
623,doll_3579.0 b,0,0,doll_2.9219999999999997 b
624,doll_2.94 b,0,0,0
625,doll_2.94 b,0,0,0
626,doll_11.034 b,0,0,doll_2.942 b
627,doll_2.942 b,0,0,0
