,market_cap,revenue
543,doll_394.4 m,doll_1.3 b
544,doll_4.4 b,doll_1.3 b
545,doll_6.9 b,doll_1.3 b
546,doll_71.5 m,doll_1.3 b
547,doll_3.7 b,doll_1.3 b
548,doll_1.5 b,doll_1.3 b
549,0,doll_1.3 b
550,doll_796.6 m,doll_1.3 b
551,doll_4.5 b,doll_1.3 b
552,0,doll_1.3 b
553,doll_27.6 b,doll_1.3 b
554,doll_11.0 b,doll_1.3 b
555,doll_3.4 b,doll_1.3 b
556,doll_15.5 b,doll_1.3 b
557,doll_5.0 b,doll_1.3 b
558,0,doll_1.3 b
559,doll_1.4 b,doll_1.3 b
560,doll_1.1 b,doll_1.3 b
561,doll_2.6 b,doll_1.3 b
562,doll_809.5 m,doll_1.3 b
563,doll_2.0 b,doll_1.3 b
564,doll_11.4 b,doll_1.3 b
565,doll_1.4 b,doll_1.3 b
566,doll_1.1 b,doll_1.3 b
567,doll_3.6 b,doll_1.3 b
568,doll_95.7 m,doll_1.3 b
569,doll_1.5 b,doll_1.3 b
570,doll_745.3 m,doll_1.3 b
571,doll_1.0 b,doll_1.3 b
572,doll_1.2 b,doll_1.3 b
573,doll_2.0 b,doll_1.3 b
574,doll_4.2 b,doll_1.3 b
575,doll_3.8 b,doll_1.3 b
576,doll_2.4 b,doll_1.3 b
577,doll_6.2 b,doll_1.3 b
578,doll_3.6 b,doll_1.3 b
579,doll_4.7 b,doll_1.3 b
580,doll_1.6 b,doll_1.3 b
581,doll_321.7 m,doll_1.3 b
582,doll_666.0 m,doll_1.3 b
583,doll_4.1 b,doll_1.3 b
584,doll_6.0 b,doll_1.3 b
585,doll_7.5 b,doll_1.3 b
586,doll_2.0 b,doll_1.3 b
587,doll_3.2 b,doll_1.3 b
588,doll_637.6 m,doll_1.3 b
589,0,doll_1.3 b
590,doll_5.1 b,doll_1.3 b
591,doll_1.7 b,doll_1.3 b
592,doll_834.4 m,doll_1.3 b
593,doll_22.5 b,doll_1.3 b
594,doll_4.0 b,doll_1.3 b
595,doll_8.5 b,doll_1.3 b
596,doll_3.2 b,doll_1.3 b
597,doll_2.5 b,doll_1.3 b
598,doll_259.0 m,doll_1.3 b
599,doll_2.0 b,doll_1.3 b
600,doll_999.8 m,doll_1.3 b
601,doll_3.5 b,doll_1.3 b
602,doll_2.5 b,doll_1.3 b
603,doll_1.8 b,doll_1.3 b
604,doll_4.5 b,doll_1.3 b
605,doll_17.1 b,doll_1.3 b
606,doll_3.6 b,doll_1.3 b
607,doll_603.4 m,doll_1.3 b
608,doll_2.3 b,doll_1.3 b
609,doll_490.9 m,doll_1.3 b
610,0,doll_1.3 b
611,doll_1.7 b,doll_1.3 b
612,doll_1.5 b,doll_1.3 b
613,doll_1.5 b,doll_1.3 b
614,doll_1.5 b,doll_1.3 b
615,doll_17.3 m,doll_1.3 b
616,doll_221.3 m,doll_1.3 b
617,doll_2.1 b,doll_1.3 b
618,doll_1.2 b,doll_1.3 b
619,doll_2.7 b,doll_1.3 b
620,doll_1.2 b,doll_1.3 b
621,doll_3.3 b,doll_1.3 b
622,doll_1.7 b,doll_1.3 b
623,doll_1.5 b,doll_1.3 b
624,doll_4.1 b,doll_1.3 b
625,doll_522.2 m,doll_1.3 b
626,doll_9.9 b,doll_1.3 b
627,doll_26.2 b,doll_1.3 b
628,doll_1.7 b,doll_1.3 b
629,doll_600.7 m,doll_1.3 b
630,doll_791.0 m,doll_1.4 b
631,0,doll_1.4 b
632,doll_1.4 b,doll_1.4 b
633,doll_10.3 b,doll_1.4 b
634,0,doll_1.4 b
635,doll_1.3 b,doll_1.4 b
636,0,doll_1.4 b
637,doll_2.8 b,doll_1.4 b
638,doll_1.4 b,doll_1.4 b
639,doll_2.1 b,doll_1.4 b
640,doll_1.8 b,doll_1.4 b
641,doll_411.0 m,doll_1.4 b
642,doll_1.9 b,doll_1.4 b
643,doll_2.0 b,doll_1.4 b
644,doll_4.1 b,doll_1.4 b
645,doll_3.7 b,doll_1.4 b
646,doll_871.6 m,doll_1.4 b
647,doll_1.7 b,doll_1.4 b
648,doll_5.0 b,doll_1.4 b
649,doll_1.5 b,doll_1.4 b
650,doll_4.7 b,doll_1.4 b
651,doll_2.8 b,doll_1.4 b
652,doll_1.9 b,doll_1.4 b
653,doll_7.9 b,doll_1.4 b
654,doll_13.2 b,doll_1.4 b
655,doll_1.9 b,doll_1.4 b
656,doll_5.0 b,doll_1.4 b
657,doll_925.4 m,doll_1.4 b
658,doll_1.2 b,doll_1.4 b
659,doll_510.9 m,doll_1.4 b
660,doll_1.1 b,doll_1.4 b
661,doll_1.4 b,doll_1.4 b
662,doll_728.4 m,doll_1.4 b
663,doll_45.6 b,doll_1.4 b
664,doll_3.0 b,doll_1.4 b
665,doll_3.3 b,doll_1.4 b
666,doll_7.0 b,doll_1.4 b
667,doll_970.4 m,doll_1.4 b
668,0,doll_1.4 b
669,doll_1.3 b,doll_1.4 b
670,0,doll_1.4 b
671,doll_1.2 b,doll_1.4 b
672,doll_614.3 m,doll_1.4 b
673,0,doll_1.4 b
674,doll_1.9 b,doll_1.4 b
675,doll_15.7 b,doll_1.4 b
676,doll_2.0 b,doll_1.4 b
677,doll_6.9 b,doll_1.4 b
678,doll_452.9 m,doll_1.4 b
679,doll_289.9 m,doll_1.4 b
680,doll_2.9 b,doll_1.4 b
681,doll_3.2 b,doll_1.4 b
682,doll_682.0 m,doll_1.4 b
683,doll_5.5 b,doll_1.4 b
684,doll_34.0 b,doll_1.4 b
685,doll_179.1 m,doll_1.4 b
686,doll_7.3 b,doll_1.4 b
687,doll_141.6 m,doll_1.4 b
688,doll_473.5 m,doll_1.4 b
689,doll_3.2 b,doll_1.4 b
690,doll_803.5 m,doll_1.4 b
691,doll_1.7 b,doll_1.4 b
692,doll_1.2 b,doll_1.4 b
693,doll_4.2 b,doll_1.4 b
694,doll_1.6 b,doll_1.4 b
695,doll_1.8 b,doll_1.4 b
696,doll_3.5 b,doll_1.4 b
697,doll_323.6 m,doll_1.4 b
698,doll_1.8 b,doll_1.4 b
699,doll_3.0 b,doll_1.4 b
700,doll_1.1 b,doll_1.4 b
701,doll_2.1 b,doll_1.4 b
702,doll_1.0 b,doll_1.4 b
703,doll_504.1 m,doll_1.4 b
704,doll_2.6 b,doll_1.4 b
705,doll_8.4 b,doll_1.4 b
706,doll_10.6 b,doll_1.4 b
707,doll_5.2 b,doll_1.4 b
708,doll_905.5 m,doll_1.4 b
709,doll_11.7 b,doll_1.4 b
710,doll_1.9 b,doll_1.4 b
711,doll_2.5 b,doll_1.4 b
712,doll_244.2 m,doll_1.4 b
713,doll_3.4 b,doll_1.4 b
