,index,founded,industry,headquarters,name,size,website
915,915,2012,semiconductors,"san jose, ca",svxr careers,1 to 50 employees,www.svxr.com
916,916,1994,computer software,"richardson, tx",medeanalytics careers,201 to 500 employees,medeanalytics.com
917,917,1999,financial services,"draper, ut",progressive leasing careers,"1,001 to 5,000 employees",www.progleasing.com
918,918,1993,computer software,"coppell, tx",clear c2 careers,51 to 200 employees,www.clearc2.com
919,919,1924,entertainment,"beverly hills, ca",mgm careers,201 to 500 employees,www.mgm.com
920,920,2013,cosmetics,"london, strand",charlotte tilbury beauty careers,"501 to 1,000 employees",www.charlottetilbury.com
921,921,2011,design,"portland, or",industry careers,1 to 50 employees,www.industrypdx.com
922,922,2013,financial services,"boston, ma",circle careers,51 to 200 employees,www.circle.com
923,923,2011,internet,"pittsburgh, pa",duolingo careers,201 to 500 employees,www.duolingo.com
924,924,2019,internet,"los angeles, ca",vinovest careers,1 to 50 employees,www.vinovest.co
925,925,1977,medical device,"seattle, wa",path careers,"1,001 to 5,000 employees",www.path.org
926,926,1994,computer software,"nashua, nh",microdesk careers,201 to 500 employees,www.microdesk.com
927,927,2004,information technology & services,"irving, tx",veritis careers,51 to 200 employees,www.veritis.com
928,928,2006,semiconductors,"san jose, ca",global equipment services careers,51 to 200 employees,www.geservs.com
929,929,2012,financial services,"san francisco, ca",ripple careers,201 to 500 employees,www.ripple.com
930,930,1988,defense & space,"king of prussia, pa",tdi careers,51 to 200 employees,www.tditek.com
931,931,2015,financial services,"san mateo, ca",checkbook careers,1 to 50 employees,www.checkbook.io
932,932,1912,electrical & electronic manufacturing,"oak brook, il",continental electrical construction careers,"501 to 1,000 employees",www.cecco.com
933,933,1970,human resources,"greensboro, nc",center for creative leadership careers,"501 to 1,000 employees",www.ccl.org
934,934,1999,internet,"buenos aires, argentina",mercado libre careers,"10,000+ employees",www.mercadolibre.com.mx
