00-avengers-name,02-GioPonSpiz-name,03-gren-name,04-iGMM-name,05-MalPatSaj-name,06-MarScoToc-name,07-silvestri-name,08-slytherin-name,10-DeBiGa-name
general motors company,hitachi ltd,aon plc,state street corporation,aon plc,vivo energy plc,aon plc,europacorp,"fortinet, inc."
"metlife, inc.",scentre group,northrop grumman corporation,engie sa,northrop grumman corporation,qinetiq group plc,northrop grumman corporation,sequans communications sa,dollar general corporation
dassault systèmes se,"mediatek, inc.",kddi corp,franco-nevada corporation,kddi corp,mercantile investment trust (the) plc,kddi corp,artea,"american international group, inc."
pacificorp,lululemon athletica inc.,norfolk southern corporation,anhui conch cement company ltd,norfolk southern corporation,sequoia economic infrastructure inc ord,norfolk southern corporation,dont nod entertainment sa,marathon petroleum corporation
boston scientific corporation,dow inc.,freeport-mcmoran inc.,"zscaler, inc.",freeport-mcmoran inc.,balfour beatty plc,freeport-mcmoran inc.,gea,canadian pacific railway limited
fedex corporation,rosneft oil co pjsc,wal-mart de mexico sab de cv,china pacific insurance,wal-mart de mexico sab de cv,kainos group plc,wal-mart de mexico sab de cv,fermentalg sa,ambev sa
shin-etsu chemical co ltd,mckesson corporation,pt bank central asia tbk,e.on se,pt bank central asia tbk,aggreko plc,pt bank central asia tbk,installux sa,heineken n.v.
ap moller - maersk a-s,suncor energy inc.,"eog resources, inc.","ametek, inc.","eog resources, inc.",personal assets trust,"eog resources, inc.",cie du mont-blanc,softbank group corp.
"sk hynix, inc.","vmware, inc.",siemens healthineers ag,"expedia group, inc.",siemens healthineers ag,babcock international group plc,siemens healthineers ag,caisse regionale de credit agricole du morbihan,ergo science corp
oriental land co. ltd,johnson controls international plc,anglo american plc,the people's insurance company (group) of china ltd,anglo american plc,ashmore group plc,anglo american plc,olympique lyonnais groupe sa,keurig dr pepper inc.
snowflake inc.,"o'reilly automotive, inc.","moderna, inc.",ck hutchison holdings ltd,"moderna, inc.",murray international trust plc,"moderna, inc.",societe centrale des bois et scieries de la manche sa,chugai pharmaceutical co. ltd
exelon corporation,grupo mexico sab de cv,general dynamics corporation,airports of thailand public company ltd,general dynamics corporation,pagegroup plc,general dynamics corporation,alony-hetz properties & investments ltd,"daikin industries,ltd."
