00-avengers-name,02-GioPonSpiz-name,03-gren-name,04-iGMM-name,05-MalPatSaj-name,06-MarScoToc-name,07-silvestri-name,08-slytherin-name,10-DeBiGa-name
apple,apple inc.,apple inc.,apple,apple inc.,shell plc,apple inc.,great wall motor co ltd,"avis budget group, inc."
danaher,microsoft corporation,microsoft corporation,exxonmobil,microsoft corporation,astrazeneca plc,microsoft corporation,colbún sa,telefônica brasil sa
merck,saudi arabian oil company,saudi arabian oil company,roche,saudi arabian oil company,linde plc,saudi arabian oil company,usinas siderúrgicas de minas gerais sa,east japan railway company
bhp,alphabet inc.,alphabet inc.,home depot,alphabet inc.,hsbc holdings plc,alphabet inc.,origin enterprises plc,twilio inc.
nike,"amazon.com, inc.","amazon.com, inc.",pfizer,"amazon.com, inc.",rio tinto group,"amazon.com, inc.",summit real estate holdings ltd,"delta electronics, inc."
abbott,"tesla, inc.","tesla, inc.",kweichow moutai,"tesla, inc.",unilever plc,"tesla, inc.",selvita sa,power corporation of canada
verizon,berkshire hathaway inc.,berkshire hathaway inc.,bank of america,berkshire hathaway inc.,diageo plc,berkshire hathaway inc.,far-eastern shipping co plc,"expedia group, inc."
comcast,nvidia corporation,nvidia corporation,chevron,nvidia corporation,glaxosmithkline plc,nvidia corporation,precinct properties new zealand ltd,croda international plc
accenture,"meta platforms, inc.","meta platforms, inc.",mastercard,"meta platforms, inc.",british american tobacco plc,"meta platforms, inc.",proseed india ltd,"coupang, inc."
l'oréal,taiwan semiconductor manufacturing company limited,taiwan semiconductor manufacturing company limited,lvmh,taiwan semiconductor manufacturing company limited,bp plc,taiwan semiconductor manufacturing company limited,"controladora vuela compañía de aviación, s.a.b. de c.v.",mplx lp
oracle,unitedhealth group incorporated,unitedhealth group incorporated,samsung,unitedhealth group incorporated,aon plc,unitedhealth group incorporated,z holdings corp,natwest group plc
thermo fisher scientific,visa inc.,visa inc.,procter & gamble,visa inc.,anglo american plc,visa inc.,crispr therapeutics ag,"dupont de nemours, inc."
cisco,johnson & johnson,johnson & johnson,jpmorgan,johnson & johnson,reckitt benckiser group plc,johnson & johnson,flughafen zürich ag,hp inc.
pepsico,tencent holdings ltd,tencent holdings ltd,walmart,tencent holdings ltd,relx plc,tencent holdings ltd,sfs group ag,"honda motor co., ltd."
disney,walmart inc.,walmart inc.,tencent,walmart inc.,ihs markit ltd.,walmart inc.,matba rofex sa,macquarie group limited
icbc,jpmorgan chase & co.,jpmorgan chase & co.,johnson & johnson,jpmorgan chase & co.,national grid plc,jpmorgan chase & co.,instituto rosenbusch sa,general motors company
novo nordisk,the procter & gamble company,the procter & gamble company,danaher,the procter & gamble company,london stock exchange group plc,the procter & gamble company,"polledo sociedad anonima, industrial, constructora y financiera",edwards lifesciences corporation
costco,"samsung electronics co., ltd.","samsung electronics co., ltd.",merck,"samsung electronics co., ltd.",general accident plc,"samsung electronics co., ltd.",empresa distribuidora eléctrica regional sa,zurich insurance group ag
broadcom,"lvmh moët hennessy - louis vuitton, se","lvmh moët hennessy - louis vuitton, se",bhp,"lvmh moët hennessy - louis vuitton, se",vodafone group plc,"lvmh moã«t hennessy - louis vuitton, se",gambling.com group ltd,atlassian corporation plc
lilly,mastercard incorporated,mastercard incorporated,nike,mastercard incorporated,lloyds banking group plc,mastercard incorporated,trigano sa,"the tjx companies, inc."
coca-cola,bank of america corporation,bank of america corporation,abbott,bank of america corporation,prudential plc,bank of america corporation,broendbyernes if fodbold a-s,"intercontinental exchange, inc."
asml,roche holding ag,roche holding ag,verizon,roche holding ag,compass group plc,roche holding ag,fom technologies a/s,canadian natural resources limited
alibaba,exxon mobil corporation,exxon mobil corporation,comcast,exxon mobil corporation,natwest group plc,exxon mobil corporation,nano-x imaging ltd.,truist financial corporation
abbvie,kweichow moutai co. ltd,kweichow moutai co. ltd,accenture,kweichow moutai co. ltd,barclays plc,kweichow moutai co. ltd,i.d.i. insurance company ltd,"regeneron pharmaceuticals, inc."
pfizer,"the home depot, inc.","the home depot, inc.",l'oréal,"the home depot, inc.",ferguson plc,"the home depot, inc.",the israel land development company ltd,"gilead sciences, inc."
chevron,chevron corporation,chevron corporation,oracle,chevron corporation,bae systems plc,chevron corporation,idgc of centre pjsc,"becton, dickinson and company"
home depot,pfizer inc.,pfizer inc.,thermo fisher scientific,pfizer inc.,willis towers watson plc,pfizer inc.,birla tyres ltd,"the pnc financial services group, inc."
kweichow moutai,abbvie inc.,abbvie inc.,cisco,abbvie inc.,ashtead group plc,abbvie inc.,rohit ferro-tech ltd,lam research corporation
exxonmobil,alibaba group holding limited,alibaba group holding limited,pepsico,alibaba group holding limited,tesco plc,alibaba group holding limited,nueva expresion textil sa,the southern company
roche,asml holding n.v.,asml holding n.v.,disney,asml holding n.v.,bt group plc,asml holding n.v.,inmobiliaria del sur sa,china petroleum & chemical corporation
bank of america,the coca-cola company,the coca-cola company,icbc,the coca-cola company,sse plc,the coca-cola company,photon energy n.v.,china yangtze power co. ltd
mastercard,eli lilly and company,eli lilly and company,novo nordisk,eli lilly and company,coca-cola europacific partners plc,eli lilly and company,lava therapeutics b.v.,kering sa
lvmh,broadcom inc.,broadcom inc.,intuit,broadcom inc.,cnh industrial n.v.,broadcom inc.,beter bed holding n.v.,bank of montreal
samsung,costco wholesale corporation,costco wholesale corporation,amd,costco wholesale corporation,legal & general group plc,costco wholesale corporation,asa international group plc,tokyo electron ltd
procter & gamble,novo nordisk a/s,novo nordisk a/s,john deere,novo nordisk a/s,segro plc,novo nordisk a/s,the kingfish company n.v.,u.s. bancorp
jpmorgan,industrial & commercial bank of china ltd,industrial & commercial bank of china ltd,sanofi,industrial & commercial bank of china ltd,standard chartered plc,industrial & commercial bank of china ltd,hydratec industries nv,essilorluxottica sa
walmart,the walt disney company,the walt disney company,paypal,the walt disney company,imperial brands plc,the walt disney company,vaudoise assurances holding sa,crown castle international corp. (reit)
tencent,"pepsico, inc.","pepsico, inc.",sap,"pepsico, inc.",aviva plc,"pepsico, inc.",leonteq ag,national australia bank limited
johnson & johnson,"cisco systems, inc.","cisco systems, inc.",ping an insurance,"cisco systems, inc.",croda international plc,"cisco systems, inc.",investis holding sa,"hca healthcare, inc."
visa,thermo fisher scientific inc.,thermo fisher scientific inc.,cvs health,thermo fisher scientific inc.,scottish mortgage investment trust plc,thermo fisher scientific inc.,gielda papierów wartosciowych w warszawie sa,air liquide sa
unitedhealth group,oracle corporation,oracle corporation,conocophillips,oracle corporation,antofagasta plc,oracle corporation,onde sa,shopify inc.
tsmc,l'oréal sa,l'oréal sa,honeywell,l'oréal sa,3i group plc,l'orã©al sa,coloplast a/s,cigna corporation
meta,accenture plc,accenture plc,totalenergies,accenture plc,associated british foods plc,accenture plc,neurones,"mitsubishi ufj financial group, inc."
nvidia,comcast corporation,comcast corporation,china mobile,comcast corporation,wpp plc,comcast corporation,synergie sa,"micron technology, inc."
berkshire hathaway,verizon communications inc.,verizon communications inc.,hsbc,verizon communications inc.,smith & nephew plc,verizon communications inc.,esker sa,"marsh & mclennan companies, inc."
tesla,abbott laboratories,abbott laboratories,bank of china,abbott laboratories,liberty global plc,abbott laboratories,wavestone sa,cme group inc.
amazon,"nike, inc.","nike, inc.",amgen,"nike, inc.",bunzl plc,"nike, inc.",augwind energy tech storage ltd,glencore plc
alphabet,bhp group,bhp group,lowe's,bhp group,rentokil initial plc,bhp group,aquarius engines ,brookfield asset management inc.
aramco,"merck & co., inc.","merck & co., inc.",china life insurance company limited,"merck & co., inc.",intercontinental hotels group plc,"merck & co., inc.",grenke ag,the blackstone group inc.
microsoft,danaher corporation,danaher corporation,airbus,danaher corporation,evraz plc,danaher corporation,adesso se,bank of nova scotia
medtronic,sea limited,shell plc,petróleo brasileiro s.a. - petrobras,shell plc,spirax-sarco engineering plc,shell plc,signet industries ltd,duke energy corporation
philip morris,"uber technologies, inc.",novartis ag,allianz se,novartis ag,informa plc,novartis ag,kapston facilities management ltd,3m company
schwab,moody's corporation,astrazeneca plc,chubb limited,astrazeneca plc,ocado group plc,astrazeneca plc,rkec projects ltd,csl limited
rbc,nintendo co ltd,intel corporation,daimler ag,intel corporation,intertek group plc,intel corporation,akash infra-projects ltd,zoetis inc.
netflix,pioneer natural resources company,wells fargo & company,general electric,wells fargo & company,rolls-royce holdings plc,wells fargo & company,almunda professionals n.v.,vulcan international corp
morgan stanley,eaton corporation plc,adobe inc.,the estée lauder companies inc.,adobe inc.,schroders plc,adobe inc.,energy transition partners b.v.,"jd.com, inc."
t-mobile us,"analog devices, inc.","salesforce.com, inc.",s&p global inc.,"salesforce.com, inc.",next plc,"salesforce.com, inc.",plaza centers n.v.,"mondelez international, inc."
agricultural bank of china,"fidelity national information services, inc.","united parcel service, inc.",stryker corporation,"united parcel service, inc.",united utilities group plc,"united parcel service, inc.",climate transition capital acquisition i b.v.,merck kommanditgesellschaft auf aktien
nextera energy,"banco santander, sa",china construction bank corp,british american tobacco plc,china construction bank corp,st. james's place plc,china construction bank corp,new amsterdam invest n.v.,deutsche telekom ag
linde,hapag-lloyd ag,mcdonald's corporation,"altria group, inc.",mcdonald's corporation,severn trent plc,mcdonald's corporation,esperite nv,schneider electric se
prosus,adyen n.v.,china merchants bank co ltd,nippon telegraph & telephone corp,china merchants bank co ltd,jd sports fashion plc,china merchants bank co ltd,new sources energy n.v.,enbridge inc.
bristol myers squibb,atlas copco ab,contemporary amperex technology co. ltd,saudi basic industries corp,contemporary amperex technology co. ltd,admiral group plc,contemporary amperex technology co. ltd,green hydrogen systems a/s,canadian national railway company
texas instruments,cnooc limited,union pacific corporation,byd company,union pacific corporation,the sage group plc,union pacific corporation,ørsted a/s,booking holdings inc.
qualcomm,nutrien ltd.,at&t inc.,charter communications,at&t inc.,wm morrison supermarkets plc,at&t inc.,dpa group n.v.,china shenhua energy company ltd
at&t,"block, inc.",qualcomm incorporated,edwards lifesciences corporation,qualcomm incorporated,aveva group plc,qualcomm incorporated,lavide holding n.v.,bp plc
union pacific,deutsche post ag,texas instruments incorporated,zurich insurance group ag,texas instruments incorporated,mondi plc,texas instruments incorporated,ivf hartmann holding ag,"automatic data processing, inc."
catl,"netease, inc.",bristol-myers squibb company,atlassian corporation plc,bristol-myers squibb company,standard life aberdeen plc,bristol-myers squibb company,geojunxion n.v.,"metlife, inc."
china merchants bank,hong kong exchanges & clearing ltd,prosus n.v.,"the tjx companies, inc.",prosus n.v.,pentair plc,prosus n.v.,basler kantonalbank,dassault systèmes se
mcdonald's,capital one financial corporation,linde plc,"intercontinental exchange, inc.",linde plc,persimmon plc,linde plc,phoenix mecano ag,pacificorp
china construction bank,emerson electric co.,"nextera energy, inc.",canadian natural resources limited,"nextera energy, inc.",burberry group plc,"nextera energy, inc.",orascom development holding ag,boston scientific corporation
