02-GioPonSpiz-industry,03-gren-industry,04-iGMM-industry,05-MalPatSaj-industry,06-MarScoToc-industry,10-DeBiGa-industry
chemicals,chemicals,reit—specialty,chemicals,rental & leasing services,banks
banks,banks,discount stores,banks,aerospace & defense,semiconductors
medical instruments & supplies,medical instruments & supplies,banks,medical instruments & supplies,consulting services,publishing
reit—retail,reit—retail,farm & heavy construction machinery,reit—retail,reitdiversified,utilities—regulated electric
banks,banks,broadcasting,banks,integrated freight & logistics,insurance—reinsurance
internet content & information,internet content & information,computer hardware,internet content & information,real estatediversified,beverages—wineries & distilleries
electronic gaming & multimedia,electronic gaming & multimedia,banks,electronic gaming & multimedia,diagnostics & research,insurance—life
telecom services,telecom services,oil & gas equipment & services,telecom services,staffing & employment services,diagnostics & research
railroads,railroads,oil & gas integrated,railroads,specialty business services,banks
auto manufacturers,auto manufacturers,medical instruments & supplies,auto manufacturers,reitresidential,beverages—brewers
utilities—diversified,utilities—diversified,insurance—life,utilities—diversified,asset management,agricultural inputs
insurance—diversified,insurance—diversified,chemicals,insurance—diversified,asset management,biotechnology
diagnostics & research,diagnostics & research,specialty chemicals,diagnostics & research,footwear & accessories,textile manufacturing
software—infrastructure,software—infrastructure,internet retail,software—infrastructure,softwareapplication,utilities—regulated electric
electrical equipment & parts,electrical equipment & parts,grocery stores,electrical equipment & parts,medical devices,specialty industrial machinery
banks,banks,asset management,banks,advertising agencies,apparel manufacturing
banks,banks,internet content & information,banks,softwareapplication,medical instruments & supplies
rental & leasing services,rental & leasing services,communication equipment,rental & leasing services,specialty business services,biotechnology
specialty chemicals,specialty chemicals,other industrial metals & mining,specialty chemicals,asset management,reit—residential
residential construction,residential construction,banks,residential construction,oil & gas e&p,capital markets
medical instruments & supplies,medical instruments & supplies,oil & gas refining & marketing,medical instruments & supplies,consulting services,medical instruments & supplies
utilities—regulated electric,utilities—regulated electric,banks,utilities—regulated electric,information technology services,banks
thermal coal,thermal coal,insurance—property & casualty,thermal coal,biotechnology,farm products
utilities—diversified,utilities—diversified,oil & gas midstream,utilities—diversified,asset management,broadcasting
specialty chemicals,specialty chemicals,oil & gas e&p,specialty chemicals,softwareinfrastructure,farm & heavy construction machinery
real estate—development,real estate—development,semiconductors,real estate—development,capital markets,travel services
solar,solar,biotechnology,solar,biotechnology,lodging
specialty industrial machinery,specialty industrial machinery,insurance—life,specialty industrial machinery,scientific & technical instruments,scientific & technical instruments
resorts & casinos,resorts & casinos,grocery stores,resorts & casinos,asset management,semiconductors
banks,banks,food distribution,banks,scientific & technical instruments,entertainment
agricultural inputs,agricultural inputs,diagnostics & research,agricultural inputs,specialty business services,specialty chemicals
information technology services,information technology services,lodging,information technology services,asset management,utilities—regulated electric
information technology services,information technology services,integrated freight & logistics,information technology services,medical devices,mortgage finance
utilities—renewable,utilities—renewable,grocery stores,utilities—renewable,softwareapplication,semiconductors
airlines,airlines,packaged foods,airlines,asset management,telecom services
software—infrastructure,software—infrastructure,agricultural inputs,software—infrastructure,asset management,farm & heavy construction machinery
biotechnology,biotechnology,semiconductor equipment & materials,biotechnology,asset management,copper
oil & gas e&p,oil & gas e&p,beverages—non-alcoholic,oil & gas e&p,leisure,banks
software—infrastructure,software—infrastructure,packaged foods,software—infrastructure,asset management,household & personal products
household & personal products,household & personal products,medical instruments & supplies,household & personal products,asset management,electrical equipment & parts
utilities—regulated electric,utilities—regulated electric,waste management,utilities—regulated electric,reitdiversified,tools & accessories
banks,banks,home improvement retail,banks,biotechnology,steel
entertainment,entertainment,consumer electronics,entertainment,utilitiesregulated electric,drug manufacturers—general
oil & gas e&p,oil & gas e&p,household & personal products,oil & gas e&p,entertainment,auto parts
marine shipping,marine shipping,oil & gas midstream,marine shipping,specialty business services,utilities—diversified
airports & air services,airports & air services,electronic components,airports & air services,drug manufacturersspecialty & generic,utilities—regulated electric
auto manufacturers,auto manufacturers,gold,auto manufacturers,farm products,reit—healthcare facilities
asset management,asset management,insurance—life,asset management,softwareinfrastructure,electrical equipment & parts
software—application,software—application,reit—retail,software—application,health information services,software—infrastructure
reit—residential,reit—residential,banks,reit—residential,drug manufacturersspecialty & generic,health information services
medical care facilities,medical care facilities,beverages—wineries & distilleries,medical care facilities,asset management,utilities—diversified
business equipment & supplies,business equipment & supplies,semiconductors,business equipment & supplies,gold,medical instruments & supplies
telecom services,telecom services,insurance—property & casualty,telecom services,other industrial metals & mining,specialty retail
building materials,building materials,diagnostics & research,building materials,asset management,capital markets
farm & heavy construction machinery,farm & heavy construction machinery,telecom services,farm & heavy construction machinery,asset management,building materials
electronic components,electronic components,residential construction,electronic components,asset management,credit services
gold,gold,electronic components,gold,rental & leasing services,specialty industrial machinery
specialty industrial machinery,specialty industrial machinery,confectioners,specialty industrial machinery,medical instruments & supplies,gold
credit services,credit services,drug manufacturers—specialty & generic,credit services,specialty business services,banks
building materials,building materials,internet content & information,building materials,tools & accessories,resorts & casinos
capital markets,capital markets,specialty chemicals,capital markets,specialty retail,information technology services
specialty retail,specialty retail,footwear & accessories,specialty retail,"furnishings, fixtures & appliances",insurance brokers
medical instruments & supplies,medical instruments & supplies,specialty industrial machinery,medical instruments & supplies,asset management,insurance—property & casualty
utilities—diversified,utilities—diversified,banks,utilities—diversified,biotechnology,internet retail
health information services,health information services,diagnostics & research,health information services,specialty chemicals,specialty chemicals
software—infrastructure,software—infrastructure,steel,software—infrastructure,banks,capital markets
electrical equipment & parts,electrical equipment & parts,information technology services,electrical equipment & parts,asset management,real estate—diversified
reit—healthcare facilities,reit—healthcare facilities,specialty industrial machinery,reit—healthcare facilities,information technology services,asset management
utilities—regulated electric,utilities—regulated electric,insurance—life,utilities—regulated electric,reitdiversified,banks
utilities—diversified,utilities—diversified,software—application,utilities—diversified,asset management,credit services
auto parts,auto parts,internet content & information,auto parts,residential construction,reit—office
drug manufacturers—general,drug manufacturers—general,software—infrastructure,drug manufacturers—general,diagnostics & research,conglomerates
steel,steel,other industrial metals & mining,steel,asset management,gambling
tools & accessories,tools & accessories,specialty retail,tools & accessories,specialty industrial machinery,oil & gas midstream
electrical equipment & parts,electrical equipment & parts,engineering & construction,electrical equipment & parts,reitresidential,consumer electronics
household & personal products,household & personal products,software—infrastructure,household & personal products,asset management,telecom services
banks,banks,oil & gas integrated,banks,biotechnology,medical devices
copper,copper,medical distribution,copper,asset management,utilities—regulated electric
farm & heavy construction machinery,farm & heavy construction machinery,oil & gas integrated,farm & heavy construction machinery,specialty retail,leisure
telecom services,telecom services,chemicals,telecom services,real estate services,banks
semiconductors,semiconductors,apparel retail,semiconductors,asset management,conglomerates
mortgage finance,mortgage finance,semiconductors,mortgage finance,specialty chemicals,oil & gas integrated
utilities—regulated electric,utilities—regulated electric,reit—retail,utilities—regulated electric,asset management,travel services
specialty chemicals,specialty chemicals,conglomerates,specialty chemicals,asset management,software—application
entertainment,entertainment,insurance—property & casualty,entertainment,asset management,scientific & technical instruments
semiconductors,semiconductors,credit services,semiconductors,broadcasting,information technology services
scientific & technical instruments,scientific & technical instruments,aerospace & defense,scientific & technical instruments,asset management,software—application
lodging,lodging,auto manufacturers,lodging,asset management,semiconductors
travel services,travel services,auto parts,travel services,banks,internet content & information
farm & heavy construction machinery,farm & heavy construction machinery,telecom services,farm & heavy construction machinery,asset management,reit—industrial
broadcasting,broadcasting,auto manufacturers,broadcasting,specialty business services,specialty industrial machinery
farm products,farm products,oil & gas integrated,farm products,information technology services,packaged foods
banks,banks,conglomerates,banks,credit services,computer hardware
medical instruments & supplies,medical instruments & supplies,semiconductors,medical instruments & supplies,asset management,other industrial metals & mining
capital markets,capital markets,semiconductors,capital markets,asset management,entertainment
reit—residential,reit—residential,apparel retail,reit—residential,internet retail,software—application
biotechnology,biotechnology,banks,biotechnology,farm products,gold
medical instruments & supplies,medical instruments & supplies,oil & gas e&p,medical instruments & supplies,real estate services,banks
apparel manufacturing,apparel manufacturing,utilities—diversified,apparel manufacturing,softwareapplication,insurance—life
specialty industrial machinery,specialty industrial machinery,chemicals,specialty industrial machinery,gold,medical instruments & supplies
utilities—regulated electric,utilities—regulated electric,consulting services,utilities—regulated electric,credit services,electronic gaming & multimedia
textile manufacturing,textile manufacturing,financial data & stock exchanges,textile manufacturing,specialty business services,medical care facilities
biotechnology,biotechnology,diagnostics & research,biotechnology,specialty business services,other industrial metals & mining
agricultural inputs,agricultural inputs,auto manufacturers,agricultural inputs,financial data & stock exchanges,consulting services
beverages—brewers,beverages—brewers,internet content & information,beverages—brewers,asset management,banks
railroads,railroads,software—infrastructure,railroads,apparel manufacturing,real estate—diversified
chemicals,chemicals,discount stores,chemicals,specialty industrial machinery,integrated freight & logistics
,diagnostics & research,insurance—diversified,diagnostics & research,communication equipment,waste management
consumer electronics,consumer electronics,oil & gas refining & marketing,consumer electronics,asset management,                                        utilities—renewable                                    
biotechnology,biotechnology,railroads,biotechnology,engineering & construction,restaurants
marine shipping,marine shipping,beverages—brewers,marine shipping,asset management,restaurants
communication equipment,communication equipment,beverages—brewers,communication equipment,other industrial metals & mining,banks
packaged foods,packaged foods,telecom services,packaged foods,drug manufacturersspecialty & generic,beverages—brewers
insurance—property & casualty,insurance—property & casualty,staffing & employment services,insurance—property & casualty,packaged foods,capital markets
banks,banks,beverages—non-alcoholic,banks,softwareapplication,drug manufacturers—specialty & generic
farm & heavy construction machinery,farm & heavy construction machinery,drug manufacturers—general,farm & heavy construction machinery,beveragesbrewers,engineering & construction
utilities—regulated gas,utilities—regulated gas,building products & equipment,utilities—regulated gas,oil & gas e&p,communication equipment
beverages—non-alcoholic,beverages—non-alcoholic,utilities—diversified,beverages—non-alcoholic,leisure,drug manufacturers—specialty & generic
