00-avengers-employees,04-iGMM-employees,08-slytherin-employees,10-DeBiGa-employees
"51,000","38,000","5,341"," 8,692"
,"6,938","1,956"," 10,753"
"167,816","88,100","15,293",
"10,065","54,492","4,497"," 20,400"
"126,371","3,238","28,655"," 86,266"
"6,400","61,201","3,545"," 48,834"
"105,000","31,968","20,593"," 2,539"
"19,112","8,256","5,784"," 145,653"
"89,600","73,516","32,765"," 67,950"
"31,000","16,700","12,466"," 18,100"
"14,800","137,000","6,923"," 24,519"
"7,867","40,000","17,415"," 11,901"
"46,989","7,529","1,451"," 30,153"
367,"20,341","17,261"," 104,150"
"14,922","2,400","2,123"," 1,600"
"27,804","3,380",not found," 46,989"
"5,300","39,000","2,007", 367
"184,034","22,531","5,501"," 14,922"
,"9,367","12,220"," 27,804"
"26,000",418,"7,107"," 5,300"
"10,300","2,870","1,004"," 184,034"
"55,100","22,540","3,199"," 82,969"
"81,098","18,370",not found," 26,000"
"5,245","12,000","2,589"," 10,300"
"6,522","158,000","10,258"," 55,100"
"26,000","26,038","1,139"," 81,098"
,"57,062","2,661"," 5,245"
"44,133","13,871","44,415"," 6,522"
"16,051","1,550","28,213"," 26,000"
,"23,663","63,914",
"8,987","38,500",491," 44,133"
"138,036","36,000","8,696"," 16,051"
"19,500","5,400","8,500"," 3,103"
"22,808","2,839","8,431"," 8,987"
,"74,621",not found," 138,036"
"5,100","22,097","7,212"," 19,500"
,"26,728","2,064"," 22,808"
"22,000","59,159","13,819"," 36,344"
"44,461","16,000","4,380"," 5,100"
,"61,686","3,920"," 14,000"
"2,571","8,600",751," 22,000"
,"39,281","6,608"," 44,461"
"5,533",57,not found,
"139,677","28,903","25,532"," 2,571"
"14,000","43,257","6,064"," 3,291"
"62,720","54,640","5,793"," 5,533"
,"20,619","1,554"," 139,677"
"22,700","37,000",not found," 14,000"
"11,788","11,000","17,626"," 62,720"
"13,832","14,000","3,930"," 8,806"
"4,309","79,398","5,331"," 22,700"
"13,340","10,409",306," 11,788"
"49,607","480,000","3,660"," 13,832"
"30,000","16,033","2,926"," 4,309"
"19,454","324,700","14,297"," 13,340"
"13,003","1,596",659," 49,607"
"13,985","61,886",929," 30,000"
,"75,975",not found," 19,454"
"28,000","92,144",609," 13,003"
"78,189","27,125","24,661"," 13,985"
"6,295","133,000","2,723",
"59,262","110,432","1,441"," 28,000"
"9,116","54,000","4,227"," 78,189"
"5,100","18,000","5,216"," 6,295"
902,"24,389","8,554"," 82,257"
870,"23,000","2,996",
"2,675","6,184","2,963"," 1,212"
"2,920","16,842","6,864"," 29,522"
"83,000","10,800","3,005"," 5,607"
"2,114","98,000","5,766"," 25,000"
"16,600","1,059","8,808"," 27,200"
"13,900","5,696","37,216"," 31,653"
"12,525","18,700",not found,
"15,500",,"7,981"," 1,240"
"17,088","57,000","5,335"," 9,372"
"38,207","9,794","3,038"," 26,482"
"2,260","9,396","1,417"," 124,089"
,"54,300","2,379"," 52,809"
"6,000","4,783","11,431"," 9,000"
"12,395","1,600","11,894"," 24,586"
"63,869","48,254","1,029"," 40,000"
"7,061","2,800","13,349"," 18,352"
"8,692","38,000","26,629"," 18,700"
"10,753","500,000","1,079"," 19,500"
,"58,000",992,
"20,400","34,912","1,879",
"86,266","142,000","7,894"," 9,095"
"48,834","77,958",not found," 26,000"
"145,653","58,975","11,877"," 7,100"
"2,539","35,000","4,066"," 21,975"
"67,950","21,000","6,705"," 43,293"
"18,100","46,631","7,228"," 20,000"
"24,519","3,458",423," 37,840"
"11,901","34,389","3,237"," 20,567"
,"37,245",763," 4,492"
"104,150","35,000","7,643"," 71,300"
"1,600","122,000","86,313"," 47,710"
,"33,427","26,979"," 1,890"
"15,529","45,000","1,305"," 118,400"
"11,912","10,529","1,239"," 11,865"
"99,700","77,398","5,544"," 9,258"
"73,275","18,421","10,332", 434
"316,078","12,447","1,343"," 9,669"
"2,429","2,400","3,485"," 7,500"
"1,664","57,955","1,346"," 8,249"
"21,100","9,300","1,392"," 12,369"
"5,084","50,280","13,230"," 13,000"
"8,162","30,184",753," 57,750"
,"10,350","1,711"," 9,994"
"3,684","105,000","12,117"," 10,000"
"10,200",,"5,294"," 33,153"
,"90,000","1,204"," 69,015"
"5,607","16,620","30,490",
"25,000","47,099","1,087"," 9,594"
"27,200","45,500","1,185"," 52,000"
"31,653","26,272","1,297"," 16,196"
,"53,870","2,301"," 12,023"
"1,240",758,"1,708"," 20,300"
,"85,264","1,115"," 21,000"
"26,482","6,300","1,518"," 27,318"
"124,089","28,800","4,995"," 15,198"
,"330,600","53,816"," 9,982"
"9,000",,"7,931"," 8,001"
,"40,916","2,345"," 3,280"
"40,000","12,600","21,848"," 18,000"
,"28,445","2,544", 743
"18,700","4,965","2,661"," 19,463"
"19,500","29,707","3,279"," 16,813"
,"82,852","12,597"," 2,349"
,"101,000","2,944"," 78,490"
"9,095","34,000",952,
"26,000","16,922","1,166",
"7,100","59,000",742," 8,504"
"21,975",,"7,194"," 4,019"
"43,293","35,700","7,230"," 81,770"
"20,000","25,000","5,543",
"37,840",,"5,774"," 23,268"
"20,567","2,780","9,300"," 84,900"
"4,492","350,864","2,034"," 1,594"
"71,300",,"10,837"," 18,000"
"47,710",,"1,735"," 9,700"
"1,890","47,000","3,425"," 5,895"
"118,400","371,365","16,755"," 19,500"
"11,865","168,391",911," 18,004"
"9,258","49,781","6,824", 385
434,"281,595","37,591"," 16,000"
,"31,495","8,959"," 43,397"
"7,500","125,944","4,462"," 40,000"
"8,249","4,890","6,610"," 9,111"
"12,369","31,000","15,497"," 22,965"
"13,000","55,589",661," 2,742"
"57,750",,"6,786", 44
,"11,678","21,949"," 19,626"
"10,000","15,390","3,010"," 10,046"
"33,153","108,718","3,853"," 12,000"
"69,015","24,400","6,631"," 6,288"
,"24,158","1,696",
"71,973","16,218","72,181"," 10,600"
