00-avengers-market_cap,08-slytherin-market_cap,10-DeBiGa-market_cap,06-MarScoToc-mastercap,07-silvestri-market_value_apr_2022,02-GioPonSpiz-marketcap,04-iGMM-marketcap,05-MalPatSaj-marketcap,03-gren-market_capitalization_usd
cn¥898.61 billion,₹340.4 million,doll_68.09 b,doll_6.64 b,doll_136.32 b,doll_57.09 b,doll_65.53 billion,doll_136.32 b,136320000000.0
doll_141.72 billion,₹362.3 million,doll_68.11 b,doll_6.51 b,doll_135.27 b,,doll_65.64 billion,doll_135.27 b,135270000000.0
doll_143.77 billion,₹362.5 million,doll_68.23 b,doll_6.35 b,doll_134.25 b,doll_56.89 b,doll_65.74 billion,doll_134.25 b,134250000000.0
adoll_192.42 billion,₪3.1 million,doll_68.68 b,doll_6.25 b,doll_134.19 b,doll_56.77 b,doll_65.89 billion,doll_134.19 b,134190000000.0
cn¥919.47 billion,₹364.4 million,doll_68.69 b,doll_6.25 b,doll_133.92 b,doll_56.55 b,doll_66.35 billion,doll_133.92 b,133920000000.0
cdoll_182.02 billion,₹365.3 million,doll_68.93 b,doll_6.12 b,doll_132.29 b,doll_56.48 b,usdoll_55.99 billion,doll_132.29 b,132290000000.0
€134.84 billion,₹404.9 million,doll_69.31 b,doll_6.10 b,doll_130.31 b,doll_56.38 b,usdoll_56.17 billion,doll_130.31 b,130310000000.0
doll_150.76 billion,₹372.4 million,doll_69.45 b,doll_6.07 b,doll_128.29 b,doll_56.17 b,usdoll_56.38 billion,doll_128.29 b,128290000000.0
doll_150.96 billion,₹405.8 million,doll_69.90 b,doll_6.06 b,doll_126.77 b,doll_55.99 b,doll_56.48 billion,doll_126.77 b,126770000000.0
doll_97.31 billion,₪3.1 million,doll_70.15 b,doll_6.03 b,doll_126.64 b,doll_126.64 b,doll_56.55 billion,doll_126.64 b,126640000000.0
€88.16 billion,chf86.3 million,doll_70.20 b,doll_5.98 b,doll_125.84 b,doll_125.84 b,usdoll_56.77 billion,doll_125.84 b,125840000000.0
doll_98.37 billion,chf88.2 million,doll_70.20 b,doll_5.97 b,doll_125.16 b,doll_125.16 b,usdoll_56.89 billion,doll_125.16 b,125160000000.0
€89.12 billion,chf81.4 million,doll_70.55 b,"(jan. 1, 2022)",doll_124.98 b,doll_124.98 b,doll_56.94 billion,doll_124.98 b,124980000000.0
doll_98.57 billion,chf127.0 million,doll_70.81 b,doll_5.91 b,doll_124.13 b,doll_124.13 b,doll_57.09 billion,doll_124.13 b,124130000000.0
€86.86 billion,chf89.3 million,doll_71.48 b,doll_5.78 b,,,doll_57.18 billion,doll_123.59 b,123590000000.0
doll_99.22 billion,"₪995,621",doll_71.50 b,doll_5.74 b,doll_122.74 b,doll_122.74 b,usdoll_57.20 billion,doll_122.74 b,122740000000.0
doll_100.16 billion,hkdoll_57.57 billion,doll_71.90 b,doll_5.72 b,doll_122.11 b,doll_122.11 b,usdoll_57.23 billion,doll_122.11 b,122110000000.0
doll_100.84 billion,cn¥46.96 billion,doll_71.91 b,doll_5.60 b,doll_121.20 b,doll_121.20 b,usdoll_57.40 billion,doll_121.20 b,121200000000.0
doll_101.41 billion,cn¥47.09 billion,doll_71.96 b,doll_5.49 b,doll_121.12 b,doll_121.12 b,doll_57.43 billion,doll_121.12 b,121120000000.0
£77.35 billion,₹44.4 million,doll_72.16 b,doll_5.48 b,doll_119.80 b,doll_119.80 b,doll_57.45 billion,doll_119.80 b,119800000000.0
doll_102.98 billion,₹37.8 million,doll_72.31 b,doll_5.29 b,doll_119.20 b,doll_119.20 b,usdoll_57.62 billion,doll_119.20 b,119200000000.0
¥12.711 trillion,€235.5 million,doll_73.12 b,doll_5.28 b,doll_117.84 b,doll_117.84 b,usdoll_49.11 billion,doll_117.84 b,117840000000.0
sr390.12 billion,€238.1 million,doll_73.25 b,doll_5.12 b,doll_115.98 b,doll_115.98 b,doll_49.23 billion,doll_115.98 b,115980000000.0
cn¥664.45 billion,₹52.5 million,doll_73.33 b,doll_5.06 b,doll_115.68 b,doll_115.68 b,doll_49.32 billion,doll_115.68 b,115680000000.0
doll_104.97 billion,₹55.7 million,doll_56.17 b,doll_4.92 b,doll_115.58 b,doll_115.58 b,doll_49.42 billion,doll_115.58 b,115580000000.0
doll_105.07 billion,₪3.0 million,doll_56.38 b,doll_4.82 b,doll_115.11 b,doll_115.11 b,doll_49.66 billion,doll_115.11 b,115110000000.0
sr399.01 billion,₪3.1 million,doll_56.48 b,doll_4.79 b,doll_114.66 b,doll_114.66 b,usdoll_49.83 billion,doll_114.66 b,114660000000.0
doll_106.77 billion,₪3.0 million,doll_56.55 b,doll_4.79 b,doll_114.28 b,doll_114.28 b,doll_49.91 billion,doll_114.28 b,114280000000.0
doll_106.89 billion,₹70.1 million,doll_56.77 b,doll_4.59 b,doll_113.20 b,doll_113.20 b,usdoll_50.02 billion,doll_113.20 b,113200000000.0
doll_107.99 billion,₹78.3 million,doll_56.89 b,doll_4.52 b,doll_112.71 b,doll_112.71 b,doll_50.18 billion,doll_112.71 b,112710000000.0
rdoll_503.13 billion,₹77.3 million,doll_56.94 b,doll_4.48 b,doll_110.79 b,doll_110.79 b,usdoll_50.19 billion,doll_110.79 b,110790000000.0
doll_108.19 billion,"₪775,126",doll_57.09 b,doll_4.44 b,,,doll_50.29 billion,doll_110.65 b,110650000000.0
€98.32 billion,₪2.6 million,doll_57.18 b,doll_4.33 b,doll_110.46 b,doll_110.46 b,usdoll_50.46 billion,doll_110.46 b,110460000000.0
doll_109.56 billion,₹37.4 million,doll_57.20 b,doll_4.33 b,doll_109.98 b,doll_109.98 b,usdoll_50.75 billion,doll_109.98 b,109980000000.0
£83.87 billion,₹83.1 million,doll_57.23 b,doll_4.31 b,doll_109.56 b,doll_109.56 b,usdoll_50.76 billion,doll_109.56 b,109560000000.0
doll_110.46 billion,₹83.3 million,doll_57.40 b,doll_4.31 b,doll_108.63 b,doll_108.63 b,doll_50.95 billion,doll_108.63 b,108630000000.0
€95.41 billion,₹80.1 million,doll_57.43 b,doll_4.30 b,doll_108.19 b,doll_108.19 b,doll_51.03 billion,doll_108.19 b,108190000000.0
adoll_147.72 billion,₹39.1 million,doll_57.45 b,doll_4.25 b,doll_107.99 b,doll_107.99 b,doll_43.90 billion,doll_107.99 b,107990000000.0
doll_112.71 billion,₹47.2 million,doll_57.62 b,"(jan. 1, 2022)",doll_107.99 b,doll_107.99 b,usdoll_43.93 billion,doll_107.99 b,107990000000.0
¥13.868 trillion,₹52.9 million,doll_57.63 b,doll_4.21 b,doll_106.89 b,doll_106.89 b,usdoll_43.98 billion,doll_106.89 b,106890000000.0
hkdoll_895.27 billion,₹45.0 million,doll_57.75 b,doll_4.20 b,doll_106.77 b,doll_106.77 b,usdoll_44.01 billion,doll_106.77 b,106770000000.0
€103.77 billion,not found,doll_57.82 b,doll_4.13 b,doll_106.37 b,doll_106.37 b,usdoll_44.06 billion,doll_106.37 b,106370000000.0
doll_115.11 billion,₹54.3 million,doll_58.36 b,doll_4.11 b,doll_105.07 b,doll_105.07 b,doll_44.11 billion,doll_105.07 b,105070000000.0
£88.13 billion,not found,doll_58.53 b,doll_4.11 b,doll_104.97 b,doll_104.97 b,doll_44.23 billion,doll_104.97 b,104970000000.0
doll_115.68 billion,₹60.1 million,doll_58.70 b,doll_4.04 b,doll_104.42 b,doll_104.42 b,doll_44.32 billion,doll_104.42 b,104420000000.0
doll_115.98 billion,not found,doll_59.01 b,doll_4.04 b,doll_104.00 b,doll_104.00 b,doll_44.32 billion,doll_104.00 b,104000000000.0
£89.86 billion,₹62.5 million,doll_59.26 b,doll_4.04 b,doll_103.75 b,doll_103.75 b,doll_44.39 billion,doll_103.75 b,103750000000.0
doll_119.20 billion,not found,doll_59.46 b,doll_4.01 b,doll_102.98 b,doll_102.98 b,doll_44.78 billion,doll_102.98 b,102980000000.0
doll_119.80 billion,not found,doll_59.47 b,doll_3.99 b,doll_101.44 b,doll_101.44 b,usdoll_44.95 billion,doll_101.44 b,101440000000.0
doll_121.12 billion,not found,doll_59.50 b,"(march 13, 2021)",doll_101.41 b,doll_101.41 b,usdoll_44.96 billion,doll_101.41 b,101410000000.0
doll_121.20 billion,not found,doll_59.53 b,doll_3.95 b,doll_100.84 b,doll_100.84 b,usdoll_45.00 billion,doll_100.84 b,100840000000.0
€110.51 billion,not found,doll_59.55 b,doll_3.93 b,doll_100.16 b,doll_100.16 b,usdoll_45.09 billion,doll_100.16 b,100160000000.0
kr1.074 trillion,not found,doll_59.65 b,doll_3.92 b,doll_99.22 b,doll_99.22 b,doll_45.13 billion,doll_99.22 b,99220000000.0
€123.59 billion,"chf30,789",doll_59.66 b,doll_3.87 b,,,doll_39.72 billion,doll_98.79 b,98790000000.0
doll_124.13 billion,"chf12,447",doll_59.67 b,doll_3.76 b,doll_98.57 b,doll_98.57 b,usdoll_39.73 billion,doll_98.57 b,98570000000.0
doll_124.98 billion,cn¥38.34 billion,doll_59.75 b,doll_3.72 b,doll_98.47 b,doll_98.47 b,usdoll_39.73 billion,doll_98.47 b,98470000000.0
hkdoll_980.48 billion,cn¥38.82 billion,doll_59.76 b,doll_3.71 b,doll_98.37 b,doll_98.37 b,doll_39.76 billion,doll_98.37 b,98370000000.0
£95.96 billion,€151.7 million,doll_59.80 b,doll_3.70 b,doll_97.41 b,doll_97.41 b,doll_39.96 billion,doll_97.41 b,97410000000.0
¥15.514 trillion,€151.7 million,doll_59.95 b,doll_3.66 b,doll_97.31 b,doll_97.31 b,doll_39.97 billion,doll_97.31 b,97310000000.0
¥9.754 trillion,€157.4 million,doll_60.06 b,doll_3.63 b,doll_96.98 b,doll_96.98 b,usdoll_39.99 billion,doll_96.98 b,96980000000.0
doll_80.16 billion,€157.6 million,doll_60.19 b,doll_3.58 b,doll_96.24 b,doll_96.24 b,doll_40.13 billion,doll_96.24 b,96240000000.0
