link,name,industry,founded,country,ceo,employees,revenue
https://www.forbes.com/companies/anz,ANZ,Banking and Financial Services,1835,Australia,Shayne Cary Elliott,"40,211",$18.4B
https://www.forbes.com/companies/fubon-financial,Fubon Financial,Insurance,2001,Taiwan,Yue Han,"45,174",$33.2B
https://www.forbes.com/companies/china-telecom,China Telecom,Telecommunications Services,2002,China,Rui Wen Ke,"278,922",$68.2B
https://www.forbes.com/companies/hca-healthcare,HCA Healthcare,Health Care Equipment & Services,1968,United States,Samuel N. Hazen,"284,000",$59.7B
https://www.forbes.com/companies/dow,Dow,"Construction, Oil & Gas Operations, Mining and Chemicals",1897,United States,Jim Fitterling,"35,700",$58.4B
https://www.forbes.com/companies/telefonica,Telefónica,Telecommunications Services,1924,Spain,José María Álvarez-Pallete López,"104,150",$46.4B
https://www.forbes.com/companies/china-vanke,China Vanke,Construction,1984,China,Jiu Sheng Zhu,"139,494",$71.4B
https://www.forbes.com/companies/national-australia-bank,NAB - National Australia Bank,Banking,1981,Australia,Ross Maxwell McEwan,"33,275",$15.8B
https://www.forbes.com/companies/cathay-financial,Cathay Financial,Insurance,1975,Taiwan,Chang Li,"57,100",$34.5B
https://www.forbes.com/companies/qualcomm,Qualcomm,Semiconductors,1985,United States,Cristiano R. Amon,"45,000",$36B
https://www.forbes.com/companies/loreal,L'Oréal,Packaged Goods,1909,France,Nicolas Hieronimus,"85,252",$38.2B
https://www.forbes.com/companies/allstate,Allstate,Insurance,1931,Canada,Thomas Joseph Wilson II,"54,700",$50.6B
https://www.forbes.com/companies/saic-motor,SAIC Motor,Consumer Durables,1955,China,Not found,"204,815",$121.4B
https://www.forbes.com/companies/icici-bank,ICICI Bank,Banking,1994,India,Sandeep Bakhshi,"98,750",$21.9B
https://www.forbes.com/companies/china-everbright-bank,China Everbright Bank,Banking,1992,China,Haijiao Ge,"46,175",$42.4B
https://www.forbes.com/companies/gilead-sciences,Gilead Sciences,Drugs & Biotechnology,1987,United States,Daniel O'Day,"14,000",$27.4B
https://www.forbes.com/companies/china-pacific-insurance,China Pacific Insurance,Insurance,1991,China,Candy Yuen,"107,000",$68.1B
https://www.forbes.com/companies/nvidia,NVIDIA,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1993,United States,Jensen Huang,"22,473",$26.9B
https://www.forbes.com/companies/amgen,Amgen,Drugs & Biotechnology,1980,United States,Robert A. Bradway,"24,200",$26B
https://www.forbes.com/companies/union-pacific,Union Pacific,Transportation,1862,United States,Lance M. Fritz,"29,905",$22.7B
