name,code,rank,marketcap,country,sharePrice,change(1day),change(1year),categories
Geely,0175.HK,999,$16.30 B,China,$1.62,3.95%,-45.64%,"['Automakers', 'Manufacturing']"
Bolloré,BOP.F,998,$16.31 B,France,$5.53,-1.13%,4.34%,[]
Geberit,GEBN.SW,997,$16.31 B,Switzerland,$472.54,-1.48%,-40.76%,[]
Etsy,ETSY,995,$16.35 B,USA,$130.13,-3.61%,-45.20%,"['ECommerce', 'Internet', 'Tech']"
Hydro One,H.TO,996,$16.32 B,Canada,$27.27,-0.77%,10.90%,"['Electricity', 'Utilitycompanies', 'Energy']"
Avangrid,AGR,994,$16.36 B,USA,$42.32,-1.33%,-17.04%,[]
Live Nation,LYV,993,$16.42 B,USA,$71.14,0.32%,-34.51%,['Entertainment']
Itaúsa,ITSA3.SA,992,$16.43 B,Brazil,$1.73,0.67%,-1.70%,[]
W. P. Carey,WPC,991,$16.44 B,USA,$79.06,-0.74%,-0.28%,[]
Zscaler,ZS,989,$16.47 B,USA,$114.24,-1.49%,-61.63%,"['Software', 'Tech', 'ITsecurity']"
Ball Corporation,BALL,988,$16.47 B,USA,$52.49,-4.22%,-43.83%,['Packaging']
Cincinnati Financial,CINF,990,$16.47 B,USA,$104.80,-2.00%,-11.01%,['Insurance']
Check Point Software,CHKP,987,$16.49 B,Israel,$131.52,0.01%,18.63%,"['Software', 'Tech', 'ITsecurity']"
Power Corporation of Canada,POW.TO,986,$16.49 B,Canada,$24.41,-0.95%,-26.28%,[]
First Solar,FSLR,985,$16.49 B,USA,$154.74,-1.73%,52.91%,[]
Rocket Companies,RKT,984,$16.51 B,USA,$8.31,0.61%,-49.05%,"['Realestate', 'Financialservices']"
Atmos Energy,ATO,983,$16.54 B,USA,$117.41,-0.03%,23.75%,['Utilitycompanies']
Novozymes,NZYM.VI,981,$16.57 B,Denmark,$60.49,0.14%,-21.46%,[]
Tata Steel,TATASTEEL.NS,980,$16.57 B,India,$1.36,0.58%,-91.08%,"['Steelproducers', 'Steelindustry']"
PKN Orlen,PKY1.F,982,$16.56 B,Poland,$14.27,-0.77%,-20.46%,"['OilGas', 'Energy']"
Swedish Match,SWMA.ST,977,$16.64 B,Sweden,$10.94,0.13%,49.45%,['Tobacco']
J.M. Smucker Company,SJM,979,$16.60 B,USA,$155.68,1.39%,19.55%,['Food']
Magna International,MGA,976,$16.65 B,Canada,$58.04,-1.19%,-28.28%,['AutomotiveSuppliers']
Ems-Chemie,EMSN.SW,1014,$15.97 B,Switzerland,$683.10,-1.15%,-31.24%,['Chemicals']
Align Technology,ALGN,1077,$14.63 B,USA,$187.33,0.69%,-71.90%,"['Medicaldevices', 'Tech']"
Spotify,SPOT,1078,$14.62 B,Sweden,$75.72,0.75%,-68.25%,"['Internet', 'Tech', 'Entertainment']"
Essex Property Trust,ESS,1099,$14.26 B,USA,$212.90,0.86%,-38.28%,"['Realestate', 'Investment']"
Enel Américas,ENELAM.SN,1100,$14.24 B,Chile,$0.13,0.01%,8.33%,"['Utilitycompanies', 'Electricity', 'Energy']"
PTC,PTC,1097,$14.28 B,USA,$121.64,0.31%,1.20%,"['Software', 'Professionalservices', 'Tech']"
ASE Group,ASX,1098,$14.27 B,Taiwan,$6.66,0.00%,-17.78%,"['Semiconductors', 'Tech']"
Bunge,BG,1096,$14.30 B,USA,$95.51,0.04%,8.81%,['Food']
Fortum,FORTUM.HE,1095,$14.32 B,Finland,$16.13,-1.19%,-45.82%,"['Energy', 'Electricity']"
Sodexo,SW.PA,1094,$14.32 B,France,$98.11,0.80%,12.80%,['Food']
Inpex,1605.T,1093,$14.34 B,Japan,$10.56,-0.82%,23.08%,"['OilGas', 'Energy']"
United Airlines Holdings,UAL,1091,$14.40 B,USA,$44.06,-4.05%,1.50%,"['Airlines', 'Travel', 'Transportation']"
Arca Continental,AC.MX,1090,$14.41 B,Mexico,$8.26,-1.39%,34.09%,['Beverages']
Tatneft,TATN.ME,1092,$14.35 B,Russia,$6.41,0.49%,-4.47%,"['Energy', 'OilGas']"
Royal Caribbean,RCL,1089,$14.42 B,USA,$56.54,-1.89%,-21.08%,"['Travel', 'CruiseLines']"
Lucid Motors,LCID,1088,$14.46 B,USA,$8.61,-0.46%,-80.38%,"['Automakers', 'ElectricVehicles']"
Grasim Industries,GRASIM.NS,1087,$14.48 B,India,$22.00,0.24%,-1.61%,[]
Shinhan Financial Group,SHG,1086,$14.48 B,South Korea,$28.24,-1.33%,-11.39%,[]
UCB,UCB.VI,1085,$14.48 B,Belgium,$76.27,0.00%,-31.71%,[]
AerCap,AER,1084,$14.50 B,Ireland,$58.99,-1.68%,-1.45%,['Aircraftleasing']
Hyundai Mobis,012330.KS,1083,$14.50 B,South Korea,$156.17,-0.72%,-24.13%,[]
CTBC Financial Holding,2891.TW,1080,$14.57 B,Taiwan,$0.74,-1.08%,-21.28%,"['Financialservices', 'Banks']"
AspenTech,AZPN,1079,$14.58 B,USA,$226.06,2.67%,52.78%,"['Software', 'Tech']"
Cloudflare,NET,1081,$14.54 B,USA,$44.27,1.54%,-71.67%,"['Internet', 'Tech', 'ITsecurity', 'Software']"
Surgutneftegas,SNGS.ME,1082,$14.53 B,Russia,$0.41,-0.54%,-22.64%,"['OilGas', 'Energy']"
China Steel,2002A.TW,1076,$14.64 B,Taiwan,$1.51,0.00%,-19.68%,"['Steelproducers', 'Steelindustry']"
Avantor,AVTR,1075,$14.70 B,USA,$21.81,0.93%,-44.80%,['Chemicals']
Ambuja Cements,AMBUJACEM.NS,1105,$14.17 B,India,$7.13,0.99%,44.33%,"['Cement', 'Buildingmaterials']"
Trimble,TRMB,1104,$14.17 B,USA,$57.48,-1.81%,-34.38%,"['Software', 'Tech']"
Palantir,PLTR,1074,$14.70 B,USA,$7.07,1.14%,-63.67%,"['Software', 'Tech']"
HubSpot,HUBS,1153,$13.39 B,USA,$275.75,2.03%,-63.77%,"['Software', 'Tech']"
Liberty Broadband,LBRDA,1200,$12.80 B,USA,$85.72,1.04%,-44.77%,[]
Chesapeake Energy,CHK,1199,$12.84 B,USA,$95.87,2.29%,51.74%,"['OilGas', 'Energy']"
Siemens Gamesa,GCTAF,1198,$12.84 B,Spain,$18.53,1.28%,-24.95%,[]
Britannia Industries,BRITANNIA.NS,1197,$12.84 B,India,$53.34,0.03%,15.76%,[]
International Paper,IP,1196,$12.85 B,USA,$36.15,-0.74%,-22.51%,['Pulpandpaper']
Tyler Technologies,TYL,1195,$12.85 B,USA,$308.83,-1.67%,-41.07%,"['Software', 'Tech']"
Capitec Bank,CPI.JO,1194,$12.86 B,South Africa,$110.54,0.26%,1.04%,"['Banks', 'Financialservices']"
Bangkok Dusit Medical Services (BDMS),BDMS.BK,1192,$12.90 B,Thailand,$0.81,-0.88%,20.90%,"['Healthcare', 'MedicalCareFacilities']"
TDK,6762.T,1191,$12.91 B,Japan,$34.08,-1.37%,-13.22%,['Electronics']
Telenor,TEL.OL,1193,$12.90 B,Norway,$9.22,-0.35%,-37.91%,['Telecommunication']
Novolipetsk Steel,NLMK.ME,1189,$12.94 B,Russia,$2.16,-0.27%,-22.86%,"['Steelproducers', 'Steelindustry']"
CK Infrastructure,1038.HK,1188,$12.94 B,Hong Kong,$5.14,-0.37%,-12.59%,['Infrastructure']
Burlington Stores,BURL,1190,$12.94 B,USA,$198.50,-0.58%,-32.33%,"['Retail', 'Clothing']"
Corebridge Financial,CRBG,1186,$12.96 B,USA,$20.10,-2.71%,,"['AssetManagement', 'Financialservices', 'Insurance', 'Investment']"
Chandra Asri Petrochemical,TPIA.JK,1187,$12.96 B,Indonesia,$0.15,-0.85%,-68.75%,"['OilGas', 'Energy']"
Carlisle Companies,CSL,1185,$12.97 B,USA,$250.96,-0.43%,3.80%,[]
Secom,9735.T,1182,$13.03 B,Japan,$60.35,-0.06%,-10.86%,[]
Dabur,DABUR.NS,1184,$12.99 B,India,$7.34,0.36%,-3.29%,['Consumergoods']
Zebra Technologies,ZBRA,1181,$13.03 B,USA,$252.54,-0.66%,-58.29%,"['Software', 'Electronics', 'Tech', 'TechHardware']"
Grupo Elektra,XEKT.MC,1183,$13.00 B,Mexico,$51.49,-1.21%,-22.02%,['Retail']
Polyus,PLZL.ME,1178,$13.04 B,Russia,$95.09,-14.24%,-48.58%,[]
Everest Re,RE,1180,$13.03 B,BM,$332.95,-1.13%,22.91%,['Insurance']
QBE Insurance,QBE.AX,1179,$13.04 B,Australia,$8.79,-1.44%,4.64%,['Insurance']
AECOM,ACM,1272,$11.77 B,USA,$84.95,-0.34%,16.56%,['Engineering']
Paramount Global,PARA,1271,$11.78 B,USA,$18.01,-0.77%,-42.61%,"['MediaPress', 'Entertainment']"
Albertsons,ACI,1298,$11.47 B,USA,$21.45,1.80%,-40.15%,['Retail']
Croda International,CRDA.L,1300,$11.44 B,UK,$81.73,-1.73%,-38.75%,['Chemicals']
The Toro Company,TTC,1296,$11.48 B,USA,$110.19,0.37%,7.43%,[]
ZoomInfo,ZI,1297,$11.47 B,USA,$28.33,1.29%,-54.87%,"['Software', 'Tech']"
E.SUN Bank,2884.TW,1295,$11.48 B,Taiwan,$0.80,1.02%,-20.79%,"['Financialservices', 'Banks']"
Continental,CON.DE,1299,$11.44 B,Germany,$57.23,-0.87%,-46.84%,"['Tires', 'DAX']"
Credicorp,BAP,1294,$11.50 B,Bermuda,$144.60,-2.49%,24.38%,"['Financialservices', 'Banks']"
Mineral Resources,MIN.AX,1293,$11.50 B,Australia,$59.10,-2.53%,88.52%,['Mining']
Molson Coors,TAP,1292,$11.53 B,USA,$53.05,-0.39%,13.62%,"['Alcoholicbeverages', 'Beverages']"
Carnival,CCL,1290,$11.54 B,USA,$8.89,-4.41%,-51.95%,"['Travel', 'CruiseLines']"
GBL,GBLB.VI,1289,$11.55 B,Belgium,$81.02,0.00%,-27.33%,[]
Amundi,AMUN.PA,1291,$11.54 B,France,$56.59,-0.28%,-30.84%,"['AssetManagement', 'Investment']"
GoDaddy,GDDY,1286,$11.58 B,USA,$74.38,0.68%,2.16%,"['Internet', 'Tech']"
Carl Zeiss Meditec,AFXA.F,1288,$11.56 B,Germany,$129.26,1.65%,-29.30%,[]
New China Life Insurance,601336.SS,1287,$11.57 B,China,$4.34,0.50%,-29.55%,['Insurance']
Globe Life,GL,1285,$11.58 B,USA,$119.13,-0.07%,29.71%,['Insurance']
Orient Overseas Container Line,0316.HK,1283,$11.60 B,Hong Kong,$17.57,2.09%,-14.92%,"['Transportation', 'Containershipping', 'Maritimetransportation']"
SEGRO,SGRO.L,1284,$11.59 B,UK,$9.58,-2.98%,-48.74%,"['REITs', 'Realestate', 'Investment']"
WiseTech Global,WTC.AX,1281,$11.63 B,Australia,$35.58,-0.60%,-2.04%,"['Software', 'Tech']"
Talanx,TLX.DE,1282,$11.63 B,Germany,$45.96,0.37%,-1.12%,"['Financialservices', 'Insurance']"
Bill.com,BILL,1278,$11.68 B,USA,$110.56,3.65%,-56.60%,"['Internet', 'Financialservices']"
Hansoh Pharma,3692.HK,1280,$11.65 B,China,$1.97,2.41%,-9.22%,['Pharmaceuticals']
Neurocrine Biosciences,NBIX,1279,$11.68 B,USA,$121.51,1.08%,47.73%,"['Pharmaceuticals', 'Biotech']"
Graco,GGG,1303,$11.42 B,USA,$67.78,0.52%,-12.79%,[]
CarMax,KMX,1400,$10.28 B,USA,$65.10,-0.75%,-56.57%,"['Usedcarretailer', 'Carretail']"
HeidelbergCement,HEI.DE,1399,$10.28 B,Germany,$53.28,-0.47%,-23.67%,"['Cement', 'Buildingmaterials', 'DAX']"
Saputo,SAP.TO,1397,$10.30 B,Canada,$24.59,0.63%,9.63%,"['Food', 'Dairycompanies']"
Entegris,ENTG,1395,$10.34 B,USA,$69.38,-0.32%,-54.71%,"['Semiconductors', 'Tech']"
Adani Wilmar,AWL.NS,1398,$10.29 B,India,$7.92,0.15%,,['Food']
Impala Platinum,IMP.JO,1394,$10.34 B,South Africa,$12.21,0.36%,-6.51%,['Mining']
MarketAxess,MKTX,1393,$10.35 B,USA,$275.14,-3.48%,-27.72%,['Financialservices']
InterContinental Hotels Group,IHG,1391,$10.37 B,UK,$58.88,0.12%,-6.66%,"['Hotels', 'Travel']"
Magellan Midstream Partners,MMP,1396,$10.31 B,USA,$50.34,-0.94%,10.03%,"['OilGas', 'Energy']"
Swire Pacific,0019.HK,1392,$10.37 B,Hong Kong,$7.83,2.09%,38.10%,['Investment']
Juniper Networks,JNPR,1390,$10.37 B,USA,$31.97,-0.56%,-2.11%,"['Networkinghardware', 'Telecommunicationsequipment', 'Tech', 'TechHardware']"
SK Innovation,096775.KS,1387,$10.41 B,South Korea,$75.28,-1.68%,-28.33%,"['OilGas', 'Energy']"
Aramark,ARMK,1388,$10.41 B,USA,$40.26,-1.95%,14.18%,['Food']
Boliden,BOL.ST,1389,$10.39 B,Sweden,$38.01,2.23%,3.82%,['Mining']
Evergreen Marine,2603.TW,1386,$10.43 B,Taiwan,$4.93,-0.33%,-5.37%,"['Transportation', 'Maritimetransportation', 'Containershipping']"
Sarepta Therapeutics,SRPT,1383,$10.51 B,USA,$119.76,-0.28%,40.35%,['Pharmaceuticals']
Emera,EMA.TO,1385,$10.44 B,Canada,$38.92,0.30%,-17.44%,[]
Barry Callebaut,BARN.SW,1384,$10.51 B,Switzerland,"$1,918",0.78%,-19.33%,['Food']
AutoNation,AN,1382,$10.51 B,USA,$119.35,-0.54%,-2.88%,"['Usedcarretailer', 'Carretail']"
Kikkoman,2801.T,1380,$10.52 B,Japan,$55.01,0.80%,-29.39%,['Food']
Pan Pacific,7532.T,1381,$10.52 B,Japan,$17.65,1.00%,7.03%,"['Hotels', 'Travel']"
Disco Corp.,6146.T,1379,$10.53 B,Japan,$291.88,0.25%,0.35%,"['Semiconductors', 'Tech']"
News Corp,NWS,1378,$10.53 B,USA,$18.47,-1.39%,-16.95%,['MediaPress']
Carlyle Group,CG,1376,$10.54 B,USA,$29.00,-3.81%,-46.92%,[]
(HLBank) Hong Leong Bank,5819.KL,1470,$9.70 B,Malaysia,$4.65,0.49%,9.41%,"['Banks', 'Financialservices']"
Solvay,SOLB.VI,1406,$10.22 B,Belgium,$98.65,0.00%,-16.00%,[]
Renault,RNO.PA,1377,$10.54 B,France,$36.07,-0.52%,6.87%,"['Automakers', 'CAC40', 'Manufacturing']"
CubeSmart,CUBE,1500,$9.51 B,USA,$42.09,0.65%,-23.43%,[]
Jazz Pharmaceuticals,JAZZ,1499,$9.51 B,Ireland,$151.10,0.78%,22.06%,"['Pharmaceuticals', 'Biotech']"
Lattice Semiconductor,LSCC,1498,$9.51 B,USA,$69.45,0.84%,-12.55%,"['Semiconductors', 'Tech', 'TechHardware', 'Manufacturing']"
LG Corp,003550.KS,1497,$9.53 B,South Korea,$60.35,1.40%,-13.00%,['Electronics']
Vivendi,VIV.PA,1496,$9.55 B,France,$9.33,-0.56%,-27.51%,['CAC40']
Eiffage,FGR.PA,1495,$9.56 B,France,$100.29,-0.06%,3.39%,['Construction']
Red Eléctrica,RED.MC,1494,$9.56 B,Spain,$17.74,-2.03%,-16.36%,"['Energy', 'Electricity', 'Infrastructure']"
Futu Holdings,FUTU,1493,$9.56 B,Hong Kong,$65.08,-3.18%,49.06%,"['Financialservices', 'Tech']"
GFL Environmental,GFL,1492,$9.57 B,Canada,$27.89,-0.68%,-26.61%,['WasteRecycling']
Gjensidige Forsikring,XGJ.F,1491,$9.58 B,Norway,$18.86,-1.37%,-17.39%,['Insurance']
Sumitomo Metal Mining,5713.T,1489,$9.58 B,Japan,$34.90,-1.12%,-10.83%,['Mining']
Allegion,ALLE,1490,$9.58 B,Ireland,$109.15,-0.02%,-17.15%,[]
Svenska Cellulosa Aktiebolaget (SCA),SCA-B.ST,1488,$9.60 B,Sweden,$13.46,-0.53%,-20.59%,['Pulpandpaper']
ESR,1821.HK,1487,$9.60 B,Hong Kong,$2.17,1.08%,-34.44%,"['Realestate', 'Investment']"
Ceridian,CDAY,1486,$9.62 B,USA,$62.67,-0.13%,-41.35%,"['Software', 'Tech']"
Zendesk,ZEN,1485,$9.62 B,USA,$77.48,0.03%,-24.14%,"['Software', 'Tech']"
Isuzu,7202.T,1483,$9.62 B,Japan,$12.42,-0.06%,-9.08%,['Automakers']
Wynn Resorts,WYNN,1484,$9.62 B,USA,$84.96,-0.53%,-1.71%,"['Hotels', 'Gambling', 'Entertainment', 'Travel']"
Lufthansa,LHA.DE,1482,$9.62 B,Germany,$8.05,0.34%,16.16%,"['Airlines', 'Travel', 'Transportation']"
BorgWarner,BWA,1480,$9.64 B,USA,$41.18,0.44%,-9.59%,['AutomotiveSuppliers']
Builders FirstSource,BLDR,1481,$9.63 B,USA,$65.47,5.29%,-13.86%,['Buildingmaterials']
XPeng,XPEV,1479,$9.64 B,China,$11.00,-5.90%,-76.79%,"['Automakers', 'ElectricVehicles', 'Manufacturing', 'Autonomousdriving']"
Full Truck Alliance,YMM,1478,$9.64 B,China,$8.70,0.00%,-24.74%,['Transportation']
Keppel,BN4.SI,1477,$9.64 B,Singapore,$5.51,0.54%,45.77%,[]
Kasikornbank,KBANK.BK,1475,$9.67 B,Thailand,$4.08,-0.35%,0.49%,"['Banks', 'Financialservices']"
Tingyi (master kang),0322.HK,1476,$9.65 B,China,$1.71,1.83%,-12.76%,['Food']
Alstom,ALO.PA,1511,$9.42 B,France,$24.73,-1.26%,-32.43%,"['Manufacturing', 'CAC40']"
Penske Automotive,PAG,1560,$8.95 B,USA,$125.57,-0.36%,21.18%,[]
Vistra,VST,1512,$9.40 B,USA,$23.64,-0.34%,12.95%,"['Energy', 'Electricity']"
Korea Zinc,010130.KS,1600,$8.54 B,South Korea,$457.89,-0.17%,9.43%,[]
Schroders,SDR.L,1561,$8.94 B,UK,$5.49,-0.66%,-30.42%,"['AssetManagement', 'Investment']"
Owens Corning,OC,1599,$8.55 B,USA,$90.60,2.10%,-4.08%,['Buildingmaterials']
Comerica,CMA,1598,$8.56 B,USA,$65.41,-0.37%,-23.55%,[]
SK Group,034730.KS,1597,$8.56 B,South Korea,$154.65,0.00%,-31.36%,[]
Pure Storage,PSTG,1596,$8.57 B,USA,$28.68,-1.17%,-13.93%,['Tech']
Deutsche Wohnen,DWNI.DE,1593,$8.59 B,Germany,$21.65,1.73%,-52.50%,['Realestate']
SRF Limited,SRF.NS,1595,$8.57 B,India,$28.94,0.48%,4.44%,[]
IMCD,IMCD.AS,1594,$8.59 B,Netherlands,$150.69,-0.14%,-35.13%,[]
Mitsui O.S.K. Lines,9104.T,1592,$8.62 B,Japan,$23.85,0.15%,-66.80%,"['Transportation', 'Containershipping', 'Maritimetransportation']"
Ampol,ALD.AX,1590,$8.64 B,Australia,$18.02,-1.33%,-11.93%,"['Energy', 'OilGas']"
James Hardie Industries,JHX,1591,$8.63 B,Ireland,$18.91,-1.61%,-53.88%,['Buildingmaterials']
United Utilities,UU.L,1588,$8.67 B,UK,$12.59,-0.43%,-14.24%,['Utilitycompanies']
Shimadzu,7701.T,1589,$8.65 B,Japan,$29.37,0.25%,-32.54%,"['ScientificTechnicalInstruments', 'Medicalequipment']"
Umicore,UMI.VI,1587,$8.67 B,Belgium,$36.13,0.00%,-28.98%,[]
Advance Auto Parts,AAP,1586,$8.68 B,USA,$146.65,0.77%,-37.58%,[]
OCI,OCI.AS,1584,$8.72 B,Netherlands,$38.80,1.60%,40.43%,"['Chemicals', 'Fertilizercompanies']"
Yaskawa,6506.T,1585,$8.69 B,Japan,$33.24,-0.22%,-32.05%,['Electronics']
Tata Power,TATAPOWER.NS,1583,$8.73 B,India,$2.73,-0.35%,-9.00%,"['Electricity', 'Utilitycompanies', 'Energy']"
QNB Finansbank,QNBFB.IS,1582,$8.75 B,Turkey,$2.61,-1.62%,-38.00%,['Banks']
Japan Airlines,9201.T,1580,$8.77 B,Japan,$20.08,0.04%,4.37%,"['Airlines', 'Travel', 'Transportation']"
Taiwan Mobile,3045.TW,1581,$8.77 B,Taiwan,$3.11,-0.10%,-12.64%,['Telecommunication']
Americold,COLD,1699,$7.80 B,USA,$28.96,0.00%,-12.22%,"['Realestate', 'Investment']"
Bangkok Bank,BBL.BK,1698,$7.82 B,Thailand,$4.10,0.00%,18.16%,"['Banks', 'Financialservices']"
AngloGold Ashanti,AU,1697,$7.82 B,South Africa,$18.71,0.86%,-5.79%,"['Mining', 'Goldmining']"
Sinopac Financial Holdings,2890.TW,1696,$7.84 B,Taiwan,$0.59,0.28%,5.36%,"['Financialservices', 'Banks']"
Halozyme Therapeutics,HALO,1700,$7.80 B,USA,$57.74,2.41%,78.49%,"['Pharmaceuticals', 'Biotech']"
Indutrade,INDT.ST,1695,$7.84 B,Sweden,$20.72,-0.37%,-27.12%,['Manufacturing']
Dino Polska,DNP.WA,1694,$7.85 B,Poland,$80.16,1.68%,-3.02%,"['Retail', 'SupermarketChains']"
Genting Singapore,G13.SI,1693,$7.87 B,Singapore,$0.65,-0.56%,14.04%,[]
Avis Budget Group,CAR,1692,$7.87 B,USA,$189.94,-2.13%,-24.88%,['Carrental']
Hamamatsu,6965.T,1691,$7.89 B,Japan,$51.00,0.00%,-19.75%,[]
OGE Energy,OGE,1690,$7.90 B,USA,$39.49,-1.03%,9.54%,[]
Sabesp,SBS,1688,$7.91 B,Brazil,$11.02,2.04%,62.06%,[]
US Foods,USFD,1686,$7.92 B,USA,$35.23,-0.82%,3.74%,['Food']
Novocure,NVCR,1689,$7.90 B,Jersey,$75.35,2.54%,-16.22%,['Biotech']
Floor & Decor,FND,1687,$7.92 B,USA,$74.65,3.62%,-43.15%,[]
JD Sports Fashion,JD.L,1685,$7.92 B,UK,$1.51,-1.39%,-49.83%,"['Retail', 'Clothing', 'Sportsgoods']"
Tōkyō Gas,9531.T,1683,$7.93 B,Japan,$18.32,0.36%,3.15%,"['OilGas', 'Energy']"
Monotaro,3064.T,1682,$7.93 B,Japan,$15.98,-1.93%,-20.10%,"['ECommerce', 'Internet', 'Tech']"
PKO Bank Polski,P9O.F,1679,$7.96 B,Poland,$6.37,-0.92%,-42.30%,"['Banks', 'Financialservices']"
Regal Rexnord,RRX,1680,$7.95 B,USA,$120.25,0.07%,-26.81%,['Electronics']
Sibanye-Stillwater,SBSW,1678,$7.96 B,South Africa,$10.97,1.29%,-13.76%,"['Mining', 'Goldmining']"
Banque Cantonale Vaudoise,BCVN.SW,1681,$7.94 B,Switzerland,$92.48,-0.80%,18.22%,"['Banks', 'Financialservices']"
Punjab National Bank,PNB.NS,1712,$7.71 B,India,$0.70,4.06%,37.25%,"['Banks', 'Financialservices']"
Advanced Drainage Systems,WMS,1776,$7.35 B,USA,$88.77,-1.45%,-33.78%,[]
Chemed,CHE,1711,$7.71 B,USA,$518.64,-0.21%,5.23%,['Healthcare']
Singapore Exchange,S68.SI,1800,$7.21 B,Singapore,$6.74,0.77%,-2.60%,"['Stockexchanges', 'Financialservices', 'StockCryptoexchanges']"
Unimicron,3037.TW,1799,$7.21 B,Taiwan,$4.88,-0.33%,-37.68%,"['Electronics', 'Tech', 'TechHardware']"
S-OIL,010950.KS,1796,$7.22 B,South Korea,$62.70,-0.96%,-18.30%,"['OilGas', 'Energy']"
OTP Bank,OTP.F,1797,$7.21 B,Hungary,$25.13,-1.97%,-52.58%,"['Banks', 'Financialservices']"
Aisin Seiki,7259.T,1795,$7.22 B,Japan,$26.81,0.69%,-30.40%,['AutomotiveSuppliers']
Nestle Malaysia,4707.KL,1798,$7.21 B,Malaysia,$30.76,0.15%,-2.75%,['Food']
Israel Discount Bank,ISDAY,1793,$7.24 B,Israel,$57.51,0.00%,-4.15%,[]
Ralph Lauren,RL,1794,$7.24 B,USA,$109.78,-0.94%,-11.84%,[]
Erdemir,EREGL.IS,1791,$7.25 B,Turkey,$2.14,-2.06%,15.68%,[]
KT Corporation,KT,1790,$7.26 B,South Korea,$14.19,0.21%,9.24%,['Telecommunication']
Donaldson,DCI,1792,$7.25 B,USA,$59.22,-0.02%,2.16%,[]
Taiwan Cement,1101.TW,1787,$7.29 B,Taiwan,$1.08,-0.45%,-37.21%,"['Cement', 'Buildingmaterials']"
Old Republic International,ORI,1788,$7.29 B,USA,$23.96,0.29%,-2.32%,[]
Canadian Utilities,CU.TO,1789,$7.28 B,Canada,$27.08,0.27%,-1.63%,[]
Berger Paints,BERGEPAINT.NS,1785,$7.30 B,India,$7.52,-0.33%,-23.03%,['PaintCoating']
Gecina,GFC.PA,1786,$7.29 B,France,$98.73,-1.52%,-25.87%,[]
Masimo,MASI,1781,$7.32 B,USA,$139.39,0.53%,-50.74%,['Healthcare']
Royal Gold,RGLD,1782,$7.32 B,USA,$111.60,0.84%,10.98%,"['Mining', 'Goldmining', 'SilverMining']"
Hankyu Hanshin Holdings,9042.T,1784,$7.31 B,Japan,$30.36,0.12%,-1.72%,"['Railways', 'Transportation']"
MISC Berhad,3816.KL,1783,$7.32 B,Malaysia,$1.64,0.00%,7.19%,"['Transportation', 'Maritimetransportation']"
Covestro,1COV.F,1780,$7.33 B,Germany,$37.99,-0.66%,-35.64%,"['DAX', 'Chemicals']"
Samsung Electro-Mechanics,009155.KS,1778,$7.34 B,South Korea,$50.94,-2.89%,-38.57%,['Electronics']
Phoenix Group,PHNX.L,1777,$7.34 B,UK,$7.35,-0.33%,-15.03%,['Insurance']
Union Bank of India,UNIONBANK.NS,1779,$7.34 B,India,$1.07,2.02%,72.58%,"['Banks', 'Financialservices']"
CPFL Energia,CPFE3.SA,1775,$7.35 B,Brazil,$6.38,1.68%,33.47%,"['Electricity', 'Utilitycompanies', 'Energy']"
Signature Bank,SBNY,1774,$7.36 B,USA,$116.99,-1.57%,-63.24%,[]
GEA Group,G1A.F,1772,$7.36 B,Germany,$41.36,-0.33%,-21.90%,[]
Pentair,PNR,1769,$7.38 B,UK,$44.91,0.42%,-39.93%,[]
Manhattan Associates,MANH,1773,$7.36 B,USA,$118.06,0.90%,-23.33%,[]
AGC,5201.T,1771,$7.37 B,Japan,$33.28,0.11%,-34.22%,[]
Unibail-Rodamco-Westfield,URW.AS,1770,$7.37 B,France,$52.73,-1.24%,-26.07%,"['Realestate', 'CAC40']"
GAIL,GAIL.NS,1768,$7.38 B,India,$1.12,-0.75%,-36.36%,"['OilGas', 'Utilitycompanies', 'Energy']"
Skanska,SKA-B.ST,1900,$6.67 B,Sweden,$16.02,-0.18%,-35.27%,['Construction']
Getinge,GETI-B.ST,1899,$6.68 B,Sweden,$23.10,0.00%,-46.97%,"['Medicaldevices', 'Medicalequipment']"
Kinsale Capital Group,KNSL,1898,$6.68 B,USA,$289.73,-0.29%,35.02%,[]
Doximity,DOCS,1896,$6.69 B,USA,$34.76,2.87%,-43.85%,"['Internet', 'Tech', 'Healthcare', 'Telehealth']"
Hero MotoCorp,HEROMOTOCO.NS,1897,$6.68 B,India,$33.48,-0.05%,2.54%,"['MotorcycleManufacturers', 'Manufacturing']"
Sensata Technologies,ST,1892,$6.69 B,USA,$43.77,-0.41%,-26.45%,[]
Murphy USA,MUSA,1894,$6.69 B,USA,$296.20,3.83%,55.73%,[]
Atlas Arteria,ALX.AX,1895,$6.69 B,Australia,$4.61,-0.58%,-0.43%,"['Infrastructure', 'TollRoadOperators']"
Amplifon,AMP.MI,1893,$6.69 B,Italy,$28.91,-0.11%,-40.37%,['Medicaldevices']
EastGroup Properties,EGP,1891,$6.69 B,USA,$153.70,1.25%,-27.60%,[]
ASR Nederland,ASRNL.AS,1890,$6.71 B,Netherlands,$44.84,-0.19%,1.22%,[]
First Industrial Realty Trust,FR,1889,$6.72 B,USA,$49.70,0.42%,-21.21%,[]
DaVita,DVA,1886,$6.74 B,USA,$74.83,1.35%,-27.43%,['Healthcare']
New World Development Company,0017.HK,1887,$6.73 B,Hong Kong,$2.68,7.14%,-32.66%,['Realestate']
