name,codice,pricecap,price,country
Apollo Global Management,APO,$41.82 B,$69.71,USA
Sika,SIKA.SW,$41.73 B,$272.54,Switzerland
Mizuho Financial Group,MFG,$41.68 B,$3.29,Japan
Devon Energy,DVN,$41.56 B,$63.59,USA
Banco Bilbao Vizcaya Argentaria,BBVA,$41.54 B,$6.89,Spain
Constellation Brands,STZ,$41.52 B,$225.00,USA
Biogen,BIIB,$41.47 B,$288.04,USA
Arthur J. Gallagher & Co.,AJG,$41.44 B,$196.55,USA
Fidelity National Information Services,FIS,$41.38 B,$69.75,USA
Ørsted,DOGEF,$41.36 B,$98.41,Denmark
Ross Stores,ROST,$41.32 B,$120.01,USA
Dow,DOW,$41.29 B,$58.68,USA
IQVIA,IQV,$41.26 B,$222.14,USA
Microchip Technology,MCHP,$41.20 B,$74.92,USA
Chugai Pharmaceutical,4519.T,$41.06 B,$24.97,Japan
Jiangsu Hengrui Medicine,600276.SS,$41.06 B,$6.44,China
Compass Group,CPG.L,$41.02 B,$23.28,UK
7-Eleven,3382.T,$41.02 B,$46.45,Japan
Muyuan Foods,002714.SZ,$40.83 B,$7.46,China
Parker-Hannifin,PH,$40.76 B,$317.49,USA
Adani Green Energy,ADANIGREEN.NS,$40.74 B,$25.72,India
Sysco,SYY,$40.70 B,$80.33,USA
Lloyds Banking Group,LYG,$40.54 B,$2.41,UK
Nucor,NUE,$40.42 B,$157.56,USA
MSCI,MSCI,$40.39 B,$505.24,USA
Sun Hung Kai Properties,0016.HK,$40.30 B,$13.91,Hong Kong
lululemon athletica,LULU,$40.22 B,$315.47,Canada
Anta Sports,AS7.F,$40.03 B,$14.60,China
Williams Companies,WMB,$39.97 B,$32.81,USA
Lonza,LONN.SW,$39.95 B,$538.50,Switzerland
Honda,HMC,$39.89 B,$23.58,Japan
IDEXX Laboratories,IDXX,$39.67 B,$479.08,USA
Bank of New York Mellon,BK,$39.63 B,$49.03,USA
Kuaishou Technology,1024.HK,$39.62 B,$9.16,China
CIBC,CM,$39.62 B,$43.67,Canada
WuXi Biologics,WXXWY,$39.57 B,$18.76,China
Republic Services,RSG,$39.46 B,$124.89,USA
TE Connectivity,TEL,$39.41 B,$124.24,Switzerland
