,name,code,rank,marketcap,country,shareprice,change_1day,change_1year,categories
411,SRF Limited,SRF.NS,1595.0,doll_8.57 B,India,doll_28.94,0.48_perc,4.44_perc,[]
412,IMCD,IMCD.AS,1594.0,doll_8.59 B,Netherlands,doll_150.69,-0.14_perc,-35.13_perc,[]
413,,,,,,,,,
414,,,,,,,,,
415,James Hardie Industries,JHX,1591.0,doll_8.63 B,Ireland,doll_18.91,-1.61_perc,-53.88_perc,['Buildingmaterials']
416,United Utilities,UU.L,1588.0,doll_8.67 B,UK,doll_12.59,-0.43_perc,-14.24_perc,['Utilitycompanies']
417,,,,,,,,,
418,Umicore,UMI.VI,1587.0,doll_8.67 B,Belgium,doll_36.13,0.00_perc,-28.98_perc,[]
419,Advance Auto Parts,AAP,1586.0,doll_8.68 B,USA,doll_146.65,0.77_perc,-37.58_perc,[]
420,,,,,,,,,
421,Yaskawa,6506.T,1585.0,doll_8.69 B,Japan,doll_33.24,-0.22_perc,-32.05_perc,['Electronics']
422,,,,,,,,,
