"Name","Master Cap","Country","Rank","Share Price"
"PropertyGuru","$0.69 B","Singapore","#5085","$4.32"
"Vacasa","$0.69 B","USA","#5086","$1.53"
"HarborOne Bancorp","$0.69 B","USA","#5087","$14.15"
"Alector","$0.69 B","USA","#5088","$8.40"
"Orient Electric","$0.69 B","India","#5089","$3.26"
"Anterix","$0.69 B","USA","#5090","$36.58"
"Riley Permian","$0.69 B","USA","#5091","$34.34"
"Quess","$0.69 B","India","#5092","$4.67"
"CMGE Technology Group","$0.69 B","China","#5093","$0.25"
"MediaAlpha","$0.69 B","USA","#5094","$11.47"
"Johnson Outdoors","$0.69 B","USA","#5095","$67.39"
"Aspen Aerogels","$0.68 B","USA","#5096","$10.41"
"VIB Vermögen","$0.68 B","Germany","#5097","$24.76"
"Cano Health","$0.68 B","USA","#5098","$1.38"
"Horizon Bancorp","$0.68 B","USA","#5099","$15.63"
"BrightView","$0.68 B","USA","#5100","$7.37"
"Rover","$0.68 B","USA","#5101","$3.73"
"NHN Corp","$0.68 B","South Korea","#5102","$20.81"
"Eurowag","$0.68 B","UK","#5103","$0.99"
"Valhi","$0.68 B","USA","#5104","$24.18"
"Archer Aviation","$0.68 B","USA","#5105","$2.81"
"American Vanguard","$0.68 B","USA","#5106","$23.08"
"Snap One","$0.68 B","USA","#5107","$8.99"
"Gladstone Land","$0.68 B","USA","#5108","$19.54"
"Merus","$0.68 B","Netherlands","#5109","$14.73"
"TravelCenters of America","$0.68 B","USA","#5110","$45.88"
"Kaiser (China) Culture","$0.68 B","China","#5111","$0.71"
"Old Second Bancorp","$0.68 B","USA","#5112","$15.27"
"Cutera","$0.67 B","USA","#5113","$34.65"
"Guild Mortgage","$0.67 B","USA","#5114","$11.13"
"Brooge Energy","$0.67 B","United Arab Emirates","#5115","$6.19"
"Endeavour Silver","$0.67 B","Canada","#5116","$3.57"
"Seritage Growth Properties","$0.67 B","USA","#5117","$11.93"
"Neowiz Games","$0.67 B","South Korea","#5118","$32.01"
"OTC Markets Group","$0.67 B","USA","#5119","$57.04"
"Lightwave Logic","$0.67 B","USA","#5120","$5.99"
"i-80 Gold","$0.67 B","USA","#5121","$2.81"
"Navitas Semiconductor","$0.67 B","Ireland","#5122","$4.40"
"ITM Power","$0.67 B","UK","#5123","$1.06"
"Religare","$0.67 B","India","#5124","$2.08"
"Redfin","$0.67 B","USA","#5125","$6.18"
"Emergent BioSolutions","$0.67 B","USA","#5126","$13.47"
"Dynex Capital","$0.67 B","USA","#5127","$14.49"
"Blink Charging","$0.66 B","USA","#5128","$13.15"
"Gladstone Commercial","$0.66 B","USA","#5129","$16.59"
"Norma Group","$0.66 B","Germany","#5130","$20.94"
"ChannelAdvisor","$0.66 B","USA","#5131","$23.09"
"Intercept Pharmaceuticals","$0.66 B","USA","#5132","$16.12"
"Accolade","$0.66 B","USA","#5133","$9.17"
"Pagaya Technologies","$0.66 B","Israel","#5134","$0.98"
"Barrett Business Services","$0.66 B","USA","#5135","$95.68"
"Oscar Health","$0.66 B","USA","#5136","$3.10"
"Viking Therapeutics","$0.66 B","USA","#5137","$8.68"
"Newegg","$0.66 B","USA","#5138","$1.77"
"National Energy Services Reunited","$0.66 B","USA","#5139","$7.27"
"Delta Corp","$0.66 B","India","#5140","$2.48"
"Immatics","$0.66 B","Germany","#5141","$8.71"
"DoubleUGames","$0.66 B","South Korea","#5142","$39.73"
"AMTD IDEA Group","$0.66 B","Hong Kong","#5143","$1.69"
"Sunteck Realty","$0.66 B","India","#5144","$4.52"
"Koppers","$0.66 B","USA","#5145","$31.66"
"Satixfy Communications","$0.66 B","Israel","#5146","$8.00"
"Haynes International","$0.66 B","USA","#5147","$52.78"
"Yalla Group","$0.65 B","United Arab Emirates","#5148","$4.45"
"The Hackett Group","$0.65 B","USA","#5149","$20.81"
"Allakos","$0.65 B","USA","#5150","$7.74"
"4D Molecular Therapeutics","$0.65 B","USA","#5151","$20.31"
"Cass Information Systems","$0.65 B","USA","#5152","$48.12"
"Energy Resources of Australia","$0.65 B","Australia","#5153","$0.18"
"Ducommun","$0.65 B","USA","#5154","$54.12"
"Kelly Services","$0.65 B","USA","#5155","$17.22"
"First Mid-Illinois Bancshares","$0.65 B","USA","#5156","$31.94"
"INDUS Realty Trust","$0.65 B","USA","#5157","$63.99"
"New Found Gold","$0.65 B","Canada","#5158","$3.72"
"Gujarat Alkalies and Chemicals","$0.65 B","India","#5159","$8.87"
"Delegat","$0.65 B","New Zealand","#5160","$6.44"
"Vimeo","$0.65 B","USA","#5161","$3.91"
"York Water","$0.65 B","USA","#5162","$45.56"
"Seres Therapeutics","$0.64 B","USA","#5163","$5.21"
"Sunway","$0.64 B","Malaysia","#5164","$0.36"
"RE/MAX Holdings","$0.64 B","USA","#5165","$21.05"
"MMTC","$0.64 B","India","#5166","$0.43"
"COLOPL","$0.64 B","Japan","#5167","$5.04"
"Orrön Energy","$0.64 B","Sweden","#5168","$2.05"
"Com2uS","$0.64 B","South Korea","#5169","$51.89"
"ACM Research","$0.64 B","USA","#5170","$10.83"
"Morphosys","$0.64 B","Germany","#5171","$4.70"
"VSE Corporation","$0.64 B","USA","#5172","$50.25"
"Poseida Therapeutics","$0.64 B","USA","#5173","$7.48"
"Peapack-Gladstone Financial","$0.64 B","USA","#5174","$35.85"
"Triumph Group","$0.64 B","USA","#5175","$9.87"
"TrueBlue","$0.64 B","USA","#5176","$19.60"
"Amneal Pharmaceuticals","$0.64 B","USA","#5177","$2.11"
"Metropolitan Bank Holding","$0.64 B","USA","#5178","$57.14"
"Tango Therapeutics","$0.64 B","USA","#5179","$7.26"
"SandRidge Energy","$0.64 B","USA","#5180","$17.36"
"Kaman","$0.63 B","USA","#5181","$22.84"
"Chatham Lodging Trust","$0.63 B","USA","#5182","$13.11"
"Mersana Therapeutics","$0.63 B","USA","#5183","$6.40"
"Nano Dimension","$0.63 B","USA","#5184","$2.48"
"Ares Commercial Real Estate","$0.63 B","USA","#5185","$11.72"
"Reliance Power","$0.63 B","India","#5186","$0.17"
"Rovio Entertainment","$0.63 B","Finland","#5187","$8.36"
"EHang Holdings","$0.63 B","China","#5188","$11.10"
"sterling & wilson solar","$0.63 B","India","#5189","$3.36"
"LexinFintech Holdings","$0.63 B","China","#5190","$3.45"
"Community Health Systems","$0.63 B","USA","#5191","$4.71"
"Cara Therapeutics","$0.63 B","USA","#5192","$11.80"
"SomaLogic","$0.63 B","USA","#5193","$3.37"
"Hawaiian Airlines","$0.63 B","USA","#5194","$12.28"
"Franklin Covey","$0.63 B","USA","#5195","$45.34"
"Zymeworks","$0.62 B","Canada","#5196","$10.00"
"Nordic American Tankers","$0.62 B","","#5197","$3.01"
"TPG Real Estate Finance Trust","$0.62 B","USA","#5198","$8.11"
"YIT","$0.62 B","Finland","#5199","$2.99"
"Opera","$0.62 B","Norway","#5200","$7.01"
"Iguatemi","$0.62 B","Brazil","#5201","$0.51"
"Ardelyx","$0.62 B","USA","#5202","$3.14"
"Secureworks","$0.62 B","USA","#5203","$7.35"
"Evolus","$0.62 B","USA","#5204","$11.05"
"Allied Motion Technologies","$0.62 B","USA","#5205","$39.08"
"Phibro Animal Health","$0.62 B","USA","#5206","$15.33"
"Invitae","$0.61 B","USA","#5207","$2.55"
"Transcat","$0.61 B","USA","#5208","$81.71"
"Mastek","$0.61 B","India","#5209","$20.10"
"UP Fintech (Tiger Brokers)","$0.61 B","China","#5210","$4.01"
"Chuy's","$0.61 B","USA","#5211","$34.24"
"Cloetta","$0.61 B","Sweden","#5212","$2.12"
"Cathay Real Estate Development","$0.61 B","Taiwan","#5213","$0.53"
"Camden National Bank","$0.61 B","USA","#5214","$42.18"
"Interface","$0.61 B","USA","#5215","$10.56"
"QNB Finansleasing","$0.61 B","Turkey","#5216","$5.34"
"Stoneridge","$0.61 B","USA","#5217","$22.41"
"Clover Health Investments","$0.61 B","USA","#5218","$1.26"
"Electrica","$0.61 B","","#5219","$7.06"
"Infibeam Avenues","$0.61 B","India","#5220","$0.23"
"Zensar","$0.60 B","India","#5221","$2.69"
"Gujarat Mineral Development","$0.60 B","India","#5222","$1.91"
"Kirloskar Ferrous Industries","$0.60 B","India","#5223","$4.37"
"Engineers India","$0.60 B","India","#5224","$1.08"
"Polyplex","$0.60 B","India","#5225","$19.35"
"Standard Lithium","$0.60 B","Canada","#5226","$3.64"
"Chico's","$0.60 B","USA","#5227","$4.84"
"1-800-Flowers","$0.60 B","USA","#5228","$9.36"
"Shenzhen Bingchuan Network","$0.60 B","China","#5229","$3.97"
"VRL Logistics","$0.60 B","India","#5230","$6.84"
"Técnicas Reunidas","$0.60 B","Spain","#5231","$11.24"
"Enento Group","$0.60 B","Finland","#5232","$25.09"
"AudioCodes","$0.60 B","Israel","#5233","$18.72"
"Hartalega","$0.60 B","Malaysia","#5234","$0.37"
"Rackspace Technology","$0.60 B","USA","#5235","$2.85"
"Novonix","$0.60 B","Australia","#5236","$4.95"
"Designer Brands","$0.60 B","USA","#5237","$9.45"
"Sight Sciences","$0.60 B","USA","#5238","$12.48"
"Absolute Software","$0.59 B","Canada","#5239","$11.48"
"trivago","$0.59 B","Germany","#5240","$1.66"
"Sundial Growers","$0.59 B","Canada","#5241","$2.30"
"Couchbase","$0.59 B","USA","#5242","$13.27"
"Nurix Therapeutics","$0.59 B","USA","#5243","$12.69"
"Scholar Rock Holding","$0.59 B","USA","#5244","$11.58"
"Transport Corporation of India","$0.59 B","India","#5245","$7.71"
"Vaibhav Global","$0.59 B","India","#5246","$3.62"
"SilverBow Resources","$0.59 B","USA","#5247","$26.74"
"Kimball Electronics","$0.59 B","USA","#5248","$24.13"
"PlayWay","$0.59 B","Poland","#5249","$90.14"
"Ebix","$0.59 B","USA","#5250","$19.28"
"Flushing Financial Corp","$0.59 B","USA","#5251","$19.97"
"Desktop Metal","$0.59 B","USA","#5252","$1.87"
"SI-BONE","$0.59 B","USA","#5253","$17.21"
"Zynex","$0.59 B","USA","#5254","$15.41"
"Bright Health","$0.59 B","USA","#5255","$0.94"
"Hingham Institution for Savings","$0.59 B","USA","#5256","$276.00"
"Silvercorp Metals","$0.59 B","Canada","#5257","$3.35"
"PDS Multinational","$0.59 B","India","#5258","$22.65"
"CION Investment","$0.59 B","USA","#5259","$10.65"
"Syrma SGS Technology","$0.59 B","India","#5260","$3.34"
"Reliance Infrastructure","$0.59 B","India","#5261","$1.68"
"Energy Vault","$0.58 B","USA","#5262","$4.26"
"CymaBay Therapeutics","$0.58 B","USA","#5263","$6.94"
"Materialise NV","$0.58 B","Belgium","#5264","$9.95"
"Aerovate Therapeutics","$0.58 B","USA","#5265","$23.88"
"Hikal","$0.58 B","India","#5266","$4.76"
"NEUCA","$0.58 B","Poland","#5267","$136.12"
"Harsco","$0.58 B","USA","#5268","$7.35"
"Heidrick & Struggles","$0.58 B","USA","#5269","$29.41"
"Ruth's Hospitality Group","$0.58 B","USA","#5270","$17.59"
"Digital World Acquisition","$0.58 B","USA","#5271","$15.66"
"Bluegreen Vacations","$0.58 B","USA","#5272","$29.55"
"Cresco Labs","$0.58 B","USA","#5273","$1.95"
"89bio","$0.58 B","USA","#5274","$12.47"
"Clearwater Paper","$0.57 B","USA","#5275","$34.60"
"Vishay Precision Group","$0.57 B","USA","#5276","$42.66"
"Viad","$0.57 B","USA","#5277","$27.97"
"Playstudios","$0.57 B","USA","#5278","$4.44"
"Erasca","$0.57 B","USA","#5279","$3.84"
"Cambium Networks","$0.57 B","USA","#5280","$21.31"
"Luther Burbank","$0.57 B","USA","#5281","$11.27"
"Tunas Ridean","$0.57 B","Indonesia","#5282","$0.10"
"Acco Brands","$0.57 B","USA","#5283","$6.10"
"Cardiovascular Systems","$0.57 B","USA","#5284","$13.70"
"Protagonist Therapeutics","$0.57 B","USA","#5285","$11.66"
"Babcock & Wilcox","$0.57 B","USA","#5286","$6.47"
"Schneider Electric Infrastructure","$0.57 B","India","#5287","$2.39"
"Genesco","$0.57 B","USA","#5288","$45.30"
"Amyris","$0.57 B","USA","#5289","$1.57"
"Karnataka Bank","$0.56 B","India","#5290","$1.83"
"EverQuote","$0.56 B","USA","#5291","$17.71"
"HBT Financial","$0.56 B","USA","#5292","$19.80"
"SmartRent","$0.56 B","USA","#5293","$2.87"
"Brasil Agro","$0.56 B","Brazil","#5294","$5.76"
"Broadmark Realty Capital","$0.56 B","USA","#5295","$4.28"
"Valens Semiconductor","$0.56 B","Israel","#5296","$5.72"
"Lindblad Expeditions","$0.56 B","USA","#5297","$10.70"
"Central Pacific Financial","$0.56 B","USA","#5298","$20.86"
"Hyliion","$0.56 B","USA","#5299","$3.16"
"Calavo Growers","$0.56 B","USA","#5300","$31.99"
"MaxCyte","$0.56 B","USA","#5301","$5.33"
"NETGEAR","$0.56 B","USA","#5302","$19.58"
"DouYu","$0.56 B","China","#5303","$1.78"
"JSW Holdings","$0.56 B","India","#5304","$50.90"
"Sangamo Therapeutics","$0.56 B","USA","#5305","$3.44"
"Phillips Carbon Black","$0.56 B","India","#5306","$3.24"
"Artesian Resources","$0.56 B","USA","#5307","$59.79"
"Diamond Hill Investment Group","$0.56 B","USA","#5308","$186.29"
"I-Mab Biopharma","$0.56 B","China","#5309","$6.76"
"PORR","$0.56 B","","#5310","$14.29"
"Ardmore Shipping","$0.56 B","","#5311","$13.84"
"Boss Energy","$0.56 B","Australia","#5312","$1.59"
"TPI Composites","$0.56 B","USA","#5313","$13.35"
"Kura Sushi USA","$0.56 B","USA","#5314","$57.19"
"Suprajit Engineering","$0.55 B","India","#5315","$4.04"
"RGP","$0.55 B","USA","#5316","$16.57"
"Lion Electric","$0.55 B","Canada","#5317","$2.50"
"Virgin Orbit","$0.55 B","USA","#5318","$1.65"
"Bandwidth","$0.55 B","USA","#5319","$21.89"
"SIGA Technologies","$0.55 B","USA","#5320","$7.59"
"Cerus","$0.55 B","USA","#5321","$3.12"
"Editas Medicine","$0.55 B","USA","#5322","$8.05"
"Arrow Financial","$0.55 B","USA","#5323","$33.44"
"Oil States International","$0.55 B","USA","#5324","$8.63"
"Tiptree","$0.54 B","USA","#5325","$15.14"
"System1","$0.54 B","USA","#5326","$4.83"
"Ribbon Communications","$0.54 B","USA","#5327","$3.26"
"Obsidian Energy","$0.54 B","Canada","#5328","$6.63"
"Anora Group","$0.54 B","Finland","#5329","$8.09"
"Calliditas Therapeutics","$0.54 B","Sweden","#5330","$19.61"
"Tremor International","$0.54 B","Israel","#5331","$7.58"
"REX American Resources","$0.54 B","USA","#5332","$31.36"
"nLIGHT","$0.54 B","USA","#5333","$12.02"
"DXP Enterprises","$0.54 B","USA","#5334","$29.00"
"Bionano Genomics","$0.54 B","USA","#5335","$1.83"
"Capital City Bank Group","$0.54 B","USA","#5336","$31.97"
"Insteel Industries","$0.54 B","USA","#5337","$27.86"
"HomeStreet Bank","$0.54 B","USA","#5338","$28.92"
"Funko","$0.54 B","USA","#5339","$11.47"
"Trustpilot Group","$0.54 B","Denmark","#5340","$1.26"
"Varroc","$0.54 B","India","#5341","$3.54"
"B Communications","$0.54 B","Israel","#5342","$5.04"
"Havertys","$0.54 B","USA","#5343","$33.50"
"Solid Power","$0.53 B","USA","#5344","$3.07"
"CSB Bank","$0.53 B","India","#5345","$3.11"
"Safari Industries India","$0.53 B","India","#5346","$22.73"
"Canaan","$0.53 B","China","#5347","$3.14"
"First Financial","$0.53 B","USA","#5348","$44.65"
"Ranpak","$0.53 B","USA","#5349","$6.54"
"Butterfly Network","$0.53 B","USA","#5350","$2.67"
"Amprius Technologies","$0.53 B","USA","#5351","$6.33"
"Simona","$0.53 B","Germany","#5352","$89.05"
"Liquidity Services","$0.53 B","USA","#5353","$14.92"
"NuScale Power","$0.53 B","USA","#5354","$10.29"
"Mercantile Bank","$0.53 B","USA","#5355","$33.36"
"Vertex Energy","$0.53 B","USA","#5356","$7.05"
"Vaalco Energy","$0.53 B","USA","#5357","$4.91"
"PennantPark Floating Rate","$0.53 B","USA","#5358","$11.73"
"ZeroFox","$0.53 B","USA","#5359","$4.50"
"FRP Holdings","$0.53 B","USA","#5360","$56.24"
"FDC India","$0.53 B","India","#5361","$3.20"
"Fate Therapeutics","$0.53 B","USA","#5362","$5.47"
"Quanterix","$0.52 B","USA","#5363","$14.29"
"Tejon Ranch","$0.52 B","USA","#5364","$19.98"
"Hyster-Yale Materials Handling","$0.52 B","USA","#5365","$31.22"
"Grupo Supervielle","$0.52 B","","#5366","$2.83"
"OneSpan","$0.52 B","USA","#5367","$13.29"
"Sohu.com","$0.52 B","China","#5368","$15.61"
"MetroCity Bankshares","$0.52 B","USA","#5369","$20.78"
"Sprague Resources LP","$0.52 B","USA","#5370","$20.00"
"Ramkrishna Forgings","$0.52 B","India","#5371","$3.28"
"Faro Technologies","$0.52 B","USA","#5372","$27.87"
"The Children's Place","$0.52 B","USA","#5373","$42.80"
"ElringKlinger","$0.52 B","Germany","#5374","$8.26"
"ECN Capital","$0.52 B","Canada","#5375","$2.13"
"GuangZhou Wahlap Technology","$0.52 B","China","#5376","$4.62"
"Taseko Mines","$0.52 B","Canada","#5377","$1.82"
"AVEO Oncology","$0.52 B","USA","#5378","$15.00"
"Senseonics Holdings","$0.52 B","USA","#5379","$1.09"
"AngioDynamics","$0.52 B","USA","#5380","$13.32"
"Tsakos Energy Navigation","$0.52 B","","#5381","$18.20"
"Avacta Group","$0.52 B","UK","#5382","$1.89"
"2U","$0.52 B","USA","#5383","$6.66"
"HilleVax","$0.52 B","USA","#5384","$15.60"
"MasterCraft Boat","$0.51 B","USA","#5385","$29.20"
"Inogen","$0.51 B","USA","#5386","$22.60"
"Ace Hardware Indonesia","$0.51 B","Indonesia","#5387","$0.03000"
"Vinci Partners","$0.51 B","Brazil","#5388","$9.10"
"Entravision Communications","$0.51 B","USA","#5389","$6.09"
"Gorilla Technology","$0.51 B","Taiwan","#5390","$7.09"
"Veru","$0.51 B","USA","#5391","$6.41"
"Oppenheimer Holdings","$0.51 B","USA","#5392","$47.11"
"MidWestOne Financial Group","$0.51 B","USA","#5393","$33.07"
"Argan","$0.51 B","USA","#5394","$38.03"
"Centrus Energy","$0.51 B","USA","#5395","$35.48"
"Nuvation Bio","$0.51 B","USA","#5396","$2.36"
"Sorrento Therapeutics","$0.51 B","USA","#5397","$1.09"
"Alta Equipment Group","$0.51 B","USA","#5398","$15.97"
"bluebird bio","$0.51 B","USA","#5399","$6.20"
"Artivion","$0.51 B","USA","#5400","$12.70"
"Equity BancShares","$0.51 B","USA","#5401","$32.10"
"HEG","$0.51 B","India","#5402","$13.24"
"Microvast","$0.51 B","USA","#5403","$1.65"
"Orion Office REIT","$0.51 B","USA","#5404","$9.01"
"Heidelbergcement India","$0.51 B","India","#5405","$2.25"
"Esperion Therapeutics","$0.50 B","USA","#5406","$6.83"
"DoubleDown Interactive","$0.50 B","USA","#5407","$10.26"
"Procaps Group","$0.50 B","","#5408","$4.50"
"Bank of Marin Bancorp","$0.50 B","USA","#5409","$31.60"
"Runway Growth Finance","$0.50 B","USA","#5410","$12.49"
"CIRCOR International","$0.50 B","USA","#5411","$24.82"
"Whitestone REIT","$0.50 B","USA","#5412","$10.05"
"Spandana Sphoorty Financial","$0.50 B","India","#5413","$7.08"
"National Presto Industries","$0.50 B","USA","#5414","$71.05"
"Mishra Dhatu Nigam","$0.50 B","India","#5415","$2.68"
"Mullen Automotive","$0.50 B","USA","#5416","$0.30"
"World Acceptance Corporation","$0.49 B","USA","#5417","$79.88"
"Arcturus Therapeutics","$0.49 B","USA","#5418","$18.82"
"Zur Rose Group","$0.49 B","Switzerland","#5419","$37.01"
"Qingci Games","$0.49 B","China","#5420","$0.72"
"Design Therapeutics","$0.49 B","USA","#5421","$8.92"
"Stitch Fix","$0.49 B","USA","#5422","$4.50"
"Bafang Yunji","$0.49 B","Taiwan","#5423","$7.51"
"CNB Financial Corp","$0.49 B","USA","#5424","$23.56"
"Lilium","$0.49 B","Germany","#5425","$1.26"
"Donegal Group","$0.49 B","USA","#5426","$15.22"
"Repare Therapeutics","$0.49 B","Canada","#5427","$11.82"
"Borussia Dortmund","$0.49 B","Germany","#5428","$4.49"
"Covenant Logistics","$0.49 B","USA","#5429","$36.66"
"Greenlam Industries","$0.49 B","India","#5430","$3.89"
"Action Construction Equipment","$0.49 B","India","#5431","$4.15"
"Eagle Point Credit Company","$0.49 B","USA","#5432","$10.51"
"Big Lots","$0.49 B","USA","#5433","$17.03"
"America's Car-Mart","$0.49 B","USA","#5434","$77.42"
"One Liberty Properties","$0.49 B","USA","#5435","$23.39"
"Synlait Milk","$0.49 B","New Zealand","#5436","$2.25"
"Tata Coffee","$0.49 B","India","#5437","$2.64"
"Nine Energy Service","$0.49 B","USA","#5438","$14.83"
"Garrett Motion","$0.49 B","Switzerland","#5439","$7.60"
"Blue Bird Corporation","$0.49 B","USA","#5440","$15.36"
"Restaurant Brands New Zealand","$0.49 B","New Zealand","#5441","$3.94"
"Value Line","$0.49 B","USA","#5442","$52.00"
"Brookdale Senior Living","$0.49 B","USA","#5443","$2.63"
"Hyzon Motors","$0.49 B","USA","#5444","$1.97"
"Akouos","$0.49 B","USA","#5445","$13.29"
"RADA Electronic Industries","$0.49 B","Israel","#5446","$9.87"
"GH Research","$0.49 B","Ireland","#5447","$9.43"
"8x8","$0.49 B","USA","#5448","$4.39"
"Tetra Technologies","$0.49 B","USA","#5449","$3.81"
"Mail.ru Group","$0.48 B","","#5450","$2.17"
"American Software","$0.48 B","USA","#5451","$14.51"
"CECO Environmental","$0.48 B","USA","#5452","$14.28"
"AlloVir","$0.48 B","USA","#5453","$5.25"
"Greenpanel Industries","$0.48 B","India","#5454","$3.98"
"NanoString Technologies","$0.48 B","USA","#5455","$10.46"
"Benson Hill","$0.48 B","USA","#5456","$2.36"
"The RMR Group","$0.48 B","USA","#5457","$29.32"
"Gevo","$0.48 B","USA","#5458","$2.05"
"EZCorp","$0.48 B","USA","#5459","$8.63"
"Aarti Drugs","$0.48 B","India","#5460","$5.24"
"Five Star Bancorp","$0.48 B","USA","#5461","$28.06"
"Agora.io","$0.48 B","China","#5462","$4.17"
"Anant Raj","$0.48 B","India","#5463","$1.49"
"VectivBio","$0.48 B","Switzerland","#5464","$7.67"
"Orpea","$0.48 B","France","#5465","$7.43"
"OneWater Marine","$0.48 B","USA","#5466","$30.56"
"Olectra Greentech","$0.48 B","India","#5467","$5.84"
"Mesoblast","$0.47 B","Australia","#5468","$3.19"
"Nazara Technologies","$0.47 B","India","#5469","$7.25"
"Consolidated Communications","$0.47 B","USA","#5470","$4.15"
"Wemade","$0.47 B","South Korea","#5471","$29.14"
"Vertical Aerospace","$0.47 B","UK","#5472","$2.26"
"IGG Inc","$0.47 B","Singapore","#5473","$0.40"
"IBEX","$0.47 B","USA","#5474","$26.03"
"Zumiez","$0.47 B","USA","#5475","$24.32"
"Bridgewater Bancshares","$0.47 B","USA","#5476","$17.18"
"Silence Therapeutics","$0.47 B","UK","#5477","$13.20"
"Astronics Corporation","$0.47 B","USA","#5478","$14.66"
"Magnachip","$0.47 B","","#5479","$10.71"
"Seneca Foods","$0.47 B","USA","#5480","$61.29"
"Marcus Corporation","$0.47 B","USA","#5481","$15.00"
"Solaris Oilfield Infrastructure","$0.47 B","USA","#5482","$10.14"
"Smith & Wesson","$0.47 B","USA","#5483","$10.28"
"AO World","$0.47 B","UK","#5484","$0.76"
"Skeena Resources","$0.47 B","Canada","#5485","$6.21"
"Bar Harbor Bankshares","$0.47 B","USA","#5486","$31.20"
"Icelandair","$0.46 B","","#5487","$0.01000"
"Gateway Distriparks","$0.46 B","India","#5488","$3.76"
"South Indian Bank","$0.46 B","India","#5489","$0.22"
"Apollo Endosurgery","$0.46 B","USA","#5490","$9.84"
"Marine Products Corporation","$0.46 B","USA","#5491","$13.66"
"Pearl Abyss","$0.46 B","South Korea","#5492","$35.89"
"Teekay","$0.46 B","Canada","#5493","$4.65"
"Beazer Homes USA","$0.46 B","USA","#5494","$14.87"
"Ramaco Resources","$0.46 B","USA","#5495","$10.54"
"OPTiM","$0.46 B","Japan","#5496","$8.45"
"TuSimple","$0.46 B","USA","#5497","$2.06"
"Nano-X Imaging","$0.46 B","Israel","#5498","$8.89"
"CareMax","$0.46 B","USA","#5499","$4.19"
"Purple Innovation","$0.46 B","USA","#5500","$5.08"
"5E Advanced Materials","$0.46 B","USA","#5501","$10.53"
"The Tinplate Company Of India","$0.46 B","India","#5502","$4.41"
"Azerion Group","$0.46 B","Netherlands","#5503","$3.81"
"Powell Industries","$0.46 B","USA","#5504","$38.87"
"ContextLogic (wish.com)","$0.45 B","USA","#5505","$0.62"
"SmartFinancial (SmartBank)","$0.45 B","USA","#5506","$27.21"
"Fission Uranium","$0.45 B","Canada","#5507","$0.66"
"Tutor Perini","$0.45 B","USA","#5508","$8.86"
"Biglari","$0.45 B","USA","#5509","$148.48"
"Alerus Financial","$0.45 B","USA","#5510","$22.81"
"Bel Fuse","$0.45 B","USA","#5511","$36.53"
"Trinity Capital","$0.45 B","USA","#5512","$12.94"
"TerrAscend","$0.45 B","Canada","#5513","$1.37"
"Anika Therapeutics","$0.45 B","USA","#5514","$30.94"
"Vigil Neuroscience","$0.45 B","USA","#5515","$12.70"
"Hudson Technologies","$0.45 B","USA","#5516","$9.94"
"Ituran","$0.45 B","Israel","#5517","$22.21"
"Huuuge","$0.44 B","USA","#5518","$5.72"
"Olympic Steel","$0.44 B","USA","#5519","$40.42"
"Carriage Services","$0.44 B","USA","#5520","$30.57"
"Rimini Street","$0.44 B","USA","#5521","$5.08"
"Webzen","$0.44 B","South Korea","#5522","$14.31"
"Gladstone Investment","$0.44 B","USA","#5523","$13.46"
"Reservoir Media","$0.44 B","USA","#5524","$6.94"
"TH International (Tims China)","$0.44 B","China","#5525","$2.99"
"Newpark Resources","$0.44 B","USA","#5526","$4.74"
"Indoco Remedies","$0.44 B","India","#5527","$4.82"
"Axogen","$0.44 B","USA","#5528","$10.50"
"Despegar","$0.44 B","","#5529","$6.70"
"Great Lakes Dredge & Dock Corp.","$0.44 B","USA","#5530","$6.70"
"Atlanticus","$0.44 B","USA","#5531","$30.65"
"ShotSpotter","$0.44 B","USA","#5532","$36.30"
"Cyxtera Technologies","$0.44 B","USA","#5533","$2.46"
"Eagle Pharmaceuticals","$0.44 B","USA","#5534","$33.91"
"Baozun","$0.44 B","China","#5535","$7.50"
"IFB Industries","$0.44 B","India","#5536","$10.88"
"Dutch Lady Milk Industries","$0.44 B","Malaysia","#5537","$6.89"
"Orchid Island Capital","$0.44 B","USA","#5538","$12.10"
"iRadimed","$0.43 B","USA","#5539","$35.00"
"Kezar Life Sciences","$0.43 B","USA","#5540","$6.42"
"Civeo","$0.43 B","USA","#5541","$32.07"
"Largo","$0.43 B","Canada","#5542","$6.81"
"Newtek","$0.43 B","USA","#5543","$17.99"
"Sutro Biopharma","$0.43 B","USA","#5544","$7.64"
"Lexicon Pharmaceuticals","$0.43 B","USA","#5545","$2.32"
"MoonLake Immunotherapeutics","$0.43 B","Switzerland","#5546","$11.23"
"Southern Missouri Bancorp","$0.43 B","USA","#5547","$47.32"
"Aaron's","$0.43 B","USA","#5548","$14.18"
"Nektar Therapeutics","$0.43 B","USA","#5549","$2.32"
"Luxfer","$0.43 B","UK","#5550","$16.02"
"Mitek Systems","$0.43 B","USA","#5551","$9.75"
"fuboTV","$0.43 B","USA","#5552","$2.23"
"West Coast Paper Mills","$0.43 B","India","#5553","$6.58"
"Giordano","$0.43 B","Hong Kong","#5554","$0.28"
"Arbutus Biopharma","$0.43 B","USA","#5555","$2.76"
"Silvergate Capital","$0.43 B","USA","#5556","$13.73"
"Global Indemnity","$0.43 B","","#5557","$29.73"
"Aurelius Group","$0.43 B","Germany","#5558","$15.25"
