,name,type,industry,founded,founders,headquarters,key_people,services,revenue,operating_income,total_assets,number_of_employees,website
37,macy's,['subsidiary'],['retail'],"['new york, new york']",['rowland hussey macy'],['new york city'],[],[],[],[],[],[],"['macys', '.com']"
38,"autozone, inc.",['public company'],['retail'],"['forrest city, arkansas']",['pitt hyde'],"['memphis, tennessee']",[],[],['usdoll_'],"[' ', 'usdoll_', '2.417 billion (', 'fiscal year ended august 29, 2020', ')', '[1]']","[' ', 'usdoll_', '14.423 billion (', 'fiscal year ended august 29, 2020', ')', '[1]']","['~87,000\xa0(2017)']","['autozone', '.com']"
39,"fomento económico mexicano, s.a.b. de c.v.",['sociedad anónima bursátil de capital variable'],"['beverage', 'retail']",['1890'],[],"['monterrey', 'nuevo león', 'mexico']",[],[],['mxndoll_'],[],"[' mxndoll_637.5 billion ', '(2019)']","['+230,000']",[]
40,dm-drogerie markt gmbh + co. kg,['gmbh & co. kg'],['retail'],['1973'],[],"['karlsruhe', 'germany']",[],[],['€12.265\xa0billion (2021)'],[],[],"['66,076 (2021)', '[1]']","['dm', '.de']"
41,ica gruppen ab (publ),"['private', 'aktiebolag']",[],['1938'],[],"['solna', 'stockholm', 'sweden']",[],[],['€'],[],[],"['23,000', '[1]']","['www', '.icagruppen', '.se', '/en', '/']"
42,"el corte inglés, s.a.",['sociedad anónima'],['retail'],['madrid'],"['ramón areces', 'césar rodríguez']","['madrid', 'spain']",[],[],[' €15.783 billion '],[],[],"[' 90,004 ', '(2018)', '[1]']",[' (international)']
43,shoprite holdings,['public'],['retail'],['1979'],[],['brackenfell'],[],[],['r'],[],[],"['over 145,000 (as end july 2022)']",['https://www.shopriteholdings.co.za/']
44,kering s.a.,"['public', 'société anonyme']",['luxury'],['1963'],['françois pinault'],"['40 rue de sèvres, paris 7e, france']",[],[],['billion'],['€3.13 billion (2019)'],['€27.148 billion (2020)'],"['38,000 (2019)']","['kering', '.com']"
45,"hy-vee, inc.","['private', 'employee-owned']","['retail', 'grocery']","['beaconsfield, iowa']","['charles hyde', 'david vredenburg']","['west des moines, iowa']",[],['gas station'],[' doll_12.0 billion (2021)'],[],[],"['93,000', '[1]']",['www.hy-vee.com']
46,"coupang, inc.
",['public'],"['e-commerce', 'digital distribution']","['1\xa0july 2010', ' as coupang co., ltd.']",['bom kim'],"['jamsil-dong', 'songpa-gu', 'seoul', 'south korea']",[],"['rocket delivery (e-commerce) ', 'rocket fresh {grocery delivery} ', 'coupang eats (restaurant delivery) ', 'coupang play (streaming service) ', 'coupang pay (digital payments)']","[' ', '\xa0(2021)']",[],[],"['68,000', '[1]', '\xa0(2021)']","['coupang', '.com']"
47,decathlon s.a.,['private'],['retail'],['1976'],['michel leclercq'],"[""villeneuve d'ascq"", 'france']",[],[],['usdoll_'],[],[],"['93 710 (2020)', '[1]']",['www.decathlon.com']
48,aashirvad cinemas,['privately held company'],['motion picture'],['2000'],[],['kochi'],[],[],[],[],[],[],"['www', '.aashirvadcinemas', '.in']"
49,balaji telefilms ltd.,['public'],['television'],['11 november 1994'],['jeetendra'],['mumbai'],[],[],"[' ', ' (usdoll_73\xa0million) (2020)']","[' ', '₹', '576.62 crore', ' (usdoll_72\xa0million) (2020)', '[1]']","[' ', '₹', '1,213 crore', ' (usdoll_150\xa0million) (2020)', '[1]']",[],['balaji telefilms']
50,bombay talkies,[],['entertainment'],['22 june 1934'],"['himanshu rai', 'devika rani']","['malad', 'maharashtra']",[],[],[],[],[],[],[]
51,chilsag entertainment network,['privately held company'],['entertainment'],['india'],['sachin gupta'],"['mumbai', 'india']",[],[],[],[],[],[],"['www', '.chilsag', '.com']"
52,illuminati films,['private limited company'],[],['2009'],"['saif ali khan', 'dinesh vijan']","['mumbai', 'maharashtra', 'india']",[],"['production', 'distribution']",[],[],[],[],[]
53,sagafilm,[],['film'],['1978'],[],"['reykjavík', 'iceland']",[],[],[],[],[],[],"['sagafilm', '.is']"
54,geetha arts,['private'],['entertainment'],['hyderabad'],[],"['hyderabad, telangana']",[],[],[],[],[],[],['geetha arts']
