headquarters,founded,area_served,industry,name,sector,notes
ljubljana,1991,,consumer services,solinair,airlines,
koper,1954,,consumer goods,tomos,automobiles,
ljubljana,2001,,technology,xlab d.o.o,software,
ljubljana,2002,,technology,zootfly,software,
bratislava,1993,,consumer services,air slovakia,airlines,
detva,1955,,industrials,cestné a stavebné mechanizmy tisovec,defense,
bratislava,1953,,industrials,doprastav,heavy construction,
prešov,1991,,industrials,elnec,electronic equipment,
bratislava,1992,,technology,eset,computer services,
medzilaborce,1999,,consumer goods,glass lps,durable household products,
bratislava,1992,,financials,istrobanka,banks,
bratislava,1993,,financials,j&t finance group,investment services,
bratislava,1996,,real estate,jtre,real estate management & development,
čadca,1993,,industrials,jj electronic,electrical components & equipment,
bratislava,1995,,financials,komerční banka bratislava,banks,
púchov,1947,,consumer goods,matador,tires,
istebné,1999,,basic materials,"ofz, a.s., istebné",iron & steel,
bratislava,1997,,telecommunications,orange slovensko,mobile telecommunications,
bratislava,1994,,financials,penta investments,investment services,
bratislava,1992,,financials,poštová banka,banks,
veľký šariš,1964,,consumer goods,šariš brewery,brewers,
bratislava,1995,,consumer services,slovak airlines,airlines,
bratislava,1999,,telecommunications,slovak telekom,fixed line telecommunications,
žiar nad hronom,1993,,basic materials,slovalco,aluminum,
bratislava,1993,,consumer services,slovart music,broadcasting & entertainment,
banská bystrica,1993,,industrials,slovenská pošta,delivery services,
bratislava,1819,,financials,slovenská sporiteľňa,banks,
bratislava,1942,,utilities,slovenské elektrárne,conventional electricity,
bratislava,2006,,oil & gas,slovenský plynárenský priemysel,exploration & production,
bratislava,1949,,oil & gas,slovnaft,exploration & production,
bratislava,2004,,technology,sygic,software,
bratislava,1990,,financials,tatra banka,banks,
bratislava,2006,,telecommunications,o2 slovakia,mobile telecommunications,
veľký šariš,1957,,consumer goods,topvar,brewers,
bratislava,1954,,oil & gas,transpetrol as,pipelines,
košice,2000,,basic materials,u.s. steel košice,iron & steel,
trebišov,1922,,industrials,vagónka,commercial vehicles & trucks,
bratislava,2004,,industrials,železničná spoločnosť slovensko,railroads,
hurbanovo,1969,,consumer goods,zlatý bažant,brewers,
bucharest,2008,,consumer services,adevărul holding,publishing,
buftea,1990,,consumer services,angst,food retailers & wholesalers,
iași,1955,,health care,antibiotice iași,pharmaceuticals,
alba iulia,1970,,consumer goods,apulum,durable household products,
găești,1968,,consumer goods,arctic s.a.,durable household products,
mioveni,1966,,consumer goods,automobile dacia,automobiles,
bucharest,1990,,financials,banca comercială română,banks,
cluj-napoca,1993,,financials,banca transilvania,banks,
bucharest,2004,,consumer services,blue air,airlines,
bucharest,1923,,financials,brd – groupe société générale,banks,
bucharest,1880,,industrials,căile ferate române,railroads,
bucharest,1991,,consumer services,continental hotels,hotels,
bacău,1992,,consumer services,dedeman,retail services,
ștei,1993,,consumer goods,european drinks & foods,food products,
cluj-napoca,1993,,consumer goods,farmec,personal products,
craiova,1976,,consumer goods,ford romania,automobiles,
bucharest,1992,,technology,gecad software,software,
bucharest,2001,,industrials,grup feroviar român,railroads,
