,column_name,type_of_data,type_of_string,avg_mon_values (0 if not monetary),avg_length_of_field,var_length,std_dev_length,ratio_white_space_length,ratio_num_val,is_country,is_sector,min_val(int),max_val(int),avg(int),variance,std_dev,incremetal_int,is_year
43,disfold-industry,0,6,0.0,19.785214785214784,99.62519598283798,9.981242206400864,0.05879615618104673,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
44,disfold-link,0,3,0.0,56.04095904095904,703.8454752041167,26.53008622685039,0.0007290147736620918,0.000813277968727067,0,0,0.0,0.0,0.0,0.0,0.0,0,0
45,disfold-rank,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9.0,999.0,498.90697674418607,86333.38669551106,293.82543575312036,1,0
46,disfold-headquarters,0,6,0.0,19.305694305694306,23.900556985472,4.888819590194754,0.08223139889181037,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
47,disfold-official_name,0,6,0.0,20.73026973026973,97.33583699018241,9.865892609905218,0.0965847211001677,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
48,disfold-sector,0,6,0.0,13.027972027972028,42.38283394926771,6.510209977356162,0.022946975253680224,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,0
49,disfold-market_cap,0,4,4327.648301798203,15.628371628371628,32.077676569184895,5.6637157917029075,0.06967868757579125,0.4379387674892114,0,0,0.0,0.0,0.0,0.0,0.0,0,0
50,disfold-ceo,0,6,0.0,22.71228771228771,55.19394491622253,7.429262743787066,0.15927072520330615,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
51,disfold-country,0,6,0.0,10.28071928071928,13.041076805312562,3.6112431108016754,0.04547957869636224,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0
52,disfold-id,0,6,0.0,17.582417582417584,200.76068985959057,14.169004547235863,0.0,0.4226960539460539,0,0,0.0,0.0,0.0,0.0,0.0,0,0
53,disfold-revenue,0,4,3073701976.8814154,16.342657342657343,36.04142710436418,6.003451266093878,0.06879136822193066,0.4502014892348972,0,0,0.0,0.0,0.0,0.0,0.0,0,0
54,disfold-net_income,0,4,1059222.3685142787,14.774225774225775,25.411563461513477,5.040988341735525,0.07333144756971027,0.41152881556227533,0,0,0.0,0.0,0.0,0.0,0.0,0,0
55,disfold-name,0,6,0.0,23.342657342657343,118.63083769377475,10.891778444945286,0.10601081661950709,0.0006782629313098879,0,0,0.0,0.0,0.0,0.0,0.0,0,0
56,disfold-gbp,0,4,5.108066933066941,15.628371628371628,33.921832413340546,5.824245222631045,0.07135037456715819,0.4291970034627353,0,0,0.0,0.0,0.0,0.0,0.0,0,0
57,disfold-stock,0,6,0.0,3.612387612387612,1.18442197163475,1.088311523248169,0.0,0.22221112221112216,0,0,0.0,0.0,0.0,0.0,0.0,0,0
58,disfold-headquarters_continent,0,6,0.0,4.339660339660339,9.558956527987457,3.09175622065962,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0
59,disfold-categories,0,6,0.0,106.52447552447552,415.8458045451051,20.39229767694423,0.03856534451298406,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
60,forbes-ceo,0,6,0.0,16.03196803196803,27.347629393583322,5.229496093657908,0.1087119695000032,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
61,forbes-founded,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1668.0,2020.0,1953.7441860465117,3305.884725334158,57.49682361082356,2,1
62,forbes-employees,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8.0,2300000.0,55338.08970099668,22398116756.37402,149660.00386333693,1,0
63,forbes-sales,0,4,28.634182817182797,11.276723276723276,0.5917558964511987,0.7692567168710318,0.08909889644155408,0.2872088284675694,0,0,0.0,0.0,0.0,0.0,0.0,0,0
64,forbes-assets,0,4,103.47065334665331,11.935064935064934,0.4643149058733529,0.681406564301631,0.08406290679017972,0.3274967456785618,0,0,0.0,0.0,0.0,0.0,0.0,0,0
65,forbes-market_value,0,4,48.52665834165839,11.756243756243757,0.4041193571663152,0.635703828182838,0.0853156833176816,0.3174745334585482,0,0,0.0,0.0,0.0,0.0,0.0,0,0
66,forbes-profit,0,4,2.5719682317682278,12.887112887112886,14.78745629994378,3.8454461769661763,0.0817287426378346,0.3416288218386086,0,0,0.0,0.0,0.0,0.0,0.0,0,0
67,forbes-industry,0,6,0.0,17.753246753246753,135.55050144660544,11.642615747614684,0.04967097864951867,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,0
68,forbes-name,0,6,0.0,14.326673326673326,56.32385396820949,7.504921982819641,0.05980706604827079,0.0013074948139883203,0,0,0.0,0.0,0.0,0.0,0.0,0,0
69,forbes-country,0,6,0.0,8.674325674325674,13.044785384445644,3.611756551104413,0.03102913847169585,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0
70,forbes-link,0,3,0.0,46.84415584415584,57.91777054114723,7.610372562571903,0.0,0.0002082403915864573,0,0,0.0,0.0,0.0,0.0,0.0,0,0
71,ft-employees_number_2017,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,767.0,31.242524916943523,6224.476065385596,78.89534881972192,1,0
72,ft-employees_number_2020,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,12882.0,319.4485049833887,981140.0347236787,990.5251307885524,1,0
73,ft-sector,0,6,0.0,11.337662337662337,23.72014997989017,4.870333662069794,0.02082021223313367,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,0
74,ft-revenue_2017_eu,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,103240.0,145398192.0,4217936.285714285,136941041047147.14,11702181.038043598,1,0
75,ft-name,0,6,0.0,13.084915084915085,51.388393823958424,7.168569859041511,0.04819889540157131,0.004815067549832784,0,0,0.0,0.0,0.0,0.0,0.0,0,0
76,ft-country,0,6,0.0,6.298701298701299,7.050637674014262,2.6553036877190266,0.00546034052527559,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0
77,ft-link,0,3,0.0,26.004995004995006,28.4525225024726,5.334090597512626,0.0,0.0026618730594110684,0,0,0.0,0.0,0.0,0.0,0.0,0,0
78,ft-revenue_2020_eu,0,4,0.024915084915084932,16.57242757242757,31.48950949150781,5.61155143356165,0.06548236460324368,0.47614108317405035,0,0,0.0,0.0,0.0,0.0,0.0,0,0
79,ft-compound_annual_growth_rate_cagr_pct,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,36.59,321.66,79.4095016611296,2469.144800748337,49.69049004335072,1,0
