Name,Industry,Sector,Headquarters,Founded
Guerrilla Games,Technology,Software,Amsterdam,2000
G-Star Raw,Consumer goods,Apparel retailers,Amsterdam,1989
Heerema Marine Contractors,Oil & gas,Oil equipment & services,Leiden,1948
Heineken International,Consumer goods,Brewers,Amsterdam,1864
HEMA,Consumer goods,Variety,Amsterdam,1926
High-Logic,Technology,Software,De Bilt,1997
Hotels.nl,Consumer services,Travel & tourism,Groningen,2001
Hunkemöller,Consumer services,Apparel retailers,Hilversum,1886
Hunter Douglas,Industrials,Building,Rotterdam,1919
IKEA,Consumer services,Home improvement retailers,Leiden,1942
ING Group,Financials,Banks,Amsterdam,1991
Interxion,Technology,Datacentres,Schiphol-Rijk,1998
IPTP Networks,Telecommunications,Fixed line telecommunications,Amsterdam,1996
Jumbo,Consumer goods,Food retailers & wholesalers,Veghel,1921
Just Eat Takeaway,Technology,Consumer digital services,Amsterdam,2000
KLM,Consumer services,Airlines,Amstelveen,1919
KPMG,Industrials,Business support services,Amstelveen,1987
KPN,Telecommunications,Fixed line telecommunications,The Hague,1852
LandFighter,Consumer goods,Automobiles,Best,2011
LeasePlan,Consumer services,Rental and leasing services,Amsterdam,1963
Liander,Utilities,Conventional electricity,Arnhem,2008
Lucas Bols,Consumer goods,Distillers & vintners,Amsterdam,1575
Martinair,Consumer services,Airlines,Schiphol-Oost,1958
Nederlandse Spoorwegen,Industrials,Railroads,Utrecht,1938
Nipparts,Consumer goods,Auto parts,Amsterdam,1981
Nutricia,Consumer goods,Food products,Amsterdam,1896
Nuon Energy,Utilities,Multiutilities,Amsterdam,1995
NXP Semiconductors,Technology,Semiconductors,Eindhoven,1953
Océ,Technology,Electronic office equipment,Venlo,1877
Perfetti Van Melle,Consumer goods,Food products,Lainate,2001
Philips,Consumer goods,Consumer electronics,Eindhoven,1891
PostNL,Industrials,Delivery services,The Hague,1998
Prosus,Technology,Consumer digital services,Amsterdam,2019
Q-Park,Consumer services,Parking,Maastricht,1998
Rabobank,Financials,Banks,Utrecht,1972
Randstad Holding,Industrials,Business support services,Diemen,1960
Royal BAM Group,Industrials,Heavy construction,Bunnik,1869
Royal Boskalis Westminster,Industrials,Heavy construction,Papendrecht,1910
Royal Imtech N.V.,Industrials,Electrical components & equipment,Gouda,1860
Royal Schiphol Group,Industrials,Transportation services,Schiphol,1916
Royal Van Oord,Industrials,Heavy construction,Rotterdam,1868
SBM Offshore,Oil & gas,Oil equipment & services,Schiedam,1965
Serpent Model Racing Cars,Consumer goods,Recreational products,Heemstede,1980
SHV Holdings,Industrials,Diversified industrials,Utrecht,1896
SPAR,Consumer goods,Food retailers & wholesalers,Amsterdam,1932
Spyker Cars,Consumer goods,Automobiles,Zeewolde,1999
Stork B.V.,Industrials,Aerospace,Naarden,1868
Talpa Network,Consumer services,Broadcasting & entertainment,Hilversum,2004
Tele2 Netherlands,Telecommunications,Fixed line telecommunications,Amsterdam,1993
Telfort,Telecommunications,Mobile telecommunications,Alphen aan den Rijn,1997
Thales Nederland,Industrials,Defence & Electronics,Hengelo,1922
TMF Group,Industrials,Financial administration,Amsterdam,1988
TNT Express,Industrials,Delivery services,Hoofddorp,2011
TomTom,Technology,Software,Amsterdam,1991
Tony's Chocolonely,Consumer goods,Food products,Amsterdam,2005
Transavia,Consumer services,Airlines,Schiphol-Oost,1965
Triodos Bank,Financials,Banks,Zeist,1980
Trust,Technology,Computer hardware,Dordrecht,1981
TUI fly Netherlands,Consumer services,Airlines,Schiphol-Rijk,2005
Vanguard Dutch Marine,Consumer goods,Recreational products,Heerenveen,2008
VDL Bus & Coach,Industrials,Commercial vehicles & trucks,Valkenswaard,1993
VDL NedCar,Consumer goods,Automobile,Born,1967
Vedior,Industrials,Business training & employment agencies,Amsterdam,1998
VEON,Telecommunications,Mobile telecommunications,Amsterdam,2009
Verenigde Nederlandse Uitgeverijen,Consumer services,Publishing,Haarlem,1964
Vitol,Energy,"Oil, gas & coal",Rotterdam,1966
Vodafone Netherlands,Telecommunications,Mobile telecommunications,Maastricht,1995
VolkerWessels,Industrials,Heavy construction,Amersfoort,1854
Wavin,Industrials,Building materials & fixtures,Zwolle,1955
WE,Consumer goods,Apparel retailers,Utrecht,1917
Wercker,Technology,Software,Amsterdam,2011
Wolters Kluwer,Industrials,Business support services,Alphen aan den Rijn,1836
