name,market_cap,stock,country,sector,industry,headquarters,founded,employees,ceo
Costco Wholesale Corporation,$258.15 B,COST,United States,Consumer Staples,Discount Stores,"Issaquah,WA,UnitedStates"," July 12, 1976"," 288,000", Mr. W. Craig Jelinek
Broadcom Inc.,$265.27 B,AVGO,United States,Technology,Semiconductors,"SanJose,CA,UnitedStates", 1961," 20,000", Mr. Hock E. Tan
Eli Lilly and Company,$273.01 B,LLY,United States,Healthcare,Drug Manufacturers—General,"Indianapolis,IN,UnitedStates", 1876," 35,000", Mr. David A. Ricks
The Coca-Cola Company,$273.20 B,KO,United States,Consumer Staples,Beverages—Non-Alcoholic,"Atlanta,GA,UnitedStates"," January 29, 1892"," 79,000", Mr. James Robert B. Quincey
ASML Holding N.V.,$274.35 B,ASML,Netherlands,Technology,Semiconductor Equipment & Materials,"Veldhoven,Netherlands", 1984," 29,861", Mr. Peter T. F. M. Wennink
Alibaba Group Holding Limited,$290.40 B,9988,China,Consumer Discretionary,Internet Retail,"Hangzhou,China", 28 June 1999," 259,316", Mr. Yong  Zhang
AbbVie Inc.,$294.27 B,ABBV,United States,Healthcare,Drug Manufacturers—General,"NorthChicago,IL,UnitedStates", 2013," 50,000", Mr. Richard A. Gonzalez
Pfizer Inc.,$300.79 B,PFE,United States,Healthcare,Drug Manufacturers—General,"NewYork,NY,UnitedStates", 1849," 79,000"," Dr. Albert  Bourla D.V.M., DVM, Ph.D."
Chevron Corporation,$315.13 B,CVX,United States,Energy,Oil & Gas Integrated,"SanRamon,CA,UnitedStates"," September 10, 1879"," 42,595", Mr. Michael K. Wirth
"The Home Depot, Inc.",$321.47 B,HD,United States,Consumer Discretionary,Home Improvement Retail,"Atlanta,GA,UnitedStates"," February 6, 1978"," 490,600", Mr. Edward P. Decker
Kweichow Moutai Co. Ltd,$348.22 B,600519,China,Consumer Staples,Beverages—Wineries & Distilleries,"Renhuai,China",," 29,031",
Exxon Mobil Corporation,$348.72 B,XOM,United States,Energy,Oil & Gas Integrated,"Irving,TX,UnitedStates"," November 30, 1999"," 63,000", Mr. Darren W. Woods
Roche Holding AG,$349.50 B,ROG,Switzerland,Healthcare,Drug Manufacturers—General,"Basel,Switzerland",," 100,920", Dr. Severin  Schwan Ph.D.
Bank of America Corporation,$350.84 B,BAC,United States,Financials,Banks,"Charlotte,NC,UnitedStates", 1998," 208,000", Mr. Brian Thomas Moynihan
Mastercard Incorporated,$358.60 B,MA,United States,Financials,Credit Services,"Purchase,NY,UnitedStates", 1966," 24,000", Mr. Michael  Miebach
"LVMH Moët Hennessy - Louis Vuitton, SE",$359.26 B,MC,France,Consumer Discretionary,Luxury Goods,"Paris,France",," 148,343", Mr. Bernard  Arnault
"Samsung Electronics Co., Ltd.",$378.35 B,005930,South Korea,Technology,Consumer Electronics,"Suwon-si,SouthKorea",,, Mr. Jong-Hee  Han
The Procter & Gamble Company,$384.60 B,PG,United States,Consumer Staples,Household & Personal Products,"Cincinnati,OH,UnitedStates"," October 31, 1837"," 101,000", Mr. Jon R. Moeller
JPMorgan Chase & Co.,$410.84 B,JPM,United States,Financials,Banks,"NewYork,NY,UnitedStates"," December 1, 2000"," 271,025", Mr. James  Dimon
Walmart Inc.,$429.05 B,WMT,United States,Consumer Staples,Discount Stores,"Bentonville,AR,UnitedStates"," July 2, 1962"," 2,300,000", Mr. C. Douglas McMillon
Tencent Holdings Ltd,$441.17 B,0700,China,Communication Services,Internet Content & Information,"Shenzhen,China",," 112,771", Mr. Huateng Pony  Ma
Johnson & Johnson,$475.93 B,JNJ,United States,Healthcare,Drug Manufacturers—General,"NewBrunswick,NJ,UnitedStates", January 1886," 141,700", Mr. Joaquin  Duato
Visa Inc.,$486.77 B,V,United States,Financials,Credit Services,"SanFrancisco,CA,UnitedStates"," September 18, 1958"," 21,500", Mr. Alfred Francis Kelly Jr.
UnitedHealth Group Incorporated,$488.52 B,UNH,United States,Healthcare,Healthcare Plans,"Minnetonka,MN,UnitedStates", 1977," 350,000", Sir Andrew Philip Witty
Taiwan Semiconductor Manufacturing Company Limited,$527.89 B,2330,Taiwan,Technology,Semiconductors,"Hsinchu,Taiwan"," Industrial Technology Research Institute, Hsinchu, Taiwan.1987"," 54,193", Dr. C. C.  Wei
"Meta Platforms, Inc.",$617.50 B,META,United States,Communication Services,Internet Content & Information,"MenloPark,CA,UnitedStates"," January 4, 2004"," 71,970", Mr. Mark Elliot Zuckerberg
Nvidia Corporation,$660.38 B,NVDA,United States,Technology,Semiconductors,"SantaClara,CA,UnitedStates"," April 5, 1993"," 22,473", Mr. Jen-Hsun  Huang
Berkshire Hathaway Inc.,$798.47 B,BRK.A,United States,Financials,Financial Conglomerates,"Omaha,NE,UnitedStates", 1839," 372,000", Mr. Warren E. Buffett
"Tesla, Inc.",$1.016 T,TSLA,United States,Consumer Discretionary,Auto Manufacturers,"PaloAlto,CA,UnitedStates"," July 1, 2003"," 99,290", Mr. Elon R. Musk
"Amazon.com, Inc.",$1.642 T,AMZN,United States,Consumer Discretionary,Internet Retail,"Seattle,WA,UnitedStates"," July 5, 1994"," 1,608,000", Mr. Andrew R. Jassy
Alphabet Inc.,$1.825 T,GOOG,United States,Communication Services,Internet Content & Information,"MountainView,CA,UnitedStates"," October 2, 2015"," 156,500", Mr. Sundar  Pichai
Saudi Arabian Oil Company,$2.297 T,2222,Saudi Arabia,Energy,Oil & Gas Integrated,"Dhahran,SaudiArabia",,, Mr. Amin H. Nasser
Microsoft Corporation,$2.328 T,MSFT,United States,Technology,Software—Infrastructure,"Redmond,WA,UnitedStates"," April 4, 1975"," 181,000", Mr. Satya  Nadella
Apple Inc.,$2.825 T,AAPL,United States,Technology,Consumer Electronics,"Cupertino,CA,UnitedStates"," April 1, 1976"," 100,000", Mr. Timothy D. Cook
"Advanced Micro Devices, Inc.",$128.29 B,AMD,United States,Technology,Semiconductors,"SantaClara,CA,UnitedStates"," May 1, 1969"," 15,500", Dr. Lisa T. Su Ph.D.
Deere & Company,$130.31 B,DE,United States,Industrials,Farm & Heavy Construction Machinery,"Moline,IL,UnitedStates", 1837," 75,550", Mr. John C. May II
Sanofi,$132.29 B,SAN,France,Healthcare,Drug Manufacturers—General,"Paris,France", 1973," 95,442", Mr. Paul  Hudson
"PayPal Holdings, Inc.",$133.92 B,PYPL,United States,Financials,Credit Services,"SanJose,CA,UnitedStates", December 1998," 30,900", Mr. Daniel H. Schulman
SAP SE,$134.19 B,SAP,Germany,Technology,Software—Application,"Walldorf,Germany"," Weinheim, Germany1972"," 107,415", Mr. Christian  Klein
Ping An Insurance (Group) Company of China Ltd,$134.25 B,601318,China,Financials,Insurance—Life,"Shenzhen,China",," 355,982", Mr. Bo  Yao
CVS Health Corporation,$135.27 B,CVS,United States,Healthcare,Healthcare Plans,"Woonsocket,RI,UnitedStates", 1963," 216,000", Ms. Karen Sue Lynch
ConocoPhillips,$136.32 B,COP,United States,Energy,Oil & Gas E&P,"Houston,TX,UnitedStates", 30 August 2002," 9,900", Mr. Ryan M. Lance
Honeywell International Inc.,$136.48 B,HON,United States,Industrials,Specialty Industrial Machinery,"Charlotte,NC,UnitedStates", 1906," 99,000", Mr. Darius E. Adamczyk
TotalEnergies SE,$137.50 B,TTE,France,Energy,Oil & Gas Integrated,"Paris,France", 28 March 1924," 105,476", Mr. Patrick  PouyannÃ©
China Mobile Ltd,$139.30 B,0941,Hong Kong,Communication Services,Telecom Services,"HongKong,HongKong",," 449,934", Mr. Xin  Dong
HSBC Holdings plc,$140.15 B,HSBA,United Kingdom,Financials,Banks,"London,UnitedKingdom", First established on 3 March 1865," 219,697", Mr. Noel Paul Quinn
Bank of China Ltd,$141.22 B,601988,China,Financials,Banks,"Beijing,China",," 309,084",
Amgen Inc.,$141.72 B,AMGN,United States,Healthcare,Drug Manufacturers—General,"ThousandOaks,CA,UnitedStates"," April 8, 1980"," 24,200", Mr. Robert A. Bradway
"Lowe's Companies, Inc.",$143.77 B,LOW,United States,Consumer Discretionary,Home Improvement Retail,"Mooresville,NC,UnitedStates"," March 25, 1921"," 300,000", Mr. Marvin R. Ellison
Commonwealth Bank of Australia,$144.32 B,CBA,Australia,Financials,Banks,"Sydney,NSW,Australia", 22 December 1911," 47,532", Mr. Matthew  Comyn
PetroChina Company Limited,$144.50 B,601857,China,Energy,Oil & Gas Integrated,"Beijing,China", 5 November 1999," 432,003",
Toronto-Dominion Bank,$145.41 B,TD,Canada,Financials,Banks,"Toronto,ON,Canada", 1 February 1955," 90,000", Mr. Bharat B. Masrani
Hermès International SCA,$148.98 B,RMS,France,Consumer Discretionary,Luxury Goods,"Paris,France", 1837," 17,595",
American Express Company,$150.76 B,AXP,United States,Financials,Credit Services,"NewYork,NY,UnitedStates"," March 18, 1850"," 64,000", Mr. Stephen Joseph Squeri
Raytheon Technologies Corporation,$150.96 B,RTX,United States,Industrials,Aerospace & Defense,"Waltham,MA,UnitedStates", 2020," 174,000", Mr. Gregory J. Hayes
Medtronic plc,$151.06 B,MDT,Ireland,Healthcare,Medical Devices,"Dublin,Ireland", 2001 ," 90,000", Mr. Geoffrey Straub Martha
Philip Morris International Inc.,$154.71 B,PM,United States,Consumer Staples,Tobacco,"NewYork,NY,UnitedStates", 2008," 69,600", Mr. Jacek  Olczak
The Charles Schwab Corporation,$158.06 B,SCHW,United States,Financials,Capital Markets,"SanFrancisco,CA,UnitedStates", 1971," 33,400", Mr. Walter William Bettinger II
Royal Bank of Canada,$159.74 B,RY,Canada,Financials,Banks,"Toronto,ON,Canada",," 85,211", Mr. David I. McKay
"Netflix, Inc.",$163.19 B,NFLX,United States,Communication Services,Entertainment,"LosGatos,CA,UnitedStates"," August 29, 1997"," 11,300", Mr. Wilmot Reed Hastings Jr.
Morgan Stanley,$164.05 B,MS,United States,Financials,Capital Markets,"NewYork,NY,UnitedStates", 1935," 75,000", Mr. James Patrick Gorman
"T-Mobile US, Inc.",$164.31 B,TMUS,United States,Communication Services,Telecom Services,"Bellevue,WA,UnitedStates", 1994," 75,000", Mr. G. Michael Sievert
Agricultural Bank of China Ltd,$165.00 B,601288,China,Financials,Banks,"Beijing,China",," 459,000",
"NextEra Energy, Inc.",$165.53 B,NEE,United States,Utilities,Utilities—Regulated Electric,"JunoBeach,FL,UnitedStates", 1984," 15,000", Mr. John W. Ketchum
Linde plc,$166.07 B,LIN,United Kingdom,Basic Materials,Specialty Chemicals,"Guildford,UnitedKingdom", 21 June 1879," 72,327", Mr. Sanjiv  Lamba
Prosus N.V.,$170.00 B,PRX,Netherlands,Communication Services,Internet Content & Information,"Amsterdam,Netherlands",," 23,939", Mr. Bob  van Dijk
Bristol-Myers Squibb Company,$170.56 B,BMY,United States,Healthcare,Drug Manufacturers—General,"NewYork,NY,UnitedStates", 1887," 32,200", Dr. Giovanni  Caforio M.D.
Texas Instruments Incorporated,$171.28 B,TXN,United States,Technology,Semiconductors,"Dallas,TX,UnitedStates", 1930," 31,000", Mr. Richard K. Templeton
Qualcomm Incorporated,$172.25 B,QCOM,United States,Technology,Semiconductors,"SanDiego,CA,UnitedStates", July 1985," 45,000", Mr. Cristiano Renno Amon
AT&T Inc.,$175.88 B,T,United States,Communication Services,Telecom Services,"Dallas,TX,UnitedStates"," October 5, 1983"," 203,000", Mr. John T. Stankey
Union Pacific Corporation,$184.19 B,UNP,United States,Industrials,Railroads,"Omaha,NE,UnitedStates", 1969 ," 29,905", Mr. Lance M. Fritz
Contemporary Amperex Technology Co. Ltd,$185.67 B,300750,China,Industrials,Electrical Equipment & Parts,"Ningde,China",," 33,078",
China Merchants Bank Co Ltd,$185.98 B,600036,China,Financials,Banks,"Shenzhen,China",," 103,669", Mr. Huiyu  Tian MPA
McDonald's Corporation,$186.57 B,MCD,United States,Consumer Discretionary,Restaurants,"Chicago,IL,UnitedStates"," May 15, 1940"," 100,000", Mr. Christopher J. Kempczinski
China Construction Bank Corp,$189.37 B,601939,China,Financials,Banks,"Beijing,China",," 373,814",
"United Parcel Service, Inc.",$190.50 B,UPS,United States,Industrials,Integrated Freight & Logistics,"Atlanta,GA,UnitedStates"," August 28, 1907"," 267,890", Ms. Carol B. Tome
"salesforce.com, inc.",$193.80 B,CRM,United States,Technology,Software—Application,"SanFrancisco,CA,UnitedStates"," February 3, 1999"," 73,541", Mr. Marc R. Benioff
Adobe Inc.,$199.57 B,ADBE,United States,Technology,Software—Infrastructure,"SanJose,CA,UnitedStates", December 1982," 25,988", Mr. Shantanu  Narayen
Wells Fargo & Company,$200.01 B,WFC,United States,Financials,Banks,"SanFrancisco,CA,UnitedStates", 1929," 247,848", Mr. Charles W. Scharf
Intel Corporation,$201.72 B,INTC,United States,Technology,Semiconductors,"SantaClara,CA,UnitedStates"," July 18, 1968"," 121,100", Mr. Patrick P. Gelsinger
AstraZeneca plc,$201.75 B,AZN,United Kingdom,Healthcare,Drug Manufacturers—General,"Cambridge,UnitedKingdom", 6 April 1999," 83,100"," Mr. Pascal  Soriot D.V.M., M.B.A."
Novartis AG,$204.13 B,NOVN,Switzerland,Healthcare,Drug Manufacturers—General,"Basel,Switzerland", March 1996," 104,323",
Shell plc,$207.68 B,SHEL,United Kingdom,Energy,Oil & Gas Integrated,"London,UnitedKingdom",," 87,000", Mr. Ben  Van Beurden
Airbus SE,$97.41 B,AIR,Netherlands,Industrials,Aerospace & Defense,"Leiden,Netherlands",," 121,056", Mr. Guillaume M.J.D Faury
Petróleo Brasileiro S.A. - Petrobras,$98.37 B,PBR,Brazil,Energy,Oil & Gas Integrated,"RioDeJaneiro,RJ,Brazil", 3 October 1953," 46,416", Mr. Joaquim Silva e Luna
Allianz SE,$98.47 B,ALV,Germany,Financials,Insurance—Diversified,"Munich,Germany",," 155,411", Mr. Oliver  Bate
Chubb Limited,$98.57 B,CB,Switzerland,Financials,Insurance—Property & Casualty,"Zurich,Switzerland"," Hamilton, Bermuda 1985"," 31,000", Mr. Evan G. Greenberg
Daimler AG,$98.79 B,DAI,Germany,Consumer Discretionary,Auto Manufacturers,"Stuttgart,Germany",," 289,282", Mr. Ola  Kallenius
General Electric Company,$99.22 B,GE,United States,Industrials,Specialty Industrial Machinery,"Boston,MA,UnitedStates"," April 15, 1892"," 168,000", Mr. H. Lawrence Culp Jr.
The Estée Lauder Companies Inc.,$100.16 B,EL,United States,Consumer Staples,Household & Personal Products,"NewYork,NY,UnitedStates", 1946," 44,640", Mr. Fabrizio  Freda
S&P Global Inc.,$100.84 B,SPGI,United States,Financials,Financial Data & Stock Exchanges,"NewYork,NY,UnitedStates", 1917," 22,850", Mr. Douglas L. Peterson M.B.A.
Stryker Corporation,$101.41 B,SYK,United States,Healthcare,Medical Devices,"Kalamazoo,MI,UnitedStates", 1941," 46,000", Mr. Kevin A. Lobo
British American Tobacco plc,$101.44 B,BATS,United Kingdom,Consumer Staples,Tobacco,"London,UnitedKingdom", 1902," 54,365", Mr. Jack Marie Henry David Bowles
"Altria Group, Inc.",$102.98 B,MO,United States,Consumer Staples,Tobacco,"Richmond,VA,UnitedStates", 1985," 6,000", Mr. William F. Gifford Jr.
Nippon Telegraph & Telephone Corp,$103.75 B,9432,Japan,Communication Services,Telecom Services,"Tokyo,Japan",," 324,667", Mr. Jun  Sawada
Saudi Basic Industries Corp,$104.00 B,2010,Saudi Arabia,Basic Materials,Chemicals,"Riyadh,SaudiArabia",,, Mr. Yousef  Bin Abdullah Al-Benyan
BYD Co Ltd,$104.42 B,002594,China,Consumer Discretionary,Auto Manufacturers,"Shenzhen,China",," 224,280", Mr. Chuan-Fu  Wang
"Charter Communications, Inc.",$104.97 B,CHTR,United States,Communication Services,Entertainment,"Stamford,CT,UnitedStates", 1993," 93,700", Mr. Thomas M. Rutledge
"Airbnb, Inc.",$105.07 B,ABNB,United States,Communication Services,Internet Content & Information,"SanFrancisco,CA,UnitedStates", August 2008," 6,132", Mr. Brian  Chesky
Al Rajhi Banking and Investment Corp,$106.37 B,1120,Saudi Arabia,Financials,Banks,"Riyadh,SaudiArabia",," 15,078",
Infosys Limited,$106.77 B,INFY,India,Technology,Information Technology Services,"Bengaluru,India", 2 July 1981," 292,067", Mr. Salil Satish Parekh
Target Corporation,$106.89 B,TGT,United States,Consumer Staples,Discount Stores,"Minneapolis,MN,UnitedStates"," June 24, 1902"," 450,000", Mr. Brian C. Cornell
"ServiceNow, Inc.",$107.99 B,NOW,United States,Technology,Software—Application,"SantaClara,CA,UnitedStates", 2003," 16,881", Mr. William R. McDermott
Vale SA,$107.99 B,VALE3,Brazil,Basic Materials,Other Industrial Metals & Mining,"RiodeJaneiro,RJ,Brazil",,,
Starbucks Corporation,$108.19 B,SBUX,United States,Consumer Discretionary,Restaurants,"Seattle,WA,UnitedStates"," March 30, 1971"," 383,000", Mr. Kevin R. Johnson
Volkswagen AG,$108.63 B,VOW3,Germany,Consumer Discretionary,Auto Manufacturers,"Wolfsburg,Germany",," 645,318", Dr. Herbert  Diess
Citigroup Inc.,$109.56 B,C,United States,Financials,Banks,"NewYork,NY,UnitedStates"," October 8, 1998"," 220,092", Ms. Jane Nind Fraser
GlaxoSmithKline plc,$109.98 B,GSK,United Kingdom,Healthcare,Drug Manufacturers—General,"Brentford,UnitedKingdom", December 2000," 90,096", Ms. Emma N. Walmsley
Siemens AG,$114.66 B,SIE,Germany,Industrials,Specialty Industrial Machinery,"Munich,Germany",," 303,000", Dr. Roland  Busch Dipl.Phys.
American Tower Corporation (REIT),$115.11 B,AMT,United States,Real Estate,REIT—Specialty,"Boston,MA,UnitedStates", 1995," 6,378", Mr. Thomas A. Bartlett CPA
Diageo plc,$115.58 B,DGE,United Kingdom,Consumer Staples,Beverages—Wineries & Distilleries,"London,UnitedKingdom",," 27,783", Mr. Ivan M. Menezes
HDFC Bank Limited,$115.68 B,HDB,India,Financials,Banks,"Mumbai,India",," 134,412", Mr. Sashidhar  Jagdishan
"BlackRock, Inc.",$115.98 B,BLK,United States,Financials,Asset Management,"NewYork,NY,UnitedStates", 1988," 18,400", Mr. Laurence Douglas Fink
Unilever plc,$117.84 B,ULVR,United Kingdom,Consumer Staples,Household & Personal Products,"London,UnitedKingdom", 2 September 1929," 148,012", Mr. Alan W. Jope
International Business Machines Corporation,$119.20 B,IBM,United States,Technology,Information Technology Services,"Armonk,NY,UnitedStates"," June 16, 1911"," 282,100", Mr. Arvind  Krishna
"Anthem, Inc.",$119.80 B,ANTM,United States,Healthcare,Healthcare Plans,"Indianapolis,IN,UnitedStates", Anthem and WellPoint Health Networks merger in 2004," 98,200", Ms. Gail Koziara Boudreaux
"Applied Materials, Inc.",$121.12 B,AMAT,United States,Technology,Semiconductor Equipment & Materials,"SantaClara,CA,UnitedStates"," November 10, 1967"," 28,500", Mr. Gary E. Dickerson
"Prologis, Inc.",$121.20 B,PLD,United States,Real Estate,REIT—Industrial,"SanFrancisco,CA,UnitedStates", 1983," 2,053", Mr. Hamid R. Moghadam
