,id,name,official_name,headquarters_country,headquarters_continent,founded,employees,ceo,market_cap,categories,gbp
311,9249741910974c0c9598948ccf4fae12,china tourism group duty free corp ltd,,beijing,china,0,"14,217",,doll_cn¥321.08 b,"['china', 'consumerdiscretionary', 'travelservices', 'chinaconsumerdiscretionary', 'chinatravelservices']",doll_50.46 b
312,e223c8d2d29549749d77e3b6f982647b,hon hai precision industry co. ltd,,newtaipeicity,taiwan,0,,,twdoll_1.455 t,"['taiwan', 'technology', 'electroniccomponents', 'taiwantechnology', 'taiwanelectroniccomponents']",doll_50.75 b
313,6ff84049e495496fa06a39edfbcf5a88,fortescue metals group limited,,eastperth,wa,2003,"10,232",ms. elizabeth anne gaines ca,adoll_67.68 b,"['australia', 'basicmaterials', 'otherindustrialmetals&mining', 'australiabasicmaterials', 'australiaotherindustrialmetals&mining']",doll_50.76 b
314,2b7ac62df3024eeb87982b6fec3426d3,"american electric power company, inc.",,columbus,oh,1906,"16,688",mr. nicholas k. akins,doll_50.95 b,"['unitedstates', 'utilities', 'utilities—regulatedelectric', 'unitedstatesutilities', 'unitedstatesutilities—regulatedelectric']",0
315,ffe2542faf7040fab7f97641c0b5f32a,archer-daniels-midland company,,chicago,il,0,"39,218",mr. juan ricardo luciano,doll_51.03 b,"['unitedstates', 'consumerstaples', 'farmproducts', 'unitedstatesconsumerstaples', 'unitedstatesfarmproducts']",0
316,6ddb786089744961b10e45b8994623fa,general accident plc,,,,0,,,doll_£39.22 b,"['unitedkingdom', 'financials', 'insurance—property&casualty', 'unitedkingdomfinancials', 'unitedkingdominsurance—property&casualty']",doll_51.43 b
317,0cd4730bd6514d7ea1a06f3dfbdde7b9,"agribank, fcb",,saintpaul,mn,0,,,doll_51.49 b,"['unitedstates', 'financials', 'creditservices', 'unitedstatesfinancials', 'unitedstatescreditservices']",0
318,dd5532e457244e99b2490e53b37df13e,"l3harris technologies, inc.",,melbourne,fl,0,"47,000","mr. christopher e. kubasik cpa, cpa",doll_51.51 b,"['unitedstates', 'industrials', 'aerospace&defense', 'unitedstatesindustrials', 'unitedstatesaerospace&defense']",0
319,9c8f2422edb845688181e31c283f5d73,toyota,toyota motor corporation,toyota,japan,0,"371,365",mr. akio  toyoda,doll_¥6.316 t,"['japan', 'consumerdiscretionary', 'automanufacturers', 'japanconsumerdiscretionary', 'japanautomanufacturers']",doll_51.55 b
320,ac2a8b2612ac450fad382ebac674ccea,denso corp,,kariya,japan,0,"168,391",mr. koji  arima,doll_¥6.319 t,"['japan', 'consumerdiscretionary', 'autoparts', 'japanconsumerdiscretionary', 'japanautoparts']",doll_51.58 b
321,8b0c506aea9042cb85bcea87f0aec415,bce inc.,,verdun,qc,1983,"49,781",mr. mirko  bibic,cdoll_64.73 b,"['canada', 'communicationservices', 'telecomservices', 'canadacommunicationservices', 'canadatelecomservices']",doll_51.71 b
322,970f273130354f16b8e0777271821760,stellantis n.v.,,,,0,,,doll_€46.88 b,"['netherlands', 'consumerdiscretionary', 'automanufacturers', 'netherlandsconsumerdiscretionary', 'netherlandsautomanufacturers']",doll_51.80 b
