,name,mastercap,country,industry,sector
347,pz cussons plc,doll_1.08 b,united kingdom,household & personal products,consumer staples
348,blackrock smaller companies trust,doll_1.07 b,united kingdom,asset management,financials
349,jpmorgan japanese investment trust plc,doll_1.06 b,united kingdom,asset management,financials
350,digital 9 infrastructure plc,doll_1.06 b,united kingdom,asset management,financials
351,aberdeen total dynamic dividend fund,doll_1.06 b,united kingdom,asset management,financials
352,standard life private equity trust plc,doll_1.06 b,united kingdom,asset management,financials
353,mitie group plc,doll_1.05 b,united kingdom,specialty business services,industrials
354,icg enterprise trust plc,doll_1.04 b,united kingdom,asset management,financials
355,4imprint group plc,doll_1.04 b,united kingdom,advertising agencies,communication services
356,sdcl energy efficiency income trust plc,doll_1.04 b,united kingdom,asset management,financials
357,caretech holdings plc,doll_1.04 b,united kingdom,medical care facilities,healthcare
358,"global ship lease, inc.",doll_1.03 b,united kingdom,marine shipping,industrials
359,capital gearing trust plc,doll_1.03 b,united kingdom,asset management,financials
360,liontrust asset management plc,doll_1.02 b,united kingdom,asset management,financials
361,bicycle therapeutics plc,doll_1.02 b,united kingdom,biotechnology,healthcare
362,stock spirits group plc,0,united kingdom,beverageswineries & distilleries,consumer staples
363,provident financial plc,doll_1.01 b,united kingdom,credit services,financials
364,baillie gifford japan trust plc,doll_1.01 b,united kingdom,asset management,financials
365,focusrite plc,doll_1.01 b,united kingdom,leisure,consumer discretionary
366,temple bar investment trust plc,doll_998.7 m,united kingdom,asset management,financials
367,pantheon resources plc,doll_997.0 m,united kingdom,oil & gas e&p,energy
368,cmc markets plc,doll_985.2 m,united kingdom,capital markets,financials
369,tullow oil plc,doll_983.5 m,united kingdom,oil & gas e&p,energy
370,tr european growth trust plc,0,united kingdom,asset management,financials
371,henderson smaller companies investment trust,doll_960.6 m,united kingdom,asset management,financials
372,ienergizer limited,doll_957.5 m,united kingdom,information technology services,technology
373,baillie gifford us growth trust plc,doll_955.4 m,united kingdom,asset management,financials
374,standard life uk smaller companies trust plc,0,united kingdom,asset management,financials
375,warehouse reit plc,doll_946.9 m,united kingdom,reitindustrial,real estate
376,the merchants trust plc,doll_946.4 m,united kingdom,asset management,financials
377,schroder oriental income fund limited,doll_945.6 m,united kingdom,asset management,financials
378,nb private equity partners limited,doll_937.2 m,united kingdom,asset management,financials
379,jpmorgan global growth & income plc,doll_931.6 m,united kingdom,asset management,financials
380,elementis plc,doll_928.5 m,united kingdom,specialty chemicals,basic materials
381,ibstock plc,doll_925.5 m,united kingdom,building materials,basic materials
382,team17 group plc,doll_920.7 m,united kingdom,electronic gaming & multimedia,communication services
383,crest nicholson holdings plc,doll_915.0 m,united kingdom,residential construction,consumer discretionary
384,marlowe plc,doll_906.3 m,united kingdom,security & protection services,industrials
385,yellow cake plc,doll_905.8 m,united kingdom,uranium,energy
386,bh macro limited gbp,doll_904.5 m,united kingdom,asset management,financials
387,blackrock throgmorton trust plc,doll_904.0 m,united kingdom,asset management,financials
388,discoverie group plc,doll_903.9 m,united kingdom,electronic components,technology
389,treatt plc,doll_903.4 m,united kingdom,specialty chemicals,basic materials
390,mccarthy & stone plc,0,united kingdom,medical care facilities,healthcare
391,equiniti group plc,0,united kingdom,softwareinfrastructure,technology
392,"young & co.'s brewery, plc",doll_891.4 m,united kingdom,restaurants,consumer discretionary
393,alternative credit investments plc,0,united kingdom,asset management,financials
394,watkin jones plc,doll_882.2 m,united kingdom,residential construction,consumer discretionary
395,ergomed plc,doll_870.2 m,united kingdom,biotechnology,healthcare
396,bakkavor group plc,doll_867.6 m,united kingdom,packaged foods,consumer staples
397,the rank group plc,doll_853.8 m,united kingdom,gambling,consumer discretionary
398,hochschild mining plc,doll_852.3 m,united kingdom,gold,basic materials
399,third point investors limited,doll_836.6 m,united kingdom,asset management,financials
400,alliance pharma plc,doll_834.5 m,united kingdom,drug manufacturersspecialty & generic,healthcare
401,polar capital holdings plc,doll_830.3 m,united kingdom,asset management,financials
402,centessa pharmaceuticals ltd,doll_830.1 m,united kingdom,biotechnology,healthcare
403,tyman plc,doll_829.2 m,united kingdom,building products & equipment,industrials
404,restore plc,doll_828.8 m,united kingdom,specialty business services,industrials
405,ruffer investment company limited,doll_827.8 m,united kingdom,asset management,financials
406,pacific horizon investment trust,doll_823.5 m,united kingdom,asset management,financials
407,nextenergy solar ord,doll_817.8 m,united kingdom,asset management,financials
408,genius sports ltd,doll_812.9 m,united kingdom,internet content & information,communication services
409,"mas real estate, inc.",0,united kingdom,real estatediversified,real estate
410,the vitec group plc,doll_803.4 m,united kingdom,consumer electronics,technology
411,a.g. barr plc,doll_799.2 m,united kingdom,beveragesnon-alcoholic,consumer staples
412,advanced medical solutions group plc,doll_793.7 m,united kingdom,medical instruments & supplies,healthcare
413,the scottish investment trust plc,doll_791.8 m,united kingdom,asset management,financials
414,jpmorgan indian investment trust plc,doll_785.9 m,united kingdom,asset management,financials
415,keller group plc,doll_778.1 m,united kingdom,engineering & construction,industrials
416,reach plc,doll_777.1 m,united kingdom,publishing,communication services
417,bank of georgia group plc,doll_777.1 m,united kingdom,banks,financials
418,mortgage advice bureau (holdings) plc,doll_771.4 m,united kingdom,mortgage finance,financials
419,target healthcare reit plc,doll_769.6 m,united kingdom,reitdiversified,real estate
420,sabre insurance group plc,doll_766.4 m,united kingdom,insurance brokers,financials
421,m.p. evans group plc,doll_758.2 m,united kingdom,farm products,consumer staples
422,hotel chocolat group plc,doll_756.6 m,united kingdom,confectioners,consumer staples
