07-silvestri-market_value_jan_2020,03-gren-market_capitalization_2022,07-silvestri-revenue_2022,07-silvestri-market_value_jan_2022,04-iGMM-market_value__jan_1st_2020,04-iGMM-market_value__jan_07_2022,08-slytherin-revenue,02-GioPonSpiz-marketvalue,02-GioPonSpiz-marketcap,07-silvestri-market_value_jan_2021
doll_20.27 m,doll_121.4 b,doll_22.792 m,doll_38.47 m,doll_1.02 b,doll_1.21 b,doll_12.743 m,doll_1.21 b,doll_1.34 b,doll_27.34 m
doll_20.31 m,doll_121.27 b,doll_34.867 m,doll_38.47 m,doll_82.9 m,doll_1.21 b,doll_5.710 m,doll_1.21 b,doll_1.15 b,doll_27.53 m
doll_31.91 m,doll_120.85 b,0 million usd,doll_38.02 m,doll_1.2 b,doll_1.21 b,doll_50.971 m,doll_1.21 b,doll_1.26 b,doll_29.06 m
doll_39.39 m,doll_116.98 b,0 million usd,doll_37.79 m,doll_1.15 b,doll_1.17 b,doll_43.932 m,doll_1.17 b,doll_1.22 b,doll_27.81 m
doll_30.75 m,doll_116.4 b,doll_24.393 m,doll_37.52 m,doll_55.32 m,doll_1.16 b,doll_57.350 m,doll_1.16 b,doll_1.18 b,doll_39.84 m
doll_23.05 m,doll_115.85 b,doll_9.201 m,doll_37.19 m,doll_68.35 m,doll_1.16 b,doll_63.495 m,doll_1.16 b,doll_1.25 b,doll_29.57 m
doll_34.93 m,doll_114.33 b,doll_93.076 m,doll_37.06 m,doll_98.69 m,doll_1.14 b,doll_9.356 m,doll_1.14 b,doll_1.22 b,doll_48.66 m
doll_33.92 m,doll_113.66 b,doll_11.586 m,doll_36.77 m,doll_56.23 m,doll_1.14 b,doll_54.304 m,doll_1.14 b,doll_99.9 m,doll_41.95 m
doll_14.38 m,doll_112.71 b,doll_7.962 m,doll_36.7 m,doll_54.61 m,doll_1.13 b,doll_4.759 m,doll_1.13 b,doll_1.27 b,doll_21.12 m
doll_29.97 m,doll_111.35 b,0 million usd,doll_36.68 m,doll_1.03 b,doll_1.11 b,doll_133.170 m,doll_1.11 b,doll_1.16 b,doll_30.19 m
doll_39.78 m,doll_110.57 b,doll_63.768 m,doll_36.44 m,doll_64.86 m,doll_1.11 b,doll_106.000 m,doll_1.11 b,doll_1.21 b,doll_36.85 m
