06-MarScoToc-industry,06-MarScoToc-headquarter,06-MarScoToc-name
nbfc,"chennai, tamil nadu, india",hinduja housing finance
nbfc,"chennai, tamil nadu, india",hinduja housing finance
industrial machinery,"gurgaon, india",jns instruments
engineering & construction,"menlo park,california, united states",katerra
healthcare,"delhi/ncr, delhi, india",fortis escorts hospital
internet,"bangalore,karnataka, india",sharechat
healthcare,"indianapolis, indiana, united states (usa)",eli lilly and company
internet,"bangalore,karnataka, india",zoomcar
it services & consulting,"london, united kingdom (uk)",xchanging
engineering & construction,,l&t heavy civil infrastructure
it services & consulting,"nagpur, maharashtra, india",ceinsys tech
it services & consulting,,capgemini india technology services
pharma,"rahway, new jersey, us",merck
beauty & personal care,"mumbai, maharashtra, india",richfeel health & beauty
edtech,"mumbai,maharashtra, india",testbook.com
jewellery,"kolkata, west bengal, india",senco gold
travel & tourism / hospitality,"brisbane, australia",fcm travel solutions
banking,"london, united kingdom",hsbc global services
engineering & construction,"mumbai, india",gammon engineers and contractors
auto components,"aurangabad, india","varroc engineering limited, vel-pn"
electrical equipment,,hitachi energy
oil & gas,"abu dhabi, uae",national petroleum construction company
internet,"bangalore,karnataka, india",housejoy
it services & consulting,"mumbai, maharashtra, india",harjai computers
analytics & kpo,"london, united kingdom",infiniti research
pharma,"chennai, india",apex laboratories
recruitment,"herndon, united states (usa)",lancesoft
auto components,"new delhi, india",continental engines
it services & consulting,"chennai, tamil nadu, india",ensure support services
banking,"mumbai, india",baroda global shared service
management consulting,,grass roots research & creation
media & entertainment,"mumbai, india",essel group
biotechnology,"hyderabad/secunderabad, telangana, india",indian immunologicals
industrial machinery,"noida, uttar pradesh, india",uniparts group
it services & consulting,"noida, uttar pradesh, india",appsierra
jewellery,"mumbai, maharashtra, india",reliance jewels
jewellery,"bengaluru, india",tanishq jewellery
it services & consulting,"southfield, united states",technosoft global services
it services & consulting,,wirpo technologies
law enforcement & security,"delhi/ncr, delhi, india",methodex
building material,"kolkata, west bengal, india",electrosteel casting
internet,"mumbai,maharashtra, india",pepperfry
fashion & textile,"panchkula, india",amartex industries
it services & consulting,"noida, uttar pradesh, india",osource india
building material,"chennai, tamil nadu, india",ramco industries
semiconductors,"gurgaon,haryana, india",exicom
food processing,"kolkata, west bengal, india",anmol industries
it services & consulting,"bangalore/bengaluru, karnataka, india",asm technologies
engineering & construction,,tata steel utilities and infrastructure services
industrial machinery,,escort kubota
power,"mumbai,maharashtra, india",waaree energies
electrical equipment,"mumbai, maharashtra, india",bharat bijlee
internet,"bangalore,karnataka, india",dunzo
it services & consulting,"alphen aan den rijn,south holland, netherlands",wolters kluwer
chemicals,"noida, uttar pradesh, india",india glycols
furniture & furnishing,"delhi/ncr, delhi, india",sheela foam
travel & tourism,"utrecht, utrecht, netherlands",bcd travel
auto components,"pune, maharashtra, india",tata toyo radiator
manufacturing,"delhi/ncr, delhi, india",pranav vikas india
logistics,"mumbai, india",grab a grub services
engineering & construction,"seoul, south korea",gs engineering & construction
logistics,"tokyo, japan",yusen logistics
furniture & furnishing,"kirchlengern, germany",hettich
it services & consulting,"mumbai, india",abm knowledgeware
law enforcement & security,"stockholm, sweden",securitas
auto components,"pune, maharashtra, india",tata marcopolo motors
retail,"mumbai, maharashtra, india",star bazaar
industrial machinery,"beijing, beijing, china",sany heavy industry
it services & consulting,"hyderabad/secunderabad, telangana, india",foray software
healthcare,"mumbai, maharashtra, india",p.d. hinduja national hospital and medical research centre
recruitment,"mumbai, maharashtra, india",s2 infotech
real estate,,l&t realty
auto components,"hosur, tamil nadu, india",india nippon electricals
it services & consulting,"columbus, georgia, united states (usa)",tsys card tech services
recruitment,"dehradun, uttarakhand, india",imsi
edtech,,internezy
other,"paris, ile de france, france",suez environnement
marketing & advertising,"san mateo, united states",regalix
healthcare,"pune, maharashtra, india",deenanath mangeshkar hospital
fashion & textile,"â arteixo, spain",zara
pharma,"hyderabad/secunderabad, telangana, india",sri krishna pharmaceuticals
ports & shipping,"helsinki, finland",wartsila
real estate,"bangalore/bengaluru, karnataka, india",brigade group
software product,"bangalore/bengaluru, karnataka, india",tally solutions
hardware & networking,"mumbai, maharashtra, india",gtl
it services & consulting,"mumbai, maharashtra, india",vda infosolutions
internet,"chicago,illinois, united states",groupon
engineering & construction,"bhopal, madhya pradesh, india",l. n. malviya infra projects group
agro chemicals,"kota, rajasthan, india",chambal fertilisers and chemicals
insurance,"hamilton, bermuda",axa xl
it services & consulting,"zurich, switzerland",infosys consulting
food processing,"london, united kingdom (uk)",cadbury
software product,"richardson,texas, united states",mavenir systems
,,bharat financial inclusion limited
it services & consulting,"mumbai, maharashtra, india",aurionpro solutions
recruitment,"london, england, united kingdom",skilliantech
it services & consulting,"palo alto,california, united states",jumio
railways,"jaipur, rajasthan, india",national engineering industries
logistics,"schindellegi, feusisberg, switzerland",kuehne + nagel
metals & mining,"mumbai, maharashtra, india",ashapura group of industries
agro chemicals,"ahmedabad, gujarat, india",gujarat ambuja exports
it services & consulting,"noida, uttar pradesh, india",fluper
auto components,"daejeon, south korea",hanon systems
it services & consulting,"houston, texas,, india",ergode it services
it services & consulting,"dallas, texas, us",quintessence business solutions & services
it services & consulting,"bangalore,karnataka, india",redbus
facility management services,"parsippany, new jersey, united states (usa)",gsh group
aviation,"mumbai, maharashtra, india",go first
telecom,"johannesburg, vaud, south africa",digicall teleservices
aviation,"mumbai, maharashtra, india",celebi nas airport services india
industrial machinery,"delhi/ncr, delhi, india",maxop engineering co.
healthcare,"hyderabad/secunderabad, telangana, india",piramal swasthya
printing & publishing,"gurgaon, india",rosmerta technologies
logistics,"mumbai, maharashtra, india",allcargo logistics
industrial machinery,"khandala, punjab, india",rieter
chemicals,"düsseldorf, north rhine-westphalia, germany",henkel adhesives technologies
telecom,"gurgaon, india",airtel dth services
media & entertainment,"noida, uttar pradesh, india",dainik jagran
pharma,"indore, madhya pradesh, india",symbiotec pharmalab
real estate,"delhi/ncr, delhi, india",ashiana housing
iron & steel,"pune, maharashtra, india",tata bluescope steel
pharma,"indore, madhya pradesh, india",symbiotec pharmalab
consumer electronics & appliances,"kolkata, west bengal, india",kutchina
pharma,"mumbai, maharashtra, india",rusan pharma
iron & steel,"pune, maharashtra, india",tata bluescope steel
chemicals / agri inputs,"nagpur, maharashtra, india",solar industries india
healthcare,"pune, maharashtra, india",sahyadri hospital
real estate,"mumbai,maharashtra, india",anarock property consultants
industrial machinery,"dublin, dublin, ireland",ingersoll rand
it services & consulting,"hyderabad/secunderabad, telangana, india",mantra technologies
it services & consulting,"newbury,west berkshire, united kingdom",micro focus
auto components,"kolkata, west bengal, india",birla tyres
real estate,"mumbai, maharashtra, india",runwal group
semiconductors,"santa clara, california, united states (usa)",applied materials
pharma,"kolkata, west bengal, india",tcg lifesciences
metals & mining,"delhi/ncr, new delhi, india",bharat aluminium company (balco)
industrial machinery,"kolkata, west bengal, india",gainwell commosales
it services & consulting,"mumbai,maharashtra, inda",kiya.ai
real estate,"gurgaon/gurugram, haryana, india",bptp
building material,"municipality of gavã, spain",roca bathroom products
travel & tourism,"mumbai, india",sotc travel services
edtech,"mumbai, maharashtra, india",jetking infotrain
,,anz support services
telecom,"ahmedabad, india",metrotelworks
it services & consulting,"milwaukee, wisconsin, united states (usa)",thought focus
internet,"bangalore,karnataka, india",porter
auto components,"plymouth, mi, united states (usa)",adient
auto components,"ahmedabad, gujarat, india",maxxis rubber
fmcg,"chennai, tamil nadu, india",lotte india corporation
food processing,"delhi/ncr, delhi, india",hamdard
iron & steel,"bangalore,karnataka, india",zetwerk manufacturing businesses
hospitality,"colonel sanders lane, louisville, united states (usa)",yum!
pharma,"santa clara, california, united states (usa)",agilent technologies
it services & consulting,"raleigh, north carolina, united states (usa)",red hat
food processing,"pune, maharashtra, india",nilons enterprises
real estate,"gurgaon/gurugram, haryana, india",unitech
fashion & textile,"bangalore/bengaluru, karnataka, india",himatsingka seide
government,"london, united kingdom",csc uk
auto components,"michigan, united states (usa)",mitsuba sical
pharma,"ingelheim, germany",boehringer-ingelheim
retail,"mumbai, maharashtra, india",samsonite
engineering & construction,"delhi/ncr, delhi, india",nkg infrastructure
investment banking / venture capital / private equity,"gurgaon, india",resurgent india
auto components,"gurgaon/gurugram, haryana, india",roop automotives
pharma,"mumbai, maharashtra, india",harman finochem
furniture & furnishing,"gurgaon/gurugram, haryana, india",fenesta building systems
engineering & construction,"kuwait city, kuwait",kirby building systems
edtech,"delhi,nct, india",meritnation
food processing,"chennai, tamil nadu, india",tirumala milk products
media & entertainment,"delhi,nct, india",den networks
retail,"delft, netherland",ikea
healthcare,"amsterdam, netherlands",philips innovation campus
logistics,"mumbai, maharashtra, india",stellar value chain solutions
fashion & textile,"bangalore/bengaluru, karnataka, india",gokaldas exports
