06-MarScoToc-industry,06-MarScoToc-headquarter,06-MarScoToc-name
retail,"noida, uttar pradesh, india",jubilant foods works
edtech,"bangalore,karnataka, india",vedantu
consumer electronics & appliances,"morris plains, new jersey, united states (usa)",honeywell automation
,,suzuki motor gujarat
internet,"gurgaon, haryana, india",care health insurance
engineering & construction,"udaipur, rajasthan, india",g r infraprojects
facility management services,"geneva, geneva, switzerland",sgs
auto components,"berne, switzerland",wabco
insurance,"chennai, tamil nadu, india",star health & allied insurance
accounting & auditing,"navi mumbai, india",xl dynamics
pharma,"hyderabad/secunderabad, telangana, india",laurus labs
banking,"new york, new york, united states (usa)",citibank
iron & steel,"delhi/ncr, new delhi, india",jindal stainless
fmcg,"slough,slough, united kingdom",reckitt benckiser
healthcare,"hyderabad/secunderabad, telangana, india",divi's laboratories
it services & consulting,"bangalore/bengaluru, karnataka, india",tata elxsi
financial services,"london, united kingdom (uk)",aon
insurance,"mumbai, maharashtra, india",reliance general insurance
it services & consulting,"sunnyvale, california, united states (usa)",xoriant
fmcg,"cincinnati, ohio, united states (usa)",procter & gamble
fintech,"chennai, tamil nadu, india",intellect design arena
recruitment,"chennai, tamil nadu, india",allsec technologies
it services & consulting,"bangalore, india",microland
packaging,"noida, uttar pradesh, india",uflex
fmcg,"chennai, tamil nadu, india",cavinkare
financial services,"mumbai, maharashtra, india",kotak securities
logistics,"seattle, washington, united states (usa)",amazon transportation services
it services & consulting,"mountain view, california, united states (usa)",harman connected services
logistics,"moon township, united states (usa)",fedex express
it services & consulting,"hopkinton, unitedstates",dell emc
recruitment,"zurich,zurich, switzerland",adecco group
engineering & construction,"chennai, tamil nadu, india",kone
food processing,"noida, uttar pradesh, india",mother dairy fruit & vegetable
healthcare,"amsterdam, netherlands",philips
healthcare,"abu dhabi, united arab emirates (uae)",max fashion
banking,"vadodara/baroda, gujrat, india",bank of baroda
financial services,"mumbai, maharashtra, india",citicorp
it services & consulting,"singapore, singapore",quest global
consumer electronics & appliances,,samsung india electronics
financial services,"mumbai, maharashtra, india",motilal oswal financial services
hospitality,"kolkata, west bengal, india",itc hotels
nbfc,"bangalore, india",fincare small finance bank
recruitment,"mumbai, maharashtra, india",innovsource services
telecom,"gurgaon/gurugram, haryana, india",aircel
financial services,,angel one
printing & publishing,"bhopal, madhya pradesh, india",dainik bhaskar group of publication
other,"marseille, marseille, france",cma cgm
telecom,"new york city,new york, united states",verizon
it services & consulting,"new delhi, india",exl india
electrical equipment,"kochi/cochin, kerala, india",v-guard industries
logistics,"delhi/ncr, delhi, india",safexpress
it services & consulting,"london, united kingdom (uk)",barclays shared services
software product,"atlanta,georgia, united states",ncr corporation
it services & consulting,"east moline, illinois, united states (usa)",yash technologies
analytics & kpo,"mumbai,maharashtra, india",crisil
it services & consulting,"noida, uttar pradesh, india",aforeserve
pharma,"new brunswick, new jersey, united states (usa)",johnson & johnson
banking,"hyderabad/secunderabad, telangana, india",dbs bank
engineering & construction,"mumbai, maharashtra, india",hindustan construction company
logistics,"bonn, germany",dhl express
pharma,,novartis
defence & aerospace,"bangalore/bengaluru, karnataka, india",honeywell technology solutions
consumer electronics & appliances,"gurgaon/gurugram, haryana, india",usha international
pharma,"mumbai, maharashtra, india",usv
pharma,"hyderabad/secunderabad, telangana, india",biological e
financial services,"mumbai, india",aditya birla capital
it services & consulting,"london, united kingdom (uk)",bt global services
healthcare,"mumbai, india",srl diagnostics
media & entertainment,"mumbai, maharashtra, india",inox leisure
consumer electronics & appliances,"delhi/ncr, delhi, india",sony
nbfc,"delhi, india",hero fincorp
healthcare,"gurgaon, india",medanta the medicity
consumer electronics & appliances,"noida, uttar pradesh, india",kent ro systems
it services & consulting,"bangalore,karnataka, india",phonepe
engineering & construction,"mumbai, maharashtra, india",tce
management consulting,"evanston, illinois, united states (usa)",zs
auto components,"noida, india",motherson automotive technologies and engineering
healthcare,"bangalore,karnataka, india",medi assist india
it services & consulting,"paris, france",orange business services
edtech,"bangalore,karnataka, india",unacademy
it services & consulting,"chennai, tamil nadu, india",iopex technologies
bpo,"noida, india",hcl technologies bpo services
financial services,"mumbai, maharashtra, india",hdfc securities
consumer electronics & appliances,"kadoma, osaka, japan",panasonic
analytics & kpo,"norwalk,connecticut, united states",factset
automobile,"bengaluru/bangalore, karnataka, india",mercedes-benz research & development india
auto components,"aurangabad, maharashtra, india",badve engineering
bpo,"miami, florida, united states (usa)",sitel
it services & consulting,"hertfordshire, england",tesco
power,"ahmedabad, gujrat, india",torrent power
hospitality,"louisville, kentucky, united states (usa)",kfc
it services & consulting,"santa ana, california, united states (usa)",first american corporation
education & training,"hyderabad/secunderabad, telangana, india",narayana educational society
oil & gas,"mumbai, maharashtra, india",hindustan petroleum
financial services,"west palm beach, florida, united states (usa)",ocwen financial solutions
hospitality,"bethesda, maryland, united states (usa)",marriott international
auto components,"aurangabad, india",varroc group
edtech,"singapore, singapore",straive
power,"delhi/ncr, delhi, india",ntpc
auto components,"nanterre, france",faurecia
fmcg,"kolkata, west bengal, india",emami
